Another	Another	j-jn	Another	another	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
M.	M.	n1	M.	m.	0
Newberie	Newberie	np1	Newberie	Newberie	0
,	,	,	,	,	0
written	written	vvn	written	write	0
to	to	p-acp	to	to	0
Master	Master	n1	Master	master	0
Leonard	Leonard	np1	Leonard	Leonard	0
Poore	Poore	j	Poor	poor	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Alepo	Alepo	np1	Alepo	Aleppo	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Right	Right	av-jn	Right	right	0
welbeloved	welbeloved	j	well-beloved	well-beloved	0
,	,	,	,	,	0
my	my	po11	my	my	0
very	very	j	very	very	0
heartie	heartie	j	hearty	hearty	0
commendations	commendations	n2	commendations	commendation	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
friends	friends	n2	friends	friend	0
remembred	remembred	vvn	remembered	remember	0
.	.	.	.	.	1
My	My	po11	My	my	0
last	last	ord	last	last	0
I	I	pns11	I	i	0
sent	sent	vvd	sent	send	0
you	you	pn22	you	you	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
25.	25.	crd	25.	25.	0
of	of	pp-f	of	of	0
February	February	np1	February	February	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
last	last	ord	last	last	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Dele	Dele	n1	Deal	deal	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Downes	Downes	n2	Downs	down	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
which	which	r-crq	which	which	0
time	time	n1	time	time	0
with	with	p-acp	with	with	0
contrary	contrary	j-jn	contrary	contrary	0
windes	windes	n2	winds	wind	0
wee	wee	pns12	we	we	0
remained	remained	vvd	remained	remain	0
upon	upon	p-acp	upon	upon	0
our	our	po12	our	our	0
owne	owne	d	own	own	0
coast	coast	n1	coast	coast	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
the	the	dt	the	the	0
11.	11.	crd	11.	11.	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
,	,	,	,	,	0
and	and	cc	and	and	0
