A	A	dt	A	a	0
dedicatorie	dedicatorie	j	dedicatory	dedicatory	0
Epistle	Epistle	n1	Epistle	epistle	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
Majestic	Majestic	j	Majestic	majestic	0
,	,	,	,	,	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
Master	Master	n1	Master	master	0
William	William	np1	William	William	0
Burrough	Burrough	np1	Burrough	Burrough	0
late	late	j	late	late	0
Comptroller	Comptroller	n1	Comptroller	comptroller	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
High-nesse	High-nesse	j	Highness	highness	0
navie	navie	n1	navy	navy	0
,	,	,	,	,	0
and	and	cc	and	and	0
annexed	annexed	vvn	annexed	annex	0
unto	unto	p-acp	unto	unto	0
his	his	po31	his	his	0
exact	exact	j	exact	exact	0
and	and	cc	and	and	0
notable	notable	j	notable	notable	0
mappe	mappe	n1	map	map	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
briefly	briefly	av-j	briefly	brief	0
containing	containing	vvg	containing	contain	0
(	(	(	(	(	0
amongst	amongst	p-acp	among	among	0
other	other	j-jn	other	other	0
matters	matters	n2	matters	matter	0
)	)	)	)	)	0
his	his	po31	his	his	0
great	great	j	great	great	0
travailes	travailes	n2	travails	travail	0
,	,	,	,	,	0
observations	observations	n2	observations	observation	0
,	,	,	,	,	0
and	and	cc	and	and	0
experiments	experiments	n2	experiments	experiment	0
both	both	av-d	both	both	0
by	by	p-acp	by	by	0
sea	sea	n1	sea	sea	0
and	and	cc	and	and	0
land	land	n1	land	land	0
,	,	,	,	,	0
especially	especially	av-j	especially	especial	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
Northeastern	Northeastern	j	Northeastern	northeastern	0
parts	parts	n2	parts	part	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
