Laudonnieres	Laudonnieres	np1	Laudonnieres	Laudonnieres	0
A	A	dt	A	a	0
JY	JY	np1	JY	JY	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
why	why	c-crq	why	why	0
our	our	po12	our	our	0
king	king	n1	king	king	0
sent	sent	vvn	sent	send	0
'	'	'	'	'	0
muthtw	muthtw	n1	muthtw	muthtw	0
^oul	^oul	n1	oul	oul	0
us	us	pno12	us	we	0
unto	unto	p-acp	unto	unto	0
countrey	countrey	n1	country	country	0
;	;	;	;	;	0
you	you	pn22	you	you	0
know	know	vvb	know	know	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
is	is	vbz	is	be	0
our	our	po12	our	our	0
jurs	jurs	ng1	jurs	jurs	0
’	’	’	’	’	0
naturali	naturali	fw-la	naturali	naturali	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
obey	obey	vvi	obey	obey	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
commandement	commandement	n1	commandment	commandment	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
ought	ought	vmd	ought	ought	0
neither	neither	av-dx	neither	neither	0
to	to	p-acp	to	to	0
spare	spare	vvi	spare	spare	0
our	our	po12	our	our	0
goods	goods	n2-j	goods	good	0
nor	nor	cc	nor	nor	0
lives	lives	n2	lives	life	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
those	those	d	those	those	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
concerne	concerne	vvb	concern	concern	0
his	his	po31	his	his	0
service	service	n1	service	service	0
:	:	:	:	:	0
ye	ye	pn22	you	you	0
know	know	vvb	know	know	0
,	,	,	,	,	0
or	or	cc	or	or	0
at	at	p-acp	at	at	0
least	least	ds	least	least	0
you	you	pn22	you	you	0
cannot	cannot	vmbx	cannot	can	0
be	be	vbi	be	be	0
ignorant	ignorant	j	ignorant	ignorant	0
,	,	,	,	,	0
that	that	cst	that	that	0
besides	besides	p-acp	beside	beside	0
this	this	d	this	this	0
general	general	n1	general	general	0
and	and	cc	and	and	0
naturali	naturali	fw-la	naturali	naturali	0
obligation	obligation	n1	obligation	obligation	0
,	,	,	,	,	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
this	this	d	this	this	0
also	also	av	also	also	0
joyned	joyned	vvn	joined	join	0
thereunto	thereunto	av	thereunto	thereunto	0
,	,	,	,	,	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
receiving	receiving	vvg	receiving	receive	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
reasonable	reasonable	j	reasonable	reasonable	0
pay	pay	n1	pay	pay	0
and	and	cc	and	and	0
wages	wages	n2	wages	wage	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
