A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Dee	Dee	dt	Dee	the	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
conteyning	conteyning	vvg	containing	contain	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
and	and	cc	and	and	0
effect	effect	n1	effect	effect	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
Edward	Edward	np1	Edward	Edward	0
Garland	Garland	n1	Garland	garland	0
his	his	po31	his	his	0
message	message	n1	message	message	0
,	,	,	,	,	0
delivered	delivered	vvn	delivered	deliver	0
to	to	p-acp	to	to	0
Master	Master	n1	Master	master	0
Dee	Dee	zz	Dee	dee	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
(	(	(	(	(	0
Letterwise	Letterwise	av	Letterwise	letterwise	0
)	)	)	)	)	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
more	more	av-dc	more	more	0
perfect	perfect	j	perfect	perfect	0
memoriali	memoriali	fw-la	memoriali	memoriali	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
Anno	Anno	fw-la	Anno	anno	0
1586.	1586.	crd	1586.	1586.	1
Ight	Ight	wd	Ight	ight	0
worshipfull	worshipfull	j	worshipful	worshipful	0
,	,	,	,	,	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
please	please	vvi	please	please	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
sent	sent	vvn	sent	send	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
mightie	mightie	j	mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
Feodor	Feodor	np1	Feodor	Feodor	0
Ivanowich	Ivanowich	np1	Ivanowich	Ivanowich	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
Emperour	Emperour	n1	Emperor	emperor	0
and	and	cc	and	and	0
great	great	j	great	great	0
duke	duke	n1	duke	duke	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
As	As	p-acp	As	as	0
also	also	av	also	also	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
prince	prince	n1	prince	prince	0
Boris	Boris	np1	Boris	Boris	0
Feodorowich	Feodorowich	np1	Feodorowich	Feodorowich	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
Protector	Protector	n1	Protector	protector	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
:	:	:	:	:	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
your	your	po22	your	your	0
worship	worship	n1	worship	worship	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
the	the	dt	the	the	0
great	great	j	great	great	0
good	good	j	good	good	0
will	will	n1	will	will	0
and	and	cc	and	and	0
heartie	heartie	j	hearty	hearty	0
desire	desire	n1	desire	desire	0
they	they	pns32	they	they	0
beare	beare	vvb	bear	bear	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
long	long	j	long	long	0
time	time	n1	time	time	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
great	great	j	great	great	0
good	good	j	good	good	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
learning	learning	n1	learning	learning	0
&	&	cc	&	and	0
wisedom	wisedom	n1	wisdom	wisdom	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
good	good	j	good	good	0
counsel	counsel	n1	counsel	counsel	0
unto	unto	p-acp	unto	unto	0
Princes	Princes	n2	Princes	prince	0
:	:	:	:	:	0
whereupon	whereupon	c-crq	whereupon	whereupon	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
most	most	av-ds	most	most	0
earnest	earnest	j	earnest	earnest	0
desire	desire	n1	desire	desire	0
and	and	cc	and	and	0
request	request	n1	request	request	0
is	is	vbz	is	be	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
;	;	;	;	;	0
that	that	d	that	that	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
paines	paines	n2	pains	pain	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
unto	unto	p-acp	unto	unto	0
his	his	po31	his	his	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
Mosco	Mosco	np1	Mosco	Moscow	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
visite	visite	vvi	visit	visit	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
Court	Court	n1	Court	court	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
is	is	vbz	is	be	0
desirous	desirous	j	desirous	desirous	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
company	company	n1	company	company	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
good	good	j	good	good	0
counsell	counsell	n1	counsel	counsel	0
in	in	p-acp	in	in	0
divers	divers	j	diverse	diverse	0
matters	matters	n2	matters	matter	0
that	that	cst	that	that	0
his	his	po31	his	his	0
Majestie	Majestie	n1	Majesty	majesty	0
shall	shall	vmb	shall	shall	0
thinke	thinke	vvi	think	think	0
needfull	needfull	j	needful	needful	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
great	great	j	great	great	0
goodwill	goodwill	n1	goodwill	goodwill	0
that	that	cst	that	that	0
his	his	po31	his	his	0
Majestie	Majestie	n1	Majesty	majesty	0
beareth	beareth	vvz	bears	bear	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
he	he	pns31	he	he	0
will	will	vmb	will	will	0
give	give	vvi	give	give	0
you	you	pn22	you	you	0
yeerely	yeerely	av-j	yearly	yearly	0
toward	toward	p-acp	towards	towards	0
your	your	po22	your	your	0
mainteinance	mainteinance	n1	maintenance	maintenance	0
2000.	2000.	crd	2000.	2000	0
pound	pound	n1	pound	pound	0
starling	starling	n1	starling	starling	0
;	;	;	;	;	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
Protectour	Protectour	n1	Protector	protector	0
will	will	vmb	will	will	0
give	give	vvi	give	give	0
you	you	pn22	you	you	0
a	a	dt	a	a	0
thousand	thousand	crd	thousand	thousand	0
rubbles	rubbles	n2	rubbles	rubble	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
your	your	po22	your	your	0
provision	provision	n1	provision	provision	0
for	for	p-acp	for	for	0
your	your	po22	your	your	0
table	table	n1	table	table	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
free	free	j	free	free	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
kitchin	kitchin	n1	kitchen	kitchen	0
:	:	:	:	:	0
And	And	cc	And	and	0
further	further	av-jc	further	further	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
thinke	thinke	vvi	think	think	0
