A	A	dt	A	a	0
Letter	Letter	n1	Letter	letter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Moscovie	Moscovie	np1	Moscovie	Moscovie	0
companie	companie	n1	company	company	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
Agents	Agents	n2	Agents	agent	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
Master	Master	n1	Master	master	0
Henrie	Henrie	np1	Henrie	Henry	0
Lane	Lane	n1	Lane	lane	0
,	,	,	,	,	0
Christopher	Christopher	np1	Christopher	Christopher	0
Hudson	Hudson	np1	Hudson	Hudson	0
,	,	,	,	,	0
and	and	cc	and	and	0
Thomas	Thomas	np1	Thomas	Thomas	0
Glover	Glover	np1	Glover	Glover	0
sent	sent	vvd	sent	send	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
seventh	seventh	ord	seventh	seven	0
voyage	voyage	n1	voyage	voyage	0
to	to	p-acp	to	to	0
Saint	Saint	n1	Saint	saint	0
Nicholas	Nicholas	np1	Nicholas	Nicholas	0
with	with	p-acp	with	with	0
three	three	crd	three	three	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
the	the	dt	the	the	0
Swallowe	Swallowe	n1	Swallow	swallow	0
,	,	,	,	,	0
the	the	dt	the	the	0
Philip	Philip	n1	Philip	fillip	0
and	and	cc	and	and	0
Marie	Marie	vvi	marry	marry	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Jesus	Jesus	np1	Jesus	Jesus	0
the	the	dt	the	the	0
fifth	fifth	ord	fifth	five	0
of	of	pp-f	of	of	0
May	May	np1	May	May	0
,	,	,	,	,	0
1560.	1560.	crd	1560.	1560.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
AFter	AFter	p-acp	AFter	after	0
our	our	po12	our	our	0
heartie	heartie	j	hearty	hearty	0
commendations	commendations	n2	commendations	commendation	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
.	.	.	.	.	1
The	The	dt	The	the	0
twelfth	twelfth	ord	twelfth	twelve	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
last	last	ord	last	last	0
moneth	moneth	n1	month	month	0
here	here	av	here	here	0
arrived	arrived	vvn	arrived	arrive	0
in	in	p-acp	in	in	0
safety	safety	n1	safety	safety	0
,	,	,	,	,	0
thanks	thanks	n2	thanks	thank	0
be	be	vbb	be	be	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
