A	A	dt	A	a	0
relation	relation	n1	relation	relation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
commodities	commodities	n2	commodities	commodity	0
of	of	pp-f	of	of	0
Nova	Nova	np1	Nova	Nova	0
Hispania	Hispania	np1	Hispania	Hispania	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
maners	maners	n2	manners	manner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
,	,	,	,	,	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
Henry	Henry	np1	Henry	Henry	0
Hawks	Hawks	np1	Hawks	Hawks	0
merchant	merchant	n1	merchant	merchant	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
lived	lived	vvd	lived	live	0
five	five	crd	five	five	0
yeeres	yeeres	n2	years	year	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
drew	drew	vvd	drew	draw	0
the	the	dt	the	the	0
same	same	d	same	same	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
request	request	n1	request	request	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
Richard	Richard	np1	Richard	Richard	0
Hakluyt	Hakluyt	np1	Hakluyt	Hakluyt	0
Esquire	Esquire	n1	Esquire	esquire	0
of	of	pp-f	of	of	0
Eiton	Eiton	np1	Eiton	Eiton	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
county	county	n1	county	county	0
of	of	pp-f	of	of	0
Hereford	Hereford	np1	Hereford	Hereford	0
,	,	,	,	,	0
1572.	1572.	crd	1572.	1572.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Aint	Aint	vvi	aren't	are	0
John	John	np1	John	John	0
de	de	fw-fr	de	de	0
Ullua	Ullua	fw-la	Ullua	ullua	0
is	is	vbz	is	be	0
an	an	dt	and	a	0
Island	Island	n1	Island	island	0
not	not	xx	not	not	0
high	high	j	high	high	0
above	above	p-acp	above	above	0
the	the	dt	the	the	0
