Advertisements	Advertisements	n2	Advertisements	advertisement	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
shippes	shippes	n2	ships	ship	0
that	that	cst	that	that	0
goe	goe	vvb	go	go	0
from	from	p-acp	from	from	0
Sivil	Sivil	np1	Sivil	Sivil	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Indies	Indies	np2	Indies	Indies	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
;	;	;	;	;	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
notes	notes	n2	notes	note	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Contractation	Contractation	n1	Contractation	contractation	0
house	house	n1	house	house	0
in	in	p-acp	in	in	0
Sivil	Sivil	np1	Sivil	Sivil	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Pilot.	Pilot.	n1	Pilot.	pilot	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Our	Our	po12	Our	our	0
Pilot	Pilot	n1	Pilot	pilot	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
examined	examined	vvn	examined	examine	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Contractation	Contractation	n1	Contractation	contractation	0
house	house	n1	house	house	0
,	,	,	,	,	0
and	and	cc	and	and	0
allowed	allowed	vvn	allowed	allow	0
by	by	p-acp	by	by	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
be	be	vbb	be	be	0
appointed	appointed	vvn	appointed	appoint	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
examination	examination	n1	examination	examination	0
of	of	pp-f	of	of	0
Pilots	Pilots	n2	Pilots	pilot	0
,	,	,	,	,	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
be	be	vbb	be	be	0
a	a	dt	a	a	0
sufficient	sufficient	j	sufficient	sufficient	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
charge	charge	n1	charge	charge	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
belongeth	belongeth	vvz	belongeth	belong	0
thereunto	thereunto	av	thereunto	thereunto	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
governe	governe	vvi	govern	govern	0
and	and	cc	and	and	0
lead	lead	vvi	led	lead	0
the	the	dt	the	the	0
same	same	d	same	same	0
ship	ship	n1	ship	ship	0
directly	directly	av-j	directly	direct	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
onely	onely	j	only	only	0
commande	commande	n1	command	command	0
-	-	-	-	-	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
ment	ment	vvd	meant	mean	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
ports	ports	n2	ports	port	0
as	as	c-acp	as	as	0
are	are	vbr	are	be	0
convenient	convenient	j	convenient	convenient	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
taketh	taketh	vvz	takes	take	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
You	You	pn22	You	you	0
must	must	vmb	must	must	0
have	have	vhi	have	have	0
a	a	dt	a	a	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
that	that	cst	that	that	0
must	must	vmb	must	must	0
give	give	vvi	give	give	0
in	in	p-acp	in	in	0
sureties	sureties	n2	sureties	surety	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
value	value	n1	valve	value	0
of	of	pp-f	of	of	0
6000	6000	crd	6000	6000	0
dukats	dukats	n2	ducats	ducat	0
:	:	:	:	:	0
and	and	cc	and	and	0
such	such	d	such	such	0
as	as	a-acp	as	as	0
be	be	vbi	be	be	0
his	his	po31	his	his	0
sureties	sureties	n2	sureties	surety	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
landed	landed	vvn	landed	land	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
lands	lands	n2	lands	land	0
worth	worth	j	worth	worth	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
value	value	n1	valve	value	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
summe	summe	n1	sum	sum	0
aforesayd	aforesayd	vvn	aforesaid	aforesaid	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
