terme	terme	n1	term	term	0
of	of	pp-f	of	of	0
seven	seven	crd	seven	seven	0
yeeres	yeeres	n2	years	year	0
then	then	av	then	then	0
next	next	ord	next	next	0
following	following	vvg	following	follow	0
.	.	.	.	.	1
Willing	Willing	j	Willing	willing	0
,	,	,	,	,	0
and	and	cc	and	and	0
straightly	straightly	av-j	straightly	straight	0
commanding	commanding	vvg	commanding	command	0
,	,	,	,	,	0
and	and	cc	and	and	0
charging	charging	vvg	charging	charge	0
all	all	d	all	all	0
and	and	cc	and	and	0
singuler	singuler	j	singular	singular	0
our	our	po12	our	our	0
Admirals	Admirals	n2	Admirals	admiral	0
,	,	,	,	,	0
Viceadmirals	Viceadmirals	n2	Viceadmirals	viceadmiral	0
,	,	,	,	,	0
Justices	Justices	n2	Justices	justice	0
,	,	,	,	,	0
Maiors	Maiors	n2	Majors	major	0
,	,	,	,	,	0
Sheriffes	Sheriffes	n2	Sheriffs	sheriff	0
,	,	,	,	,	0
Escheaters	Escheaters	n2	Escheaters	escheater	0
,	,	,	,	,	0
Constables	Constables	n2	Constables	constable	0
,	,	,	,	,	0
Bailiffes	Bailiffes	n2	Bailiffs	bailiff	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
and	and	cc	and	and	0
singuler	singuler	j	singular	singular	0
our	our	po12	our	our	0
other	other	j-jn	other	other	0
officers	officers	n2	officers	officer	0
,	,	,	,	,	0
ministers	ministers	n2	ministers	minister	0
,	,	,	,	,	0
liege	liege	n1	liege	liege	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
subjects	subjects	n2-jn	subject's	subject	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
aiding	aiding	vvg	aiding	aid	0
,	,	,	,	,	0
favouring	favouring	vvg	favouring	favour	0
,	,	,	,	,	0
helping	helping	vvg	helping	help	0
,	,	,	,	,	0
and	and	cc	and	and	0
assisting	assisting	vvg	assisting	assist	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Governour	Governour	n1	Governor	governor	0
,	,	,	,	,	0
and	and	cc	and	and	0
company	company	n1	company	company	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
successors	successors	n2	successors	successor	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
Deputies	Deputies	n2	Deputies	deputy	0
,	,	,	,	,	0
officers	officers	n2	officers	officer	0
,	,	,	,	,	0
servants	servants	n2	servants	servant	0
,	,	,	,	,	0
assignes	assignes	vvz	assigns	assign	0
,	,	,	,	,	0
and	and	cc	and	and	0
ministers	ministers	n2	ministers	minister	0
,	,	,	,	,	0
and	and	cc	and	and	0
every	every	d	every	every	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
executing	executing	vvg	executing	execute	0
and	and	cc	and	and	0
enjoying	enjoying	vvg	enjoying	enjoy	0
the	the	dt	the	the	0
premisses	premisses	n2	premises	premise	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
on	on	p-acp	on	on	0
land	land	n1	land	land	0
as	as	c-acp	as	as	0
on	on	p-acp	on	on	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
times	times	n2	times	time	0
when	when	c-crq	when	when	0
you	you	pn22	you	you	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
thereunto	thereunto	av	thereunto	thereunto	0
required	required	vvn	required	require	0
,	,	,	,	,	0
any	any	d	any	any	0
statute	statute	n1	statute	statute	0
,	,	,	,	,	0
act	act	n1	act	act	0
,	,	,	,	,	0
ordinance	ordinance	n1	ordinance	ordinance	0
,	,	,	,	,	0
proviso	proviso	n1	proviso	proviso	0
,	,	,	,	,	0
proclamation	proclamation	n1	proclamation	proclamation	0
,	,	,	,	,	0
or	or	cc	or	or	0
restraint	restraint	n1	restraint	restraint	0
heretofore	heretofore	av	heretofore	heretofore	0
had	had	vhd	had	have	0
,	,	,	,	,	0
made	made	vvd	made	make	0
,	,	,	,	,	0
set	set	vvd	set	set	0
forth	forth	av	forth	forth	0
,	,	,	,	,	0
ordained	ordained	vvn	ordained	ordain	0
,	,	,	,	,	0
or	or	cc	or	or	0
provided	provided	vvn	provided	provide	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
cause	cause	n1	cause	cause	0
or	or	cc	or	or	0
thing	thing	n1	thing	thing	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
contrary	contrary	n-jn	contrary	contrary	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
wise	wise	n1	wise	wise	0
notwithstanding	notwithstanding	a-acp	notwithstanding	notwithstanding	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
witnesse	witnesse	n1	witness	witness	0
whereof	whereof	c-crq	whereof	whereof	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
caused	caused	vvn	caused	cause	0
these	these	d	these	these	0
our	our	po12	our	our	0
letters	letters	n2	letters	letter	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
patents	patents	n2	patents	patent	0
,	,	,	,	,	0
witnesse	witnesse	vvb	witness	witness	0
our	our	po12	our	our	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
Westminster	Westminster	np1	Westminster	Westminster	0
,	,	,	,	,	0
the	the	dt	the	the	0
11.	11.	crd	11.	11.	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
September	September	np1	September	September	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
23.	23.	crd	23.	23.	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
raigne	raigne	n1	reign	reign	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
voyage	voyage	n1	voyage	voyage	0
or	or	cc	or	or	0
journey	journey	n1	journey	journey	0
,	,	,	,	,	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
Master	Master	n1	Master	master	0
Laurence	Laurence	np1	Laurence	Laurence	0
Aldersey	Aldersey	np1	Aldersey	Aldersey	0
,	,	,	,	,	0
Marchant	Marchant	n1	Merchant	merchant	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Cities	Cities	n2	Cities	city	0
of	of	pp-f	of	of	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
,	,	,	,	,	0
and	and	cc	and	and	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
In	In	p-acp	In	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1581.	1581.	crd	1581.	1581.	1
Penned	Penned	j-vvn	Penned	pen	0
and	and	cc	and	and	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
by	by	p-acp	by	by	0
himselfe	himselfe	px31	himself	himself	0
.	.	.	.	.	1
Departed	Departed	vvn	Departed	depart	0
from	from	p-acp	from	from	0
London	London	np1	London	London	0
the	the	dt	the	the	0
