Here	Here	av	Here	here	0
followeth	followeth	vvz	follows	follow	0
the	the	dt	the	the	0
course	course	n1	course	course	0
from	from	p-acp	from	from	0
Belle	Belle	fw-fr	Belle	belle	0
Isle	Isle	n1	Isle	isle	0
,	,	,	,	,	0
Carpont	Carpont	np1	Carpont	Carpont	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Bay	Bay	n1	Bay	bay	0
in	in	p-acp	in	in	0
Newfoundland	Newfoundland	np1	Newfoundland	Newfoundland	0
up	up	p-acp	up	up	0
the	the	dt	the	the	0
River	River	n1	River	river	0
of	of	pp-f	of	of	0
Canada	Canada	np1	Canada	Canada	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
230.	230.	crd	230.	230.	0
leagues	leagues	n2	leagues	league	0
,	,	,	,	,	0
observed	observed	vvn	observed	observe	0
by	by	p-acp	by	by	0
John	John	np1	John	John	0
Alphonse	Alphonse	np1	Alphonse	Alphonse	0
of	of	pp-f	of	of	0
Xanctoigne	Xanctoigne	np1	Xanctoigne	Xanctoigne	0
chiefe	chiefe	j-jn	chief	chief	0
Pilote	Pilote	n1	Pilot	pilot	0
to	to	p-acp	to	to	0
Monsieur	Monsieur	fw-fr	Monsieur	monsieur	0
Roberval	Roberval	np1	Roberval	Roberval	0
,	,	,	,	,	0
1542.	1542.	crd	1542.	1542.	1
Elles	Elles	av	Else	else	0
Isles	Isles	n2	Isles	isle	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
51	51	crd	51	51	0
degrees	degrees	n2	degrees	degree	0
and	and	cc	and	and	0
%	%	%	%	%	0
.	.	.	.	.	1
Belles	Belles	n2	Bells	bell	0
Belle	Belle	np1	Belle	Belle	0
Isle	Isle	n1	Isle	isle	0
.	.	.	.	.	1
Isles	Isles	np1	Isles	Isles	0
and	and	cc	and	and	0
Carpont	Carpont	np1	Carpont	Carpont	0
are	are	vbr	are	be	0
Northnorthwest	Northnorthwest	n1-an	Northnorthwest	northnorthwest	0
and	and	cc	and	and	0
Southsoutheast	Southsoutheast	n1	Southsoutheast	southsoutheast	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
ten	ten	crd	ten	ten	0
leagues	leagues	n2	leagues	league	0
distant	distant	j	distant	distant	0
.	.	.	.	.	1
Carpont	Carpont	np1	Carpont	Carpont	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
52	52	crd	52	52	0
de	de	fw-mi	de	de	0
-	-	-	-	-	0
Carpant	Carpant	n1	Carpant	carpant	0
In	In	n1	In	inn	0
grees	grees	vvz	grees	agree	0
.	.	.	.	.	1
Carpont	Carpont	np1	Carpont	Carpont	0
and	and	cc	and	and	0
Bell	Bell	n1	Bell	bell	0
Isle	Isle	n1	Isle	isle	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
52	52	crd	52	52	0
-	-	-	-	-	0
degrees	degrees	n2	degrees	degree	0
.	.	.	.	.	1
Grand	Grand	j	Grand	grand	0
Bay	Bay	n1	Bay	bay	0
are	are	vbr	are	be	0
Northeast	Northeast	np1	Northeast	Northeast	0
and	and	cc	and	and	0
Southwest	Southwest	np1	Southwest	Southwest	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
distance	distance	n1	distance	distance	0
from	from	p-acp	from	from	0
Bell	Bell	n1	Bell	bell	0
Isle	Isle	n1	Isle	isle	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Bay	Bay	n1	Bay	bay	0
is	is	vbz	is	be	0
7	7	crd	7	7	0
leagues	leagues	n2	leagues	league	0
.	.	.	.	.	1
The	The	dt	The	the	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Bay	Bay	n1	Bay	bay	0
is	is	vbz	is	be	0
The	The	dt	The	the	0
Grand	Grand	j	Grand	grand	0
in	in	p-acp	in	in	0
52	52	crd	52	52	0
degrees	degrees	n2	degrees	degree	0
and	and	cc	and	and	0
a	a	dt	a	a	0
halfe	halfe	n-jn	half	half	0
,	,	,	,	,	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Northside	Northside	n1	Northside	northside	0
therof	therof	av	thereof	thereof	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
rocke	rocke	n1	rock	rock	0
:	:	:	:	:	0
halfe	halfe	n-jn	half	half	0
a	a	dt	a	a	0
league	league	n1	league	league	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
,	,	,	,	,	0
over	over	a-acp	over	over	0
against	against	p-acp	against	against	0
J	J	pns11	J	i	0
'	'	'	'	'	0
Carpont	Carpont	np1	Carpont	Carpont	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
East	East	n1	East	east	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
small	small	j	small	small	0
flat	flat	j	flat	flat	0
Island	Island	n1	Island	island	0
,	,	,	,	,	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
side	side	n1	side	side	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
Northeast	Northeast	n1	Northeast	north-east	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
flat	flat	j	flat	flat	0
rocke	rocke	n1	rock	rock	0
.	.	.	.	.	1
A	A	dt	A	a	0
flatte	flatte	j	flat	flat	0
rocke	rocke	n1	rock	rock	0
.	.	.	.	.	1
And	And	cc	And	and	0
when	when	c-crq	when	when	0
thou	thou	pns21	thou	thou	0
commest	commest	vv2	comest	come	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
harborough	harborough	n1	harbour	harbour	0
of	of	pp-f	of	of	0
Carpont	Carpont	np1	Carpont	Carpont	0
thou	thou	pns21	thou	thou	0
must	must	vmb	must	must	0
leave	leave	vvi	leave	leave	0
this	this	d	this	this	0
rocke	rocke	n1	rock	rock	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
starreboord	starreboord	n1	starreboord	starreboord	0
side	side	n1	side	side	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
larboord	larboord	av	larboard	larboard	0
side	side	n1	side	side	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
two	two	crd	two	two	0
or	or	cc	or	or	0
three	three	crd	three	three	0
small	small	j	small	small	0
Isles	Isles	n2	Isles	isle	0
:	:	:	:	:	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
thou	thou	pns21	thou	thou	0
commest	commest	vv2	comest	come	0
out	out	av	out	out	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
Northeast	Northeast	n1	Northeast	north-east	0
side	side	n1	side	side	0
,	,	,	,	,	0
ranging	ranging	vvg	ranging	range	0
along	along	a-acp	along	along	0
the	the	dt	the	the	0
shore	shore	n1	shore	shore	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
West	West	n1	West	west	0
about	about	p-acp	about	about	0
two	two	crd	two	two	0
pikes	pikes	n2	pikes	pike	0
length	length	n1	length	length	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
midway	midway	n1-an	midway	midway	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	av	a	a	0
