A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
James	James	np1	James	James	0
Alday	Alday	np1	Alday	Alday	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Worshipfull	Worshipfull	j	Worshipful	worshipful	0
M.	M.	n1	M.	m.	0
Michael	Michael	np1	Michael	Michael	0
Lock	Lock	vvi	Lock	lock	0
,	,	,	,	,	0
Agent	Agent	n1	Agent	agent	0
in	in	p-acp	in	in	0
London	London	np1	London	London	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Moscovie	Moscovie	np1	Moscovie	Moscovie	0
company	company	n1	company	company	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
a	a	dt	a	a	0
trade	trade	n1	trade	trade	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
established	established	vvn	established	establish	0
in	in	p-acp	in	in	0
Lappia	Lappia	np1	Lappia	Lappia	0
,	,	,	,	,	0
written	written	vvn	written	write	0
157	157	crd	157	157	0
5.	5.	crd	5.	5.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
marvelleth	marvelleth	vvz	marvelleth	marvel	0
the	the	dt	the	the	0
company	company	n1	company	company	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
conferre	conferre	vvi	confer	confer	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
op	op	j	open	open	0
Lappia	Lappia	np1	Lappia	Lappia	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Have	Have	vhb	Have	have	0
in	in	p-acp	in	in	0
remembrance	remembrance	n1	remembrance	remembrance	0
(	(	(	(	(	0
worshipful	worshipful	j	worshipful	worshipful	0
Sir	Sir	n1	Sir	sir	0
)	)	)	)	)	0
the	the	dt	the	the	0
talke	talke	n1	talk	talk	0
we	we	pns12	we	we	0
had	had	vhd	had	have	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
trade	trade	n1	trade	trade	0
in	in	p-acp	in	in	0
Lappia	Lappia	np1	Lappia	Lappia	0
:	:	:	:	:	0
And	And	cc	And	and	0
certeinly	certeinly	av-j	certainly	certain	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
something	something	pi	something	something	0
marveiled	marveiled	vvd	marveiled	marveil	0
