Remembrances	Remembrances	n2	Remembrances	remembrance	0
for	for	p-acp	for	for	0
master	master	n1	master	master	0
S.	S.	np1	S.	S.	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
him	him	pno31	him	he	0
the	the	dt	the	the	0
better	better	jc	better	better	0
[	[	[	[	[	0
II.	II.	crd	II	ii	0
i	i	sy	i	i	0
.	.	.	.	.	1
161.	161.	crd	161.	161.	0
]	]	]	]	]	0
occasion	occasion	np1-n	occasion	occasion	0
to	to	pc-acp	to	to	0
informe	informe	vvi	inform	inform	0
himselfe	himselfe	px31	himself	himself	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
after	after	c-acp	after	after	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
Turkie	Turkie	n1	Turkey	turquoise	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
profite	profite	n1	profit	profit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Common	Common	j	Common	common	0
weale	weale	n1	weal	weal	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Countrey	Countrey	n1	Country	country	0
.	.	.	.	.	1
Written	Written	j-vvn	Written	write	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
fore-sayd	fore-sayd	j	foresaid	foresaid	0
master	master	n1	master	master	0
Richard	Richard	np1	Richard	Richard	0
Hakluyt	Hakluyt	np1	Hakluyt	Hakluyt	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
principali	principali	fw-la	principali	principali	0
English	English	jp	English	english	0
Factor	Factor	n1	Factor	factor	0
at	at	p-acp	at	at	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
1582.	1582.	crd	1582.	1582.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Ince	Ince	zz	Ince	ince	0
all	all	d	all	all	0
men	men	n2	men	man	0
confesse	confesse	vvi	confess	confess	0
(	(	(	(	(	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
barbarously	barbarously	av-j	barbarously	barbarous	0
bred	bred	vvn	bred	breed	0
)	)	)	)	)	0
that	that	d	that	that	0
men	men	n2	men	man	0
are	are	vbr	are	be	0
borne	borne	vvn	born	bear	0
as	as	a-acp	as	as	0
well	well	av	well	well	0
to	to	pc-acp	to	to	0
seeke	seeke	vvi	seek	seek	0
the	the	dt	the	the	0
common	common	j	common	common	0
commoditie	commoditie	n1	commodity	commodity	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Countrey	Countrey	n1	Country	country	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
private	private	j	private	private	0
benefite	benefite	n1	benefit	benefit	0
,	,	,	,	,	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
seeme	seeme	vvi	seem	seem	0
follie	follie	n1	folly	folly	0
