[	[	[	[	[	0
n	n	wd	n	n	0
.	.	.	.	.	0
ii	ii	crd	ii	two	0
,	,	,	,	,	0
188.	188.	crd	188.	188.	0
]	]	]	]	]	1
A	A	dt	A	a	0
relation	relation	n1	relation	relation	0
sent	sent	vvn	sent	send	0
by	by	p-acp	by	by	0
Melchior	Melchior	np1	Melchior	Melchior	0
Petoney	Petoney	np1	Petoney	Petoney	0
to	to	p-acp	to	to	0
Nigil	Nigil	np1	Nigil	Nigil	0
de	de	fw-fr	de	de	0
Moura	Moura	np1	Moura	Moura	0
at	at	p-acp	at	at	0
Lisbon	Lisbon	np1	Lisbon	Lisbon	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Hand	Hand	n1	Hand	hand	0
and	and	cc	and	and	0
Castle	Castle	n1	Castle	castle	0
of	of	pp-f	of	of	0
Arguin	Arguin	np1	Arguin	Arguin	0
,	,	,	,	,	0
standing	standing	vvg	standing	stand	0
a	a	dt	a	a	0
little	little	j	little	little	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Southward	Southward	av-j	Southward	southward	0
of	of	pp-f	of	of	0
Cape	Cape	n1	Cape	cape	0
Blanco	Blanco	np1	Blanco	Blanco	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Northerly	Northerly	j	Northerly	northerly	0
latitude	latitude	n1	latitude	latitude	0
of	of	pp-f	of	of	0
19	19	crd	19	19	0
degrees	degrees	n2	degrees	degree	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
rich	rich	j	rich	rich	0
and	and	cc	and	and	0
secret	secret	j-jn	secret	secret	0
trade	trade	n1	trade	trade	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
inland	inland	n1	inland	inland	0
of	of	pp-f	of	of	0
Africa	Africa	np1	Africa	Africa	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
thither	thither	av	thither	thither	0
:	:	:	:	:	0
Anno	Anno	fw-la	Anno	anno	0
1591.	1591.	crd	1591.	1591.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Commodities	Commodities	ng1	Commodities	commodity	0
fit	fit	j	fit	fit	0
for	for	p-acp	for	for	0
Arguin	Arguin	np1	Arguin	Arguin	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Wedges	Wedges	n2	Wedges	wedge	0
of	of	pp-f	of	of	0
golde	golde	n1	gold	gold	0
givenfor	givenfor	av	givenfor	givenfor	0
small	small	j	small	small	0
trifies	trifies	vvz	trifies	trify	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Scarlet	Scarlet	n-jn	Scarlet	scarlet	0
W	W	j	W	wonderful	0
fine	fine	j	fine	fine	0
Purple	Purple	j-jn	Purple	purple	0
cloth	cloth	n1	cloth	cloth	0
greatly	greatly	av-j	greatly	great	0
accepted	accepted	vvn	accepted	accept	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A	A	dt	A	a	0
good	good	j	good	good	0
harbor	harbor	n1	harbour	harbour	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Castle	Castle	n1	Castle	castle	0
of	of	pp-f	of	of	0
Arguin	Arguin	np1	Arguin	Arguin	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
S	S	sy	S	s	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
trade	trade	n1	trade	trade	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Castle	Castle	n1	Castle	castle	0
and	and	cc	and	and	0
Hand	Hand	n1	Hand	hand	0
of	of	pp-f	of	of	0
Arguin	Arguin	np1	Arguin	Arguin	0
,	,	,	,	,	0
your	your	po22	your	your	0
worship	worship	n1	worship	worship	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
would	would	vmd	would	will	0
please	please	vvi	please	please	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
majesty	majesty	n1	majesty	majesty	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
hither	hither	av	hither	hither	0
two	two	crd	two	two	0
or	or	cc	or	or	0
three	three	crd	three	three	0
caravels	caravels	n2	caravels	caravel	0
once	once	a-acp	once	once	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
yeere	yeere	n1	year	year	0
with	with	p-acp	with	with	0
Flanders	Flanders	np1	Flanders	Flanders	0
and	and	cc	and	and	0
Spanish	Spanish	jp	Spanish	spanish	0
commodities	commodities	n2	commodities	commodity	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Bracelets	Bracelets	n2	Bracelets	bracelet	0
of	of	pp-f	of	of	0
glasse	glasse	n1	glass	glass	0
,	,	,	,	,	0
Knives	Knives	n2	Knives	knife	0
,	,	,	,	,	0
Belles	Belles	n2	Bells	bell	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Linnen-cloth	Linnen-cloth	n1	Linen-cloth	linen-cloth	0
,	,	,	,	,	0
Looking-glasses	Looking-glasses	n2	Looking-glasses	looking-glass	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
kinds	kinds	n2	kinds	kind	0
of	of	pp-f	of	of	0
small	small	j	small	small	0
wares	wares	n2	wares	ware	0
,	,	,	,	,	0
his	his	po31	his	his	0
highnesse	highnesse	n1	highness	highness	0
might	might	vmd	might	may	0
do	do	vdi	do	do	0
great	great	j	great	great	0
good	good	j	good	good	0
here	here	av	here	here	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
50	50	crd	50	50	0
leagues	leagues	n2	leagues	league	0
up	up	a-acp	up	up	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
land	land	n1	land	land	0
the	the	dt	the	the	0
Moores	Moores	n2	Moors	moor	0
have	have	vhb	have	have	0
many	many	d	many	many	0
exceeding	exceeding	j-vvg	exceeding	exceed	0
rich	rich	j	rich	rich	0
golde	golde	n1	gold	gold	0
mines	mines	n2	mines	mine	0
;	;	;	;	;	0
insomuch	insomuch	av	insomuch	insomuch	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
bring	bring	vvb	bring	bring	0
downe	downe	a-acp	down	down	0
their	their	po32	their	their	0
golde	golde	n1	gold	gold	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
Castle	Castle	n1	Castle	castle	0
to	to	pc-acp	to	to	0
traffique	traffique	vvi	traffic	traffic	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
:	:	:	:	:	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
small	small	j	small	small	0
trifle	trifle	n1	trifle	trifle	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
give	give	vvi	give	give	0
us	us	pno12	us	we	0
a	a	dt	a	a	0
great	great	j	great	great	0
wedge	wedge	n1	wedge	wedge	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
.	.	.	.	.	1
And	And	cc	And	and	0
because	because	c-acp	because	because	0
here	here	av	here	here	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
trade	trade	n1	trade	trade	0
,	,	,	,	,	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Moores	Moores	n2	Moors	moor	0
cary	cary	vvi	carry	carry	0
their	their	po32	their	their	0
golde	golde	n1	gold	gold	0
to	to	p-acp	to	to	0
Fez	Fez	np1	Fez	Fez	0
being	being	vbg	being	be	0
250	250	crd	250	250	0
leagues	leagues	n2	leagues	league	0
distant	distant	j	distant	distant	0
from	from	p-acp	from	from	0
hence	hence	av	hence	hence	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
doe	doe	vdb	do	do	0
exchange	exchange	vvi	exchange	exchange	0
the	the	dt	the	the	0
same	same	d	same	same	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
foresayd	foresayd	j-vvn	foresaid	foresay	0
kindes	kindes	n2	kinds	kind	0
of	of	pp-f	of	of	0
commodities	commodities	n2	commodities	commodity	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
this	this	d	this	this	0
meanes	meanes	n2	means	mean	0
also	also	av	also	also	0
his	his	po31	his	his	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
majesty	majesty	n1	majesty	majesty	0
might	might	vmd	might	may	0
stop	stop	vvi	stop	stop	0
that	that	d	that	that	0
passage	passage	n1	passage	passage	0
,	,	,	,	,	0
and	and	cc	and	and	0
keepe	keepe	vvi	keep	keep	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Fez	Fez	np1	Fez	Fez	0
from	from	p-acp	from	from	0
so	so	av	so	so	0
huge	huge	j	huge	huge	0
a	a	dt	a	a	0
masse	masse	n1	mass	mass	0
of	of	pp-f	of	of	0
golde	golde	n1	gold	gold	0
.	.	.	.	.	1
Scarlet-clothes	Scarlet-clothes	n2	Scarlet-clothes	scarlet-clothe	0
,	,	,	,	,	0
and	and	cc	and	and	0
fine	fine	j	fine	fine	0
Purples	Purples	n2-jn	Purples	purple	0
are	are	vbr	are	be	0
greatly	greatly	av-j	greatly	great	0
accepted	accepted	vvn	accepted	accept	0
of	of	pp-f	of	of	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
parts	parts	n2	parts	part	0
.	.	.	.	.	1
It	It	pn31	It	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
fertile	fertile	j	fertile	fertile	0
countrey	countrey	n1	country	country	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
land	land	n1	land	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
yeeldeth	yeeldeth	vvz	yields	yield	0
great	great	j	great	great	0
store	store	n1	store	store	0
