12	12	crd	12	12	0
Of	Of	pp-f	Of	of	0
their	their	po32	their	their	0
colonies	colonies	n2	colonies	colony	0
and	and	cc	and	and	0
policie	policie	n1	policy	policy	0
in	in	p-acp	in	in	0
maintaining	maintaining	vvg	maintaining	maintain	0
their	their	po32	their	their	0
purchases	purchases	n2	purchases	purchase	0
by	by	p-acp	by	by	0
conquest	conquest	n1	conquest	conquest	0
.	.	.	.	.	1
13	13	crd	13	13	0
Of	Of	pp-f	Of	of	0
their	their	po32	their	their	0
borderers	borderers	n2	borderers	borderer	0
with	with	p-acp	with	with	0
whom	whom	ro-crq	whom	who	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
most	most	ds	most	most	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
in	in	p-acp	in	in	0
warre	warre	n1	war	war	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
.	.	.	.	.	1
14	14	crd	14	14	0
Of	Of	pp-f	Of	of	0
their	their	po32	their	their	0
church	church	n1	church	church	0
offices	offices	n2	offices	office	0
and	and	cc	and	and	0
degrees	degrees	n2	degrees	degree	0
.	.	.	.	.	1
15	15	crd	15	15	0
Of	Of	pp-f	Of	of	0
their	their	po32	their	their	0
liturgie	liturgie	n1	liturgy	liturgy	0
or	or	cc	or	or	0
forme	forme	n1	form	form	0
of	of	pp-f	of	of	0
Church	Church	n1	Church	church	0
service	service	n1	service	service	0
.	.	.	.	.	1
16	16	crd	16	16	0
Of	Of	pp-f	Of	of	0
their	their	po32	their	their	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
administring	administring	j-vvg	administering	administer	0
the	the	dt	the	the	0
Sacraments	Sacraments	n2	Sacraments	sacrament	0
.	.	.	.	.	1
17	17	crd	17	17	0
Of	Of	pp-f	Of	of	0
the	the	dt	the	the	0
doctrine	doctrine	n1	doctrine	doctrine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Russe	Russe	n1	Russe	ruff	0
church	church	n1	church	church	0
.	.	.	.	.	1
18	18	crd	18	18	0
Of	Of	pp-f	Of	of	0
the	the	dt	the	the	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
solemnizing	solemnizing	n-vvg	solemnizing	solemnize	0
their	their	po32	their	their	0
mariages	mariages	n2	marriages	marriage	0
.	.	.	.	.	1
19	19	crd	19	19	0
Of	Of	pp-f	Of	of	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
ceremonies	ceremonies	n2	ceremonies	ceremony	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Russe	Russe	n1	Russe	ruff	0
church	church	n1	church	church	0
.	.	.	.	.	1
A.D.	A.D.	np1	A.D.	A.D.	0
1588.	1588.	crd	1588.	1588.	1
Thirdly	Thirdly	ord	Thirdly	third	0
,	,	,	,	,	0
the	the	dt	the	the	0
Oeconomie	Oeconomie	np1	Oeconomie	Oeconomie	0
or	or	cc	or	or	0
private	private	j	private	private	0
behaviour	behaviour	n1	behaviour	behaviour	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Russe	Russe	np1	Russe	Russe	0
containing	containing	vvg	containing	contain	0
these	these	d	these	these	0
chapters	chapters	n2	chapters	chapter	0
.	.	.	.	.	1
1	1	crd	1	1	0
Of	Of	pp-f	Of	of	0
the	the	dt	the	the	0
Emperors	Emperors	ng1	Emperor's	emperor	0
houshold	houshold	n1	household	household	0
officers	officers	n2	officers	officer	0
,	,	,	,	,	0
and	and	cc	and	and	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
house	house	n1	house	house	0
.	.	.	.	.	1
2	2	crd	2	2	0
Of	Of	pp-f	Of	of	0
the	the	dt	the	the	0
private	private	j	private	private	0
behaviour	behaviour	n1	behaviour	behaviour	0
and	and	cc	and	and	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Russe	Russe	n1	Russe	ruff	0
people	people	n1	people	people	0
.	.	.	.	.	1
The	The	dt	The	the	0
description	description	n1	description	description	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
bredth	bredth	n1	breadth	breadth	0
,	,	,	,	,	0
length	length	n1	length	length	0
,	,	,	,	,	0
and	and	cc	and	and	0
names	names	n2	names	name	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Shires	Shires	n2	Shires	shire	0
.	.	.	.	.	1
He	He	pns31	He	he	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
was	was	vbds	was	be	0
somtimes	somtimes	av	sometimes	sometime	0
called	called	vvn	called	call	0
Sarmatia	Sarmatia	np1	Sarmatia	Sarmatia	0
.	.	.	.	.	1
It	It	pn31	It	it	0
changed	changed	vvd	changed	change	0
the	the	dt	the	the	0
name	name	n1	name	name	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
some	some	d	some	some	0
do	do	vdb	do	do	0
suppose	suppose	vvi	suppose	suppose	0
)	)	)	)	)	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
parted	parted	vvn	parted	part	0
into	into	p-acp	into	into	0
divers	divers	j	diverse	diverse	0
smal	smal	j	small	small	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
absolute	absolute	j	absolute	absolute	0
governments	governments	n2	governments	government	0
,	,	,	,	,	0
not	not	xx	not	not	0
depending	depending	vvg	depending	depend	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
being	being	vbg	being	be	0
subject	subject	n-jn	subject	subject	0
the	the	dt	the	the	0
one	one	crd	one	one	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
Russe	Russe	np1	Russe	Russe	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
tongue	tongue	n1	tongue	tongue	0
doeth	doeth	vdz	doth	do	0
signifie	signifie	vvi	signify	signify	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
as	as	c-acp	as	as	0
to	to	pc-acp	to	to	0
part	part	vvi	part	part	0
,	,	,	,	,	0
or	or	cc	or	or	0
devide	devide	vvi	divide	divide	0
.	.	.	.	.	1
The	The	dt	The	the	0
Russe	Russe	n1	Russe	ruff	0
reporteth	reporteth	vvz	reporteth	report	0
that	that	d	that	that	0
foure	foure	crd	foure	four	0
brethren	brethren	n2	brothers	brethren	0
,	,	,	,	,	0
Trubor	Trubor	n1	Trubor	trubor	0
,	,	,	,	,	0
Rurico	Rurico	fw-la	Rurico	rurico	0
,	,	,	,	,	0
Sinees	Sinees	np1	Sinees	Sinees	0
,	,	,	,	,	0
and	and	cc	and	and	0
Varivus	Varivus	np1	Varivus	Varivus	0
devided	devided	vvn	divided	divide	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
the	the	dt	the	the	0
North	North	n1	North	north	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
country	country	n1	country	country	0
.	.	.	.	.	1
Likewise	Likewise	av	Likewise	likewise	0
that	that	cst	that	that	0
the	the	dt	the	the	0
South	South	n1	South	south	0
parts	parts	n2	parts	part	0
were	were	vbdr	were	be	0
possessed	possessed	vvn	possessed	possess	0
by	by	p-acp	by	by	0
4.	4.	crd	4.	4.	0
other	other	j-jn	other	other	0
,	,	,	,	,	0
Kio	Kio	np1	Kio	Kio	0
,	,	,	,	,	0
Scieko	Scieko	np1	Scieko	Scieko	0
,	,	,	,	,	0
Choranus	Choranus	np1	Choranus	Choranus	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
sister	sister	n1	sister	sister	0
Libeda	Libeda	np1	Libeda	Libeda	0
:	:	:	:	:	0
each	each	d	each	each	0
calling	calling	vvg	calling	call	0
his	his	po31	his	his	0
territorie	territorie	n1	territory	territory	0
after	after	p-acp	after	after	0
his	his	po31	his	his	0
own	own	d	own	own	0
name	name	n1	name	name	0
.	.	.	.	.	1
Of	Of	pp-f	Of	of	0
this	this	d	this	this	0
partition	partition	n1	partition	partition	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
called	called	vvn	called	call	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
from	from	p-acp	from	from	0
Christ	Christ	np1	Christ	Christ	0
860.	860.	crd	860.	860.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
conjecture	conjecture	n1	conjecture	conjecture	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
find	find	vvb	find	find	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
Cosmographers	Cosmographers	n2	Cosmographers	cosmographer	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Russe	Russe	n1	Russe	ruff	0
nation	nation	n1	nation	nation	0
borowed	borowed	vvd	borrowed	borrow	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
called	called	vvn	called	call	0
Roxellani	Roxellani	np1	Roxellani	Roxellani	0
,	,	,	,	,	0
&	&	cc	&	and	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
very	very	j	very	very	0
same	same	d	same	same	0
nation	nation	n1	nation	nation	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
without	without	p-acp	without	without	0
all	all	d	all	all	0
good	good	j	good	good	0
probabilitie	probabilitie	n1	probability	probability	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
357	357	crd	357	357	0
Strabo	Strabo	np1	Strabo	Strabo	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
etymologic	etymologic	n1	etymologic	etymologic	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
word	word	n1	word	word	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
very	very	av	very	very	0
far	far	av-j	far	far	0
fet	fet	vvn	fetched	fetch	0
)	)	)	)	)	0
and	and	cc	and	and	0
especially	especially	av-j	especially	especial	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
seat	seat	n1	seat	seat	0
and	and	cc	and	and	0
dwelling	dwelling	n-vvg	dwelling	dwell	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
people	people	n1	people	people	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
the	the	dt	the	the	0
two	two	crd	two	two	0
rivers	rivers	n2	rivers	river	0
of	of	pp-f	of	of	0
Tanais	Tanais	np1	Tanais	Tanais	0
and	and	cc	and	and	0
Boristhenes	Boristhenes	np1	Boristhenes	Boristhenes	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
Strabo	Strabo	np1	Strabo	Strabo	0
reporteth	reporteth	vvz	reporteth	report	0
)	)	)	)	)	0
quite	quite	av	quite	quite	0
another	another	j-jn	another	another	0
way	way	n1	way	way	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
it	it	pn31	it	it	0
bare	bare	vvd	bore	bear	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Sarmatia	Sarmatia	np1	Sarmatia	Sarmatia	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
devided	devided	vvn	divided	divide	0
into	into	p-acp	into	into	0
two	two	crd	two	two	0
chiefe	chiefe	j-jn	chief	chief	0
parts	parts	n2	parts	part	0
:	:	:	:	:	0
the	the	dt	the	the	0
White	White	j-jn	White	white	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Black	Black	j-jn	Black	black	0
.	.	.	.	.	1
The	The	dt	The	the	0
white	white	j-jn	white	white	0
Sarmatia	Sarmatia	np1	Sarmatia	Sarmatia	0
was	was	vbds	was	be	0
all	all	d	all	all	0
that	that	cst	that	that	0
part	part	vvb	part	part	0
that	that	cst	that	that	0
lieth	lieth	vvz	lies	lie	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
North	North	n1	North	north	0
,	,	,	,	,	0
&	&	cc	&	and	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
side	side	n1	side	side	0
of	of	pp-f	of	of	0
Liefland	Liefland	np1	Liefland	Liefland	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
provinces	provinces	n2	provinces	province	0
now	now	av	now	now	0
called	called	vvn	called	call	0
Dwina	Dwina	np1	Dwina	Dwina	0
,	,	,	,	,	0
Vagha	Vagha	np1	Vagha	Vagha	0
,	,	,	,	,	0
Ustiug	Ustiug	vvg	Ustiug	ustiug	0
,	,	,	,	,	0
Vologda	Vologda	np1	Vologda	Vologda	0
,	,	,	,	,	0
Cargapolia	Cargapolia	fw-la	Cargapolia	cargapolia	0
,	,	,	,	,	0
Novo-grodia	Novo-grodia	j	Novo-grodia	novo-grodia	0
,	,	,	,	,	0
&c	&c	av	etc.	etc	0
whereof	whereof	c-crq	whereof	whereof	0
Novogrod	Novogrod	np1	Novogrod	Novogrod	0
velica	velica	n1	velica	velica	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
Metropolite	Metropolite	np1	Metropolite	Metropolite	0
or	or	cc	or	or	0
chiefe	chiefe	j-jn	chief	chief	0
citie	citie	n1	city	city	0
.	.	.	.	.	1
Black	Black	np1	Black	Black	0
Sarmatia	Sarmatia	np1	Sarmatia	Sarmatia	0
was	was	vbds	was	be	0
al	al	d	all	all	0
that	that	cst	that	that	0
countrey	countrey	n1	country	country	0
that	that	cst	that	that	0
lieth	lieth	vvz	lies	lie	0
Southward	Southward	av-j	Southward	southward	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
Euxin	Euxin	np1	Euxin	Euxin	0
or	or	cc	or	or	0
Black	Black	j-jn	Black	black	0
sea	sea	n1	sea	sea	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
dukedome	dukedome	n1	dukedom	dukedom	0
of	of	pp-f	of	of	0
Volodemer	Volodemer	n1	Volodemer	volodemer	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Mosco	Mosco	np1	Mosco	Moscow	0
,	,	,	,	,	0
Rezan	Rezan	n1	Rezan	rezan	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
Some	Some	d	Some	some	0
have	have	vhb	have	have	0
thought	thought	vvn	thought	think	0
that	that	d	that	that	0
the	the	dt	the	the	0
name	name	n1	name	name	0
of	of	pp-f	of	of	0
Sarmatia	Sarmatia	np1	Sarmatia	Sarmatia	0
was	was	vbds	was	be	0
first	first	ord	first	first	0
taken	taken	vvn	taken	take	0
Gen.	Gen.	np1	Gen.	Gen.	1
10.	10.	crd	10.	10.	0
from	from	p-acp	from	from	0
one	one	crd	one	one	0
Sarmates	Sarmates	n2	Sarmates	sarmate	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
Moses	Moses	np1	Moses	Moses	0
&	&	cc	&	and	0
Josephus	Josephus	np1	Josephus	Josephus	0
cal	cal	vvb	call	call	0
1	1	crd	1	1	0
Asarmathes	Asarmathes	np1	Asarmathes	Asarmathes	0
sonne	sonne	n1	son	son	0
to	to	p-acp	to	to	0
Joktan	Joktan	np1	Joktan	Joktan	0
,	,	,	,	,	0
&	&	cc	&	and	0
nephew	nephew	n1	nephew	nephew	0
to	to	p-acp	to	to	0
Heber	Heber	np1	Heber	Heber	0
,	,	,	,	,	0
of	of	a-acp	of	off	0
'	'	'	'	'	0
the	the	dt	the	the	0
posteritie	posteritie	n1	posterity	posterity	0
of	of	pp-f	of	of	0
Sem.	Sem.	np1	Sem.	Sem	1
But	But	p-acp	But	but	0
this	this	d	this	this	0
seemeth	seemeth	vvz	seems	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
nothing	nothing	pix	nothing	nothing	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
conjecture	conjecture	n1	conjecture	conjecture	0
taken	taken	vvn	taken	take	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
likenes	likenes	n1	likeness	likeness	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
name	name	n1	name	name	0
Asarmathes	Asarmathes	np1	Asarmathes	Asarmathes	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
dwelling	dwelling	n-vvg	dwelling	dwell	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Joktans	Joktans	ng1	Joktans	joktans	0
posteritie	posteritie	n1	posterity	posterity	0
is	is	vbz	is	be	0
described	described	vvn	described	describe	0
by	by	p-acp	by	by	0
Moses	Moses	np1	Moses	Moses	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
bene	bene	vbn	be	be	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
Mescha	Mescha	np1	Mescha	Mescha	0
or	or	cc	or	or	0
Masius	Masius	np1	Masius	Masius	0
(	(	(	(	(	0
an	an	dt	and	a	0
hil	hil	n1	hill	hill	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Ammonites	Ammonites	np2	Ammonites	Ammonite	0
)	)	)	)	)	0
&	&	cc	&	and	0
Sephace	Sephace	vvi	Sephace	sephace	0
,	,	,	,	,	0
nere	nere	av-j	never	near	0
to	to	p-acp	to	to	0
U	U	crd	U	u	0
-	-	-	-	-	0
+75	+75	crd	+75	+75	0
-	-	-	-	-	0
]	]	]	]	]	0
the	the	dt	the	the	0
river	river	n1	river	river	0
Euphrates	Euphrates	np1	Euphrates	Euphrates	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
maketh	maketh	vvz	makes	make	0
