A	A	dt	A	a	0
relation	relation	n1	relation	relation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
first	first	ord	first	first	0
voyage	voyage	n1	voyage	voyage	0
and	and	cc	and	and	0
discoverie	discoverie	n1	discovery	discovery	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
Ramea	Ramea	np1	Ramea	Ramea	0
,	,	,	,	,	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
for	for	p-acp	for	for	0
Monsieur	Monsieur	fw-fr	Monsieur	monsieur	0
de	de	fw-fr	de	de	0
La	La	fw-fr	La	la	0
court	court	n1	court	court	0
Pre	Pre	fw-la	Pre	pre	0
Ravillon	Ravillon	np1	Ravillon	Ravillon	0
,	,	,	,	,	0
and	and	cc	and	and	0
Grand	Grand	j	Grand	grand	0
Pre	Pre	fw-la	Pre	pre	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Bonaventure	Bonaventure	np1	Bonaventure	Bonaventure	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
kill	kill	vvi	kill	kill	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
Traine	Traine	n1	Train	train	0
oyle	oyle	n1	oil	oil	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
beasts	beasts	n2	beasts	beast	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Morses	Morses	n2	Morses	morse	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
teeth	teeth	n2	teeth	tooth	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
perfourmed	perfourmed	vvn	performed	perform	0
by	by	p-acp	by	by	0
Gods	Gods	ng1	Gods	god	0
helpe	helpe	n1	help	help	0
this	this	d	this	this	0
yeere	yeere	n1	year	year	0
1591.	1591.	crd	1591.	1591.	1
Or	Or	cc	Or	or	0
the	the	dt	the	the	0
performance	performance	n1	performance	performance	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
said	said	j-vvn	said	say	0
