[	[	[	[	[	0
ii	ii	crd	ii	two	0
.	.	.	.	.	1
i	i	sy	i	i	0
.	.	.	.	.	1
183.	183.	crd	183.	183.	0
]	]	]	]	]	1
A	A	dt	A	a	0
commaundement	commaundement	n1	commandment	commandment	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Signior	Signior	n1	Signior	signior	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Cadie	Cadie	np1	Cadie	Cadie	0
or	or	cc	or	or	0
Judge	Judge	n1	Judge	judge	0
of	of	pp-f	of	of	0
Alexandria	Alexandria	np1	Alexandria	Alexandria	0
.	.	.	.	.	1
THe	THe	dt	THe	the	0
Embassadour	Embassadour	n1	Ambassador	ambassador	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
Majestie	Majestie	n1	Majesty	majesty	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
certified	certified	vvd	certified	certify	0
us	us	pno12	us	we	0
howe	howe	c-crq	how	how	0
that	that	d	that	that	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
death	death	n1	death	death	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
marchants	marchants	n2	merchants	merchant	0
in	in	p-acp	in	in	0
Alexandria	Alexandria	np1	Alexandria	Alexandria	0
called	called	vvd	called	call	0
Edward	Edward	np1	Edward	Edward	0
Chamberlaine	Chamberlaine	np1	Chamberlaine	Chamberlaine	0
,	,	,	,	,	0
the	the	dt	the	the	0
French	French	jp	French	french	0
Consul	Consul	n1	Consul	consul	0
Vento	Vento	np1	Vento	Vento	0
sealing	sealing	vvg	sealing	seal	0
up	up	a-acp	up	up	0
his	his	po31	his	his	0
fondego	fondego	n1	fondego	fondego	0
and	and	cc	and	and	0
chamber	chamber	n1	chamber	chamber	0
,	,	,	,	,	0
tooke	tooke	vvd	took	take	0
under	under	p-acp	under	under	0
his	his	po31	his	his	0
seale	seale	n1	seal	seal	0
al	al	d	all	all	0
his	his	po31	his	his	0
goods	goods	n2-j	goods	good	0
and	and	cc	and	and	0
marchandise	marchandise	n1	merchandise	merchandise	0
into	into	p-acp	into	into	0
his	his	po31	his	his	0
power	power	n1	power	power	0
,	,	,	,	,	0
and	and	cc	and	and	0
required	required	vvd	required	require	0
our	our	po12	our	our	0
commandement	commandement	n1	commandment	commandment	0
that	that	cst	that	that	0
all	all	d	all	all	0
the	the	dt	the	the	0
goods	goods	n2-j	goods	good	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
restored	restored	vvn	restored	restore	0
againe	againe	av	again	again	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
justice	justice	n1	justice	justice	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Englishmen	Englishmen	np2	Englishmen	Englishman	0
:	:	:	:	:	0
wherefore	wherefore	c-crq	wherefore	wherefore	0
we	we	pns12	we	we	0
commaund	commaund	vvb	command	command	0
you	you	pn22	you	you	0
that	that	cst	that	that	0
having	having	vhg	having	have	0
received	received	vvn	received	receive	0
this	this	d	this	this	0
our	our	po12	our	our	0
commandement	commandement	n1	commandment	commandment	0
,	,	,	,	,	0
you	you	pn22	you	you	0
assemble	assemble	vvb	assemble	assemble	0
those	those	d	those	those	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
one	one	crd	one	one	0
part	part	n1	part	part	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
together	together	av	together	together	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
not	not	xx	not	not	0
passed	passed	vvn	passed	pass	0
five	five	crd	five	five	0
