Certaine	Certaine	j	Certain	certain	0
briefe	briefe	n1	brief	brief	0
advises	advises	vvz	advises	advise	0
given	given	vvn	given	give	0
by	by	p-acp	by	by	0
Master	Master	n1	Master	master	0
Dee	Dee	pno21	Dee	thou	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Arthur	Arthur	np1	Arthur	Arthur	0
Pet	Pet	np1	Pet	Pet	0
,	,	,	,	,	0
and	and	cc	and	and	0
Charles	Charles	np1	Charles	Charles	0
Jackman	Jackman	np1	Jackman	Jackman	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
observed	observed	vvn	observed	observe	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
Northeasterne	Northeasterne	j	Northeastern	northeastern	0
discoverie	discoverie	n1	discovery	discovery	0
,	,	,	,	,	0
Ann	Ann	cc	Ann	and	0
o	o	uh	oh	oh	0
1580.	1580.	crd	1580.	1580.	1
IF	IF	cs	IF	if	0
we	we	pns12	we	we	0
recken	recken	vvb	reckon	reckon	0
from	from	p-acp	from	from	0
Wardhouse	Wardhouse	np1	Wardhouse	Wardhouse	0
to	to	pc-acp	to	to	0
Colgoieve	Colgoieve	vvi	Colgoieve	colgoieve	0
Island	Island	n1	Island	island	0
400.	400.	crd	400.	400.	0
miles	miles	n2	miles	mile	0
for	for	p-acp	for	for	0
almost	almost	av	almost	almost	0
20.	20.	crd	20.	20.	0
degrees	degrees	n2	degrees	degree	0
difference	difference	n1	difference	difference	0
onely	onely	av-j	only	only	0
of	of	pp-f	of	of	0
longitude	longitude	n1	longitude	longitude	0
very	very	av	very	very	0
neere	neere	j	near	near	0
East	East	n1	East	east	0
and	and	cc	and	and	0
West	West	n1	West	west	0
,	,	,	,	,	0
and	and	cc	and	and	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
latitude	latitude	n1	latitude	latitude	0
of	of	pp-f	of	of	0
70.	70.	crd	70.	70.	0
degrees	degrees	n2	degrees	degree	0
and	and	cc	and	and	0
two	two	crd	two	two	0
thirde	thirde	ord	thirde	third	0
parts	parts	n2	parts	part	0
:	:	:	:	:	0
From	From	p-acp	From	from	0
Colgoieve	Colgoieve	vvi	Colgoieve	colgoieve	0
to	to	p-acp	to	to	0
Vaigats	Vaigats	n2	Vaigats	vaigat	0
200.	200.	crd	200.	200.	0
miles	miles	n2	miles	mile	0
for	for	p-acp	for	for	0
10.	10.	crd	10.	10.	0
degrees	degrees	n2	degrees	degree	0
difference	difference	n1	difference	difference	0
onely	onely	av-j	only	only	0
in	in	p-acp	in	in	0
longitude	longitude	n1	longitude	longitude	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
70.	70.	crd	70.	70.	0
degrees	degrees	n2	degrees	degree	0
of	of	pp-f	of	of	0
latitude	latitude	n1	latitude	latitude	0
also	also	av	also	also	0
:	:	:	:	:	0
From	From	p-acp	From	from	0
Vaigats	Vaigats	n2	Vaigats	vaigat	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
promontorie	promontorie	n1	promontory	promontory	0
Tabin	Tabin	np1	Tabin	Tabin	0
60.	60.	crd	60.	60.	0
degrees	degrees	n2	degrees	degree	0
difference	difference	n1	difference	difference	0
of	of	pp-f	of	of	0
longitude	longitude	n1	longitude	longitude	0
(	(	(	(	(	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
course	course	n1	course	course	0
,	,	,	,	,	0
or	or	cc	or	or	0
shortest	shortest	js	shortest	short	0
distance	distance	n1	distance	distance	0
being	being	vbg	being	be	0
East	East	n1	East	east	0
and	and	cc	and	and	0
West	West	n1	West	west	0
)	)	)	)	)	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
latitude	latitude	n1	latitude	latitude	0
likewise	likewise	av	likewise	likewise	0
of	of	pp-f	of	of	0
70.	70.	crd	70.	70.	0
degrees	degrees	n2	degrees	degree	0
,	,	,	,	,	0
maketh	maketh	vvz	makes	make	0
1200.	1200.	crd	1200.	1200.	0
miles	miles	n2	miles	mile	0
:	:	:	:	:	0
then	then	av	then	then	0
is	is	vbz	is	be	0
summa	summa	fw-la	summa	summa	0
totalis	totalis	fw-la	totalis	totalis	0
from	from	p-acp	from	from	0
Wardhouse	Wardhouse	np1	Wardhouse	Wardhouse	0
to	to	p-acp	to	to	0
Tabin	Tabin	np1	Tabin	Tabin	0
600.	600.	crd	600.	600.	0
leagues	leagues	n2	leagues	league	0
,	,	,	,	,	0
or	or	cc	or	or	0
1800.	1800.	crd	1800.	1800.	1
English	English	np1	English	English	0
miles	miles	n2	miles	mile	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
allowing	allowing	vvg	allowing	allow	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
discovery	discovery	n1	discovery	discovery	0
voiage	voiage	n1	voyage	voyage	0
for	for	p-acp	for	for	0
one	one	crd	one	one	0
day	day	n1	day	day	0
with	with	p-acp	with	with	0
another	another	j-jn	another	another	0
but	but	p-acp	but	but	0
50.	50.	crd	50.	50.	1
English	English	np1	English	English	0
miles	miles	n2	miles	mile	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
evident	evident	j	evident	evident	0
that	that	cst	that	that	0
from	from	p-acp	from	from	0
Wardhouse	Wardhouse	np1	Wardhouse	Wardhouse	0
to	to	p-acp	to	to	0
Tabin	Tabin	np1	Tabin	Tabin	0
,	,	,	,	,	0
the	the	dt	the	the	0
course	course	n1	course	course	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
sailed	sailed	vvn	sailed	sail	0
easily	easily	av-j	easily	easy	0
in	in	p-acp	in	in	0
sixe	sixe	crd	sixe	six	0
and	and	cc	and	and	0
thirtie	thirtie	crd	thirtie	thirty	0
dayes	dayes	n2	days	day	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
Gods	Gods	ng1	Gods	god	0
helpe	helpe	n1	help	help	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
finished	finished	vvn	finished	finish	0
in	in	p-acp	in	in	0
much	much	d	much	much	0
