A	A	dt	A	a	0
voyage	voyage	n1	voyage	voyage	0
to	to	p-acp	to	to	0
Benin	Benin	np1	Benin	Benin	0
beyond	beyond	p-acp	beyond	beyond	0
the	the	dt	the	the	0
Countrey	Countrey	n1	Country	country	0
of	of	pp-f	of	of	0
Guinea	Guinea	np1	Guinea	Guinea	0
,	,	,	,	,	0
set	set	vvd	set	set	0
foorth	foorth	av	forth	forth	0
by	by	p-acp	by	by	0
Master	Master	n1	Master	master	0
Bird	Bird	n1	Bird	bird	0
and	and	cc	and	and	0
Master	Master	n1	Master	master	0
Newton	Newton	np1	Newton	Newton	0
Marchants	Marchants	n2	Merchants	merchant	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
shippe	shippe	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Richard	Richard	np1	Richard	Richard	0
of	of	pp-f	of	of	0
Arundell	Arundell	np1	Arundell	Arundel	0
,	,	,	,	,	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Pinesse	Pinesse	n1	Pinesse	pinesse	0
;	;	;	;	;	0
Written	Written	vvn	Written	write	0
by	by	p-acp	by	by	0
James	James	np1	James	James	0
Welsh	Welsh	jp	Welsh	welsh	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
chiefe	chiefe	j-jn	chief	chief	0
Master	Master	n1	Master	master	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
begunne	begunne	vvn	begun	begin	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1588.	1588.	crd	1588.	1588.	1
Pon	Pon	np1	Pon	Pon	0
the	the	dt	the	the	0
twelft	twelft	ord	twelft	twelve	0
of	of	pp-f	of	of	0
October	October	np1	October	October	0
wee	wee	pns12	we	we	0
wayed	wayed	vvd	weighed	weigh	0
our	our	po12	our	our	0
ankers	ankers	n2	anchors	anchor	0
at	at	p-acp	at	at	0
Ratcliffe	Ratcliffe	np1	Ratcliffe	Ratcliff	0
and	and	cc	and	and	0
went	went	vvd	went	go	0
to	to	p-acp	to	to	0
Blackwall	Blackwall	np1	Blackwall	Blackwall	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
next	next	ord	next	next	0
day	day	n1	day	day	0
sayling	sayling	vvg	sailing	sail	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
contrary	contrary	j-jn	contrary	contrary	0
winde	winde	n1	wind	wind	0
and	and	cc	and	and	0
weather	weather	n1	weather	weather	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
made	made	vvd	made	make	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
25.	25.	crd	25.	25.	0
of	of	pp-f	of	of	0
October	October	np1	October	October	0
before	before	c-acp	before	before	0
wee	wee	pns12	we	we	0
were	were	vbdr	were	be	0
