also	also	av	also	also	0
be	be	vbb	be	be	0
kept	kept	vvn	kept	keep	0
inviolable	inviolable	j	inviolable	inviolable	0
,	,	,	,	,	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
thought	thought	vvn	thought	think	0
good	good	j	good	good	0
once	once	a-acp	once	once	0
again	again	av	again	again	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
ambassadors	ambassadors	n2	ambassadors	ambassador	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
William	William	np1	William	William	0
Esturmy	Esturmy	n1	Esturmy	esturmy	0
knight	knight	n1	knight	knight	0
to	to	pc-acp	to	to	0
Dordract	Dordract	vvi	Dordract	dordract	0
,	,	,	,	,	0
giving	giving	vvg	giving	give	0
him	him	pno31	him	he	0
charge	charge	n1	charge	charge	0
thither	thither	av	thither	thither	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
haste	haste	n1	haste	haste	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
stay	stay	vvi	stay	stay	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
messengers	messengers	n2	messengers	messenger	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
commandement	commandement	n1	commandment	commandment	0
doe	doe	vdb	do	do	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
convenient	convenient	j	convenient	convenient	0
repayre	repayre	n1	repair	repair	0
unto	unto	p-acp	unto	unto	0
that	that	d	that	that	0
place	place	n1	place	place	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
Gods	Gods	npg1	Gods	God	0
assistance	assistance	n1	assistance	assistance	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
unto	unto	p-acp	unto	unto	0
an	an	dt	and	a	0
happy	happy	j	happy	happy	0
conclusion	conclusion	n1	conclusion	conclusion	0
.	.	.	.	.	1
May	May	vmb	May	may	0
it	it	pn31	it	it	0
please	please	vvi	please	please	0
you	you	pn22	you	you	0
therefore	therefore	av	therefore	therefore	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
unfayned	unfayned	j	unfeigned	unfeigned	0
friendship	friendship	n1	friendship	friendship	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
all	all	d	all	all	0
inconvenience	inconvenience	n1	inconvenience	inconvenience	0
of	of	pp-f	of	of	0
delay	delay	n1	delay	delay	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
,	,	,	,	,	0
not	not	xx	not	not	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
unto	unto	p-acp	unto	unto	0
our	our	po12	our	our	0
forenamed	forenamed	j-vvn	forenamed	forename	0
knight	knight	n1	knight	knight	0
an	an	dt	and	a	0
answere	answere	n1	answer	answer	0
in	in	p-acp	in	in	0
writing	writing	vvg	writing	write	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
your	your	po22	your	your	0
will	will	vmb	will	will	0
and	and	cc	and	and	0
determination	determination	n1	determination	determination	0
is	is	vbz	is	be	0
.	.	.	.	.	1
Neither	Neither	av-d	Neither	neither	0
let	let	vvb	let	let	0
it	it	pn31	it	it	0
seeme	seeme	vvi	seem	seem	0
strange	strange	j	strange	strange	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
present	present	n1	present	present	0
sent	sent	vvd	sent	send	0
our	our	po12	our	our	0
forenamed	forenamed	j-vvn	forenamed	forename	0
John	John	np1	John	John	0
Kington	Kington	np1	Kington	Kington	0
clerke	clerke	n1	clerk	clerk	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
William	William	np1	William	William	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
abode	abode	n1	abided	abode	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
is	is	vbz	is	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
meane	meane	j	mean	mean	0
season	season	n1	season	season	0
employ	employ	vvi	employ	employ	0
his	his	po31	his	his	0
care	care	n1	care	care	0
and	and	cc	and	and	0
diligence	diligence	n1	diligence	diligence	0
about	about	p-acp	about	about	0
those	those	d	those	those	0
matters	matters	n2	matters	matter	0
which	which	r-crq	which	which	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
preparatives	preparatives	n2	preparatives	preparative	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
finall	finall	j	final	final	0
conclusion	conclusion	n1	conclusion	conclusion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresayd	foresayd	j-vvn	foresaid	foresay	0
busines	busines	n1	business	business	0
.	.	.	.	.	1
Honorable	Honorable	j	Honourable	honourable	0
sir	sir	n1	sir	sir	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
deare	deare	j-jn	deer	dear	0
friend	friend	n1	friend	friend	0
,	,	,	,	,	0
we	we	pns12	we	we	0
doe	doe	vdb	do	do	0
most	most	av-ds	most	most	0
heartily	heartily	av-j	heartily	hearty	0
wish	wish	vvi	wish	wish	0
increase	increase	n1	increase	increase	0
of	of	pp-f	of	of	0
prosperity	prosperity	n1	prosperity	prosperity	0
and	and	cc	and	and	0
joy	joy	n1	joy	joy	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
person	person	n1	person	person	0
.	.	.	.	.	1
Given	Given	j-vvn	Given	give	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
palace	palace	n1	palace	palace	0
of	of	pp-f	of	of	0
Westminster	Westminster	np1	Westminster	Westminster	0
the	the	dt	the	the	0
14.	14.	crd	14.	14.	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
Feb.	Feb.	np1	Feb.	Feb.	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeare	yeare	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
1407.	1407.	crd	1407.	1407.	0
1407.	1407.	crd	1407.	1407.	1
To	To	p-acp	To	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
noble	noble	j	noble	noble	0
and	and	cc	and	and	0
valiant	valiant	j	valiant	valiant	0
knight	knight	n1	knight	knight	0
Sir	Sir	n1	Sir	sir	0
[	[	[	[	[	0
I	I	pns11	I	i	0
-	-	-	-	-	0
176J	176J	np2	176J	176j	0
William	William	np1	William	William	0
Sturmy	Sturmy	n1	Sturmy	sturmy	0
sent	sent	vvn	sent	send	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
present	present	n1	present	present	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
sovereigne	sovereigne	j-jn	sovereign	sovereign	0
King	King	n1	King	king	0
