The	The	dt	The	the	0
voyage	voyage	n1	voyage	voyage	0
of	of	pp-f	of	of	0
Master	Master	n1	Master	master	0
Andrew	Andrew	np1	Andrew	Andrew	0
Barker	Barker	np1	Barker	Barker	0
of	of	pp-f	of	of	0
Bristol	Bristol	np1	Bristol	Bristol	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
two	two	crd	two	two	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
the	the	dt	the	the	0
one	one	pi	one	one	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Ragged	Ragged	j	Ragged	ragged	0
staffe	staffe	n1	staff	staff	0
,	,	,	,	,	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
the	the	dt	the	the	0
Beare	Beare	n1	Bear	bear	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Terra	Terra	fw-la	Terra	terra	0
firma	firma	fw-la	firma	firma	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Bay	Bay	n1	Bay	bay	0
of	of	pp-f	of	of	0
Honduras	Honduras	np1	Honduras	Honduras	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np1	Indies	Indies	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1576.	1576.	crd	1576.	1576.	1
Wherein	Wherein	c-crq	Wherein	wherein	0
the	the	dt	the	the	0
reasons	reasons	n2	reasons	reason	0
are	are	vbr	are	be	0
premised	premised	vvn	premised	premise	0
which	which	r-crq	which	which	0
mooved	mooved	vvd	moved	move	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
forth	forth	av	forth	forth	0
this	this	d	this	this	0
voyage	voyage	n1	voyage	voyage	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Spaniards	Spaniards	np2	Spaniards	Spaniard	0
:	:	:	:	:	0
collected	collected	vvn	collected	collect	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
notes	notes	n2	notes	note	0
and	and	cc	and	and	0
examinations	examinations	n2	examinations	examination	0
touching	touching	vvg	touching	touch	0
this	this	d	this	this	0
enterprise	enterprise	n1	enterprise	enterprise	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
Richard	Richard	np1	Richard	Richard	0
Hakluyt	Hakluyt	np1	Hakluyt	Hakluyt	0
.	.	.	.	.	1
Irst	Irst	n1	Irst	irst	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Andrew	Andrew	np1	Andrew	Andrew	0
Barker	Barker	np1	Barker	Barker	0
having	having	vhg	having	have	0
abode	abode	n1	abided	abode	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Canary	Canary	n1	Canary	canary	0
Islands	Islands	n2	Islands	island	0
called	called	vvn	called	call	0
Tenerif	Tenerif	n1	Tenerif	tenerif	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
time	time	n1	time	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
returning	returning	vvg	returning	return	0
home	home	av-an	home	home	0
left	left	j	left	left	0
behind	behind	p-acp	behind	behind	0
him	him	pno31	him	he	0
Charles	Charles	np1	Charles	Charles	0
Chester	Chester	np1	Chester	Chester	0
(	(	(	(	(	0
the	the	dt	the	the	0
sonne	sonne	n1	son	son	0
of	of	pp-f	of	of	0
Dominic	Dominic	np1	Dominic	Dominic	0
Chester	Chester	np1	Chester	Chester	0
merchant	merchant	n1	merchant	merchant	0
of	of	pp-f	of	of	0
Bristol	Bristol	np1	Bristol	Bristol	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
learn	learn	vvi	learn	learn	0
the	the	dt	the	the	0
language	language	n1	language	language	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Andrew	Andrew	np1	Andrew	Andrew	0
Barker	Barker	np1	Barker	Barker	0
forthwith	forthwith	av	forthwith	forthwith	0
upon	upon	p-acp	upon	upon	0
his	his	po31	his	his	0
arrivall	arrivall	n1	arrival	arrival	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
November	November	np1	November	November	0
,	,	,	,	,	0
1574	1574	crd	1574	1574	0
,	,	,	,	,	0
fraighted	fraighted	vvn	freighted	freight	0
a	a	dt	a	a	0
small	small	j	small	small	0
ship	ship	n1	ship	ship	0
(	(	(	(	(	0
named	named	vvd	nam	name	0
the	the	dt	the	the	0
Speedwell	Speedwell	np1	Speedwell	Speedwell	0
of	of	pp-f	of	of	0
Bristol	Bristol	np1	Bristol	Bristol	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Canaries	Canaries	n2	Canaries	canary	0
with	with	p-acp	with	with	0
cloth	cloth	n1	cloth	cloth	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
merchandise	merchandise	n1	merchandise	merchandise	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
great	great	j	great	great	0
value	value	n1	valve	value	0
.	.	.	.	.	1
He	He	pns31	He	he	0
sent	sent	vvd	sent	send	0
also	also	av	also	also	0
one	one	crd	one	one	0
John	John	np1	John	John	0
Drue	Drue	vvd	Drew	draw	0
of	of	pp-f	of	of	0
Bastable	Bastable	np1	Bastable	Bastable	0
-	-	-	-	-	0
as	as	c-acp	as	as	0
his	his	po31	his	his	0
Factor	Factor	n1	Factor	factor	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
sale	sale	n1	sale	sale	0
and	and	cc	and	and	0
dispose	dispose	n1	dispose	dispose	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
arrived	arrived	vvd	arrived	arrive	0
at	at	p-acp	at	at	0
Tenerif	Tenerif	n1	Tenerif	tenerif	0
,	,	,	,	,	0
landed	landed	vvd	landed	land	0
the	the	dt	the	the	0
marchandize	marchandize	n1	merchandise	merchandise	0
,	,	,	,	,	0
and	and	cc	and	and	0
sent	sent	vvd	sent	send	0
home	home	av-an	home	home	0
the	the	dt	the	the	0
barke	barke	n1	bark	bark	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
small	small	j	small	small	0
quantity	quantity	n1	quantity	quantity	0
of	of	pp-f	of	of	0
wine	wine	n1	wine	wine	0
,	,	,	,	,	0
making	making	vvg	making	make	0
account	account	n1	account	account	0
to	to	pc-acp	to	to	0
sell	sell	vvi	fell	sell	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
wares	wares	n2	wares	ware	0
to	to	p-acp	to	to	0
greater	greater	jc	greater	great	0
advantage	advantage	n1	advantage	advantage	0
in	in	p-acp	in	in	0
providing	providing	vvg	providing	provide	0
wines	wines	n2	wines	wine	0
and	and	cc	and	and	0
sugar	sugar	n1	sugar	sugar	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
lading	lading	n-vvg	lading	lade	0
of	of	pp-f	of	of	0
another	another	j-jn	another	another	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
Andrew	Andrew	np1	Andrew	Andrew	0
Barker	Barker	np1	Barker	Barker	0
had	had	vhd	had	have	0
appointed	appointed	vvn	appointed	appoint	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
thither	thither	av	thither	thither	0
.	.	.	.	.	1
Also	Also	av	Also	also	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
his	his	po31	his	his	0
purpose	purpose	n1	purpose	purpose	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Andrew	Andrew	np1	Andrew	Andrew	0
in	in	p-acp	in	in	0
March	March	n1	March	march	0
following	following	vvg	following	follow	0
sent	sent	vvd	sent	send	0
a	a	dt	a	a	0
ship	ship	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Christopher	Christopher	np1	Christopher	Christopher	0
of	of	pp-f	of	of	0
Dartmouth	Dartmouth	np1	Dartmouth	Dartmouth	0
,	,	,	,	,	0
captaine	captaine	n1	captain	captain	0
whereof	whereof	c-crq	whereof	whereof	0
was	was	vbds	was	be	0
one	one	crd	one	one	0
Henry	Henry	np1	Henry	Henry	0
Roberts	Roberts	np1	Roberts	Roberts	0
of	of	pp-f	of	of	0
Bristol	Bristol	np1	Bristol	Bristol	0
:	:	:	:	:	0
who	who	r-crq	who	who	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
landed	landed	vvn	landed	land	0
in	in	p-acp	in	in	0
Tenerif	Tenerif	n1	Tenerif	tenerif	0
,	,	,	,	,	0
&	&	cc	&	and	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
hope	hope	n1	hope	hope	0
to	to	pc-acp	to	to	0
find	find	vvi	find	find	0
the	the	dt	the	the	0
lading	lading	n-vvg	lading	lade	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
ship	ship	n1	ship	ship	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
readines	readines	n1	readiness	readiness	0
,	,	,	,	,	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
expectation	expectation	n1	expectation	expectation	0
,	,	,	,	,	0
was	was	vbds	was	be	0
suddenly	suddenly	av-j	suddenly	sudden	0
cast	cast	vvn	cast	cast	0
into	into	p-acp	into	into	0
prison	prison	n1	prison	prison	0
:	:	:	:	:	0
the	the	dt	the	the	0
Spaniards	Spaniards	np2	Spaniards	Spaniard	0
alleaging	alleaging	vvg	alleging	allege	0
that	that	cst	that	that	0
Andrew	Andrew	np1	Andrew	Andrew	0
Barker	Barker	np1	Barker	Barker	0
was	was	vbds	was	be	0
accused	accused	vvn	accused	accuse	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
inquisition	inquisition	n1	inquisition	inquisition	0
by	by	p-acp	by	by	0
Charles	Charles	np1	Charles	Charles	0
82	82	crd	82	82	0
Chester	Chester	np1	Chester	Chester	0
,	,	,	,	,	0
whereupon	whereupon	c-crq	whereupon	whereupon	0
his	his	po31	his	his	0
goods	goods	n2-j	goods	good	0
were	were	vbdr	were	be	0
confiscat	confiscat	vvn	confiscat	confiscate	0
,	,	,	,	,	0
his	his	po31	his	his	0
factor	factor	n1	factor	factor	0
John	John	np1	John	John	0
