Towreson	Towreson	n1	Towreson	towreson	0
with	with	p-acp	with	with	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
after	after	c-acp	after	after	0
dined	dined	vvn	dined	dine	0
at	at	p-acp	at	at	0
M.	M.	n1	M.	m.	0
Blaccollers	Blaccollers	n2	Blaccollers	blaccoller	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
many	many	d	many	many	0
salutations	salutations	n2	salutations	salutation	0
with	with	p-acp	with	with	0
divers	divers	j	diverse	diverse	0
gentlemen	gentlemen	n2	gentlemen	gentleman	0
.	.	.	.	.	1
1583.	1583.	crd	1583.	1583.	1
The	The	dt	The	the	0
31.	31.	crd	31.	31.	1
I	I	pns11	I	i	0
wrought	wrought	vvd	wrought	wrought	0
abord	abord	a-acp	aboard	aboard	0
all	all	d	all	all	0
day	day	n1	day	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
put	put	vvi	put	put	0
our	our	po12	our	our	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
and	and	cc	and	and	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
order	order	n1	order	order	0
:	:	:	:	:	0
Afternoone	Afternoone	n1	Afternoon	afternoon	0
I	I	pns11	I	i	0
having	having	vhg	having	have	0
pitie	pitie	n1	pity	pity	0
of	of	pp-f	of	of	0
some	some	d	some	some	0
poore	poore	j	poor	poor	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
Milbrooke	Milbrooke	np1	Milbrooke	Milbrooke	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
robbed	robbed	vvn	robbed	rob	0
the	the	dt	the	the	0
night	night	n1	night	night	0
before	before	a-acp	before	before	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
pirate	pirate	n1	pirate	pirate	0
named	named	vvn	nam	name	0
Purser	Purser	np1	Purser	Purser	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
rid	rid	vvd	rid	ride	0
in	in	p-acp	in	in	0
Cawson	Cawson	np1	Cawson	Cawson	0
bay	bay	n1	bay	bay	0
,	,	,	,	,	0
I	I	pns11	I	i	0
consented	consented	vvd	consented	consent	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
out	out	av	out	out	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Edward	Edward	np1	Edward	Edward	0
in	in	p-acp	in	in	0
company	company	n1	company	company	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
small	small	j	small	small	0
shippe	shippe	n1	ship	ship	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
furnished	furnished	vvn	furnished	furnish	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
their	their	po32	their	their	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
so	so	av	so	so	0
about	about	p-acp	about	about	0
five	five	crd	five	five	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
clocke	clocke	n1	clock	clock	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
afternoone	afternoone	n1	afternoon	afternoon	0
,	,	,	,	,	0
came	came	vvd	came	come	0
a	a	dt	a	a	0
hundreth	hundreth	ord	hundreth	hundred	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
theirs	theirs	png32	theirs	they	0
abord	abord	a-acp	aboard	aboard	0
of	of	pp-f	of	of	0
mee	mee	pno11	me	i	0
:	:	:	:	:	0
About	About	p-acp	About	about	0
twelve	twelve	crd	twelve	twelve	0
a	a	dt	a	a	0
clocke	clocke	n1	clock	clock	0
wee	wee	pns12	we	we	0
set	set	vvb	set	set	0
saile	saile	n1	sail	sail	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
three	three	crd	three	three	0
afore	afore	p-acp	afore	afore	0
day	day	n1	day	day	0
wee	wee	pns12	we	we	0
were	were	vbdr	were	be	0
gotten	gotten	vvn	got	get	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
windwards	windwards	n2	windwards	windward	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
then	then	cs	then	than	0
hee	hee	pns31	he	he	0
set	set	vvd	set	set	0
saile	saile	n1	sail	sail	0
,	,	,	,	,	0
and	and	cc	and	and	0
went	went	vvd	went	go	0
hence	hence	av	hence	hence	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Eastwards	Eastwards	av-j	Eastwards	eastwards	0
,	,	,	,	,	0
and	and	cc	and	and	0
outsailed	outsailed	vvd	outsailed	outsail	0
us	us	pno12	us	we	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
our	our	po12	our	our	0
consort	consort	n1	consort	consort	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
come	come	vvi	come	come	0
neere	neere	av-j	near	near	0
him	him	pno31	him	he	0
:	:	:	:	:	0
after	after	c-acp	after	after	0
a	a	dt	a	a	0
small	small	j	small	small	0
chase	chase	n1	chase	chase	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
gave	gave	vvd	gave	give	0
him	him	pno31	him	he	0
to	to	p-acp	to	to	0
no	no	dx	no	no	0
effect	effect	n1	effect	effect	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
returned	returned	vvd	returned	return	0
into	into	p-acp	into	into	0
our	our	po12	our	our	0
old	old	j	old	old	0
road	road	n1	road	road	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
moared	moared	vvd	moared	moar	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
about	about	p-acp	about	about	0
nine	nine	crd	nine	nine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
clocke	clocke	n1	clock	clock	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
forenoone	forenoone	n1	forenoon	forenoon	0
,	,	,	,	,	0
and	and	cc	and	and	0
hence	hence	av	hence	hence	0
went	went	vvd	went	go	0
all	all	d	all	all	0
the	the	dt	the	the	0
Milbrooke	Milbrooke	np1	Milbrooke	Milbrooke	0
men	men	n2	men	man	0
againe	againe	av	again	again	0
ashore	ashore	av	ashore	ashore	0
from	from	p-acp	from	from	0
mee	mee	pno11	me	i	0
.	.	.	.	.	1
And	And	cc	And	and	0
thus	thus	av	thus	thus	0
I	I	pns11	I	i	0
ended	ended	vvd	ended	end	0
a	a	dt	a	a	0
troublesome	troublesome	j	troublesome	troublesome	0
voyage	voyage	n1	voyage	voyage	0
.	.	.	.	.	1
[	[	[	[	[	0
ill	ill	av-jn	ill	ill	0
.	.	.	.	.	1
769.	769.	crd	769.	769	0
]	]	]	]	]	1
The	The	dt	The	the	0
voyage	voyage	n1	voyage	voyage	0
set	set	vvd	set	set	0
out	out	av	out	out	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
honourable	honourable	j	honourable	honourable	0
the	the	dt	the	the	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Cumberland	Cumberland	np1	Cumberland	Cumberland	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
1586.	1586.	crd	1586.	1586.	0
intended	intended	vvn	intended	intend	0
for	for	p-acp	for	for	0
The	The	dt	The	the	0
South	South	n1	South	south	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
performed	performed	vvd	performed	perform	0
no	no	av-dx	no	no	0
farther	farther	av-jc	farther	far	0
then	then	cs	then	than	0
the	the	dt	the	the	0
latitude	latitude	n1	latitude	latitude	0
of	of	pp-f	of	of	0
44.	44.	crd	44.	44.	0
degrees	degrees	n2	degrees	degree	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
South	South	n1	South	south	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Equinoctial	Equinoctial	j-jn	Equinoctial	equinoctial	0
,	,	,	,	,	0
Written	Written	vvn	Written	write	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Sarracoll	Sarracoll	np1	Sarracoll	Sarracoll	0
marchant	marchant	n1	merchant	merchant	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
voyage	voyage	n1	voyage	voyage	0
.	.	.	.	.	1
He	He	pns31	He	he	0
26.	26.	crd	26.	26.	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
June	June	np1	June	June	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1586.	1586.	crd	1586.	1586.	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
28.	28.	crd	28.	28.	0
yeere	yeere	n1	year	year	0
