Now	Now	av	Now	now	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
Livonians	Livonians	njp2	Livonians	livonians	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
subject	subject	j-jn	subject	subject	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
great	great	j	great	great	0
Master	Master	n1	Master	master	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
.	.	.	.	.	1
INprimis	INprimis	fw-la	INprimis	inprimis	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Master	Master	n1	Master	master	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
demaunded	demaunded	vvd	demanded	demand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
English	English	jp	English	english	0
ambassadours	ambassadours	n2	ambassadors	ambassador	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
behalfe	behalfe	n1	behalf	behalf	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
of	of	pp-f	of	of	0
Livonia	Livonia	np1	Livonia	Livonia	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Master	Master	n1	Master	master	0
his	his	po31	his	his	0
liege	liege	n1	liege	liege	0
people	people	n1	people	people	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
restitution	restitution	n1	restitution	restitution	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
losses	losses	n2	losses	loss	0
,	,	,	,	,	0
unjustly	unjustly	av-j	unjustly	unjust	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
sayth	sayth	vvz	say	say	0
)	)	)	)	)	0
offered	offered	vvd	offered	offer	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
English	English	jp	English	english	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
robbing	robbing	n-vvg	robbing	rob	0
and	and	cc	and	and	0
rifling	rifling	vvg	rifling	rifle	0
of	of	pp-f	of	of	0
three	three	crd	three	three	0
ships	ships	n2	ships	ship	0
.	.	.	.	.	1
The	The	dt	The	the	0
value	value	n1	valve	value	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
ships	ships	n2	ships	ship	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
goods	goods	n2-j	goods	good	0
contained	contained	vvn	contained	contain	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
computation	computation	n1	computation	computation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Livonian	Livonian	jp	Livonian	livonian	0
marchants	marchants	n2	merchants	merchant	0
,	,	,	,	,	0
doeth	doeth	vdz	doth	do	0
amount	amount	vvi	amount	amount	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
8037.	8037.	crd	8037.	8037.	0
pound	pound	n1	pound	pound	0
,	,	,	,	,	0
12.	12.	crd	12.	12.	0
shillings	shillings	n2	shillings	shilling	0
7.	7.	crd	7.	7.	0
pence	pence	n2	pence	penny	0
.	.	.	.	.	1
Howbeit	Howbeit	a-acp	Howbeit	howbeit	0
afterward	afterward	av	afterwards	afterward	0
the	the	dt	the	the	0
trueth	trueth	n1	truth	truth	0
being	being	vbg	being	be	0
inquired	inquired	vvn	inquired	inquire	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
ambassadors	ambassadors	n2	ambassadors	ambassador	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
the	the	dt	the	the	0
losse	losse	n1	loss	loss	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Livonians	Livonians	njp2	Livonians	livonians	0
exceedeth	exceedeth	vvz	exceeds	exceed	0
not	not	xx	not	not	0
the	the	dt	the	the	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
7498.	7498.	crd	7498.	7498.	0
pound	pound	n1	pound	pound	0
,	,	,	,	,	0
13.	13.	crd	13.	13.	0
shillings	shillings	n2	shillings	shilling	0
,	,	,	,	,	0
10.	10.	crd	10.	10.	0
pence	pence	n2	pence	penny	0
halfepeny	halfepeny	n1	halfpenny	halfpenny	0
farthing	farthing	n1	farthing	farthing	0
.	.	.	.	.	1
Item	Item	n1	Item	item	0
,	,	,	,	,	0
forasmuch	forasmuch	av	forasmuch	forasmuch	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
behalfe	behalfe	n1	behalf	behalf	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
cities	cities	n2	cities	city	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hans	Hans	np1	Hans	Hans	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
alleadged	alleadged	vvd	alleged	allege	0
above	above	p-acp	above	above	0
250.	250.	crd	250.	250.	0
men	men	n2	men	man	0
very	very	av	very	very	0
barbarously	barbarously	av-j	barbarously	barbarous	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
drowned	drowned	vvn	drowned	drown	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
whome	whome	ro-crq	whom	who	0
some	some	d	some	some	0
were	were	vbdr	were	be	0
noble	noble	j	noble	noble	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
honourable	honourable	j	honourable	honourable	0
personages	personages	n2	personages	personage	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
common	common	j	common	common	0
marchants	marchants	n2	merchants	merchant	0
&	&	cc	&	and	0
mariners	mariners	n2	mariners	mariner	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
demaunded	demaunded	vvn	demanded	demand	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
first	first	ord	first	first	0
dyet	dyet	n1	diet	diet	0
or	or	cc	or	or	0
convention	convention	n1	convention	convention	0
holden	holden	vvn	held	hold	0
at	at	p-acp	at	at	0
Dordract	Dordract	n1	Dordract	dordract	0
,	,	,	,	,	0
a	a	dt	a	a	0
recompense	recompense	n1	recompense	recompense	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
handes	handes	n2	hands	hand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
English	English	jp	English	english	0
ambassadors	ambassadors	n2	ambassadors	ambassador	0
:	:	:	:	:	0
albeit	albeit	cs	albeit	albeit	0
this	this	d	this	this	0
complaint	complaint	n1	complaint	complaint	0
was	was	vbds	was	be	0
exhibited	exhibited	vvn	exhibited	exhibit	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
very	very	av	very	very	0
latter	latter	d	latter	latter	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
the	the	dt	the	the	0
negotiations	negotiations	n2	negotiations	negotiation	0
