The	The	dt	The	the	0
Queenes	Queenes	ng1	Queens	queen	0
Majesties	Majesties	ng1	Majesties	majesty	0
letter	letter	n1	letter	letter	0
to	to	p-acp	to	to	0
Theodore	Theodore	np1	Theodore	Theodore	0
Ivanovich	Ivanovich	np1	Ivanovich	Ivanovich	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
1591.	1591.	crd	1591.	1591.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Lizabeth	Lizabeth	np1	Lizabeth	Lizabeth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
France	France	np1	France	France	0
,	,	,	,	,	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
defender	defender	n1	defender	defender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
high	high	j	high	high	0
,	,	,	,	,	0
mighty	mighty	j	mighty	mighty	0
,	,	,	,	,	0
and	and	cc	and	and	0
right	right	j-jn	right	right	0
noble	noble	j	noble	noble	0
prince	prince	n1	prince	prince	0
Theodore	Theodore	np1	Theodore	Theodore	0
Ivanovich	Ivanovich	np1	Ivanovich	Ivanovich	0
great	great	j	great	great	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
King	King	n1	King	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
Volodemer	Volodemer	n1	Volodemer	volodemer	0
,	,	,	,	,	0
Mosco	Mosco	np1	Mosco	Moscow	0
,	,	,	,	,	0
Novogrod	Novogrod	np1	Novogrod	Novogrod	0
,	,	,	,	,	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Cazan	Cazan	np1	Cazan	Cazan	0
,	,	,	,	,	0
and	and	cc	and	and	0
Astracan	Astracan	jp	Astracan	astracan	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Vobsko	Vobsko	np1	Vobsko	Vobsko	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Smolensko	Smolensko	np1	Smolensko	Smolensko	0
,	,	,	,	,	0
Otver	Otver	av	Otver	otver	0
,	,	,	,	,	0
Ughory	Ughory	np1	Ughory	Ughory	0
,	,	,	,	,	0
Perme	Perme	n1	Perm	perm	0
,	,	,	,	,	0
Viatski	Viatski	np1	Viatski	Viatski	0
,	,	,	,	,	0
Bolgory	Bolgory	np1	Bolgory	Bolgory	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
