I	I	pns11	I	i	0
perceive	perceive	vvb	perceive	perceive	0
that	that	cst	that	that	0
such	such	d	such	such	0
attempts	attempts	n2	attempts	attempt	0
of	of	pp-f	of	of	0
newe	newe	j	new	new	0
discoveries	discoveries	n2	discoveries	discovery	0
(	(	(	(	(	0
where-unto	where-unto	j	whereunto	whereunto	0
this	this	d	this	this	0
noble	noble	j	noble	noble	0
Island	Island	n1	Island	island	0
is	is	vbz	is	be	0
most	most	av-ds	most	most	0
aptly	aptly	av-j	aptly	apt	0
situated	situated	vvn	situated	situate	0
)	)	)	)	)	0
are	are	vbr	are	be	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
royall	royall	j	royal	royal	0
maintenance	maintenance	n1	maintenance	maintenance	0
so	so	av	so	so	0
willingly	willingly	av-j	willingly	willing	0
furthered	furthered	vvn	furthered	further	0
:	:	:	:	:	0
beseeching	beseeching	vvg	beseeching	beseech	0
your	your	po22	your	your	0
highnesse	highnesse	n1	highness	highness	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
accept	accept	vvi	accept	accept	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
my	my	po11	my	my	0
travailes	travailes	n2	travails	travail	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
pledge	pledge	n1	pledge	pledge	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
well	well	av	well	well	0
willing	willing	j	willing	willing	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
loyall	loyall	j	loyal	loyal	0
service	service	n1	service	service	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
majestie	majestie	n1	majesty	majesty	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
healthfull	healthfull	j	healthful	healthful	0
happie	happie	j	happy	happy	0
life	life	n1	life	life	0
and	and	cc	and	and	0
reigne	reigne	n1	reign	reign	0
God	God	np1	God	God	0
continue	continue	vvi	continue	continue	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
Almightie	Almightie	j-jn	Almighty	almighty	0
.	.	.	.	.	1
Amen	Amen	uh-n	Amen	amen	0
.	.	.	.	.	1
Your	Your	po22	Your	your	0
Majesties	Majesties	ng1	Majesties	majesty	0
most	most	av-ds	most	most	0
humble	humble	j	humble	humble	0
subject	subject	j-jn	subject	subject	0
William	William	np1	William	William	0
Burrough	Burrough	np1	Burrough	Burrough	0
.	.	.	.	.	1
The	The	dt	The	the	0
Queenes	Queenes	ng1	Queens	queen	0
Majesties	Majesties	n2	Majesties	majesty	0
letters	letters	n2	letters	letter	0
to	to	p-acp	to	to	0
Shaugh	Shaugh	uh	Shaugh	shaugh	0
Thamas	Thamas	np1	Thamas	Thamas	0
the	the	dt	the	the	0
great	great	j	great	great	0
Sophi	Sophi	np1	Sophi	Sophi	0
of	of	pp-f	of	of	0
Persia	Persia	np1	Persia	Persia	0
,	,	,	,	,	0
sent	sent	vvn	sent	send	0
by	by	p-acp	by	by	0
Arthur	Arthur	np1	Arthur	Arthur	0
Edwards	Edwards	npg1	Edwards	Edward	0
,	,	,	,	,	0
William	William	np1	William	William	0
Turnbull	Turnbull	np1	Turnbull	Turnbull	0
,	,	,	,	,	0
