A	A	dt	A	a	0
voyage	voyage	n1	voyage	voyage	0
made	made	vvn	made	make	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
shippes	shippes	n2	ships	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
[	[	[	[	[	0
II.	II.	crd	II	ii	0
i	i	sy	i	i	0
.	.	.	.	.	1
98.	98.	crd	98.	98.	0
]	]	]	]	]	1
Crosse	Crosse	n1	Cross	cross	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Mathew	Mathew	np1	Mathew	Matthew	0
Gonson	Gonson	np1	Gonson	Gonson	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Iles	Iles	n2	Isles	isle	0
of	of	pp-f	of	of	0
Candia	Candia	np1	Candia	Candia	0
and	and	cc	and	and	0
Chio	Chio	np1	Chio	Chio	0
,	,	,	,	,	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1534	1534	crd	1534	1534	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
relation	relation	n1	relation	relation	0
made	made	vvd	made	make	0
to	to	p-acp	to	to	0
Master	Master	n1	Master	master	0
Richard	Richard	np1	Richard	Richard	0
Hackluit	Hackluit	np1	Hackluit	Hackluit	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
John	John	np1	John	John	0
Williamson	Williamson	np1	Williamson	Williamson	0
,	,	,	,	,	0
Cooper	Cooper	np1	Cooper	Cooper	0
and	and	cc	and	and	0
citizen	citizen	n1	citizen	citizen	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
lived	lived	vvd	lived	live	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
1592	1592	crd	1592	1592	0
,	,	,	,	,	0
and	and	cc	and	and	0
went	went	vvd	went	go	0
as	as	p-acp	as	as	0
cooper	cooper	n1	cooper	cooper	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Mathew	Mathew	np1	Mathew	Matthew	0
Gonson	Gonson	np1	Gonson	Gonson	0
the	the	dt	the	the	0
next	next	ord	next	next	0
voyage	voyage	n1	voyage	voyage	0
after	after	a-acp	after	after	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Holy	Holy	j	Holy	holy	0
Crosse	Crosse	n1	Cross	cross	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Mathew	Mathew	np1	Mathew	Matthew	0
Gonson	Gonson	np1	Gonson	Gonson	0
depart	depart	vvi	depart	depart	0
for	for	p-acp	for	for	0
Turkle	Turkle	np1	Turkle	Turkle	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
shippes	shippes	n2	ships	ship	0
called	called	vvn	called	call	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
Crosse	Crosse	n1	Cross	cross	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Mathew	Mathew	np1	Mathew	Matthew	0
Gonson	Gonson	np1	Gonson	Gonson	0
,	,	,	,	,	0
made	made	vvd	made	make	0
a	a	dt	a	a	0
voyage	voyage	n1	voyage	voyage	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Ilandes	Ilandes	n2	Islands	island	0
of	of	pp-f	of	of	0
Candia	Candia	np1	Candia	Candia	0
and	and	cc	and	and	0
Chio	Chio	np1	Chio	Chio	0
in	in	p-acp	in	in	0
Turkic	Turkic	n1	Turkic	turkic	0
,	,	,	,	,	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1534.	1534.	crd	1534.	1534.	1
And	And	cc	And	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Mathew	Mathew	np1	Mathew	Matthew	0
went	went	vvd	went	go	0
as	as	p-acp	as	as	0
Captaine	Captaine	n1	Captain	captain	0
M.	M.	n1	M.	m.	0
Richard	Richard	np1	Richard	Richard	0
Gonson	Gonson	np1	Gonson	Gonson	0
,	,	,	,	,	0
sonne	sonne	n1	son	son	0
of	of	pp-f	of	of	0
old	old	j	old	old	0
Master	Master	n1	Master	master	0
William	William	np1	William	William	0
Gonson	Gonson	np1	Gonson	Gonson	0
,	,	,	,	,	0
paymaster	paymaster	n1	paymaster	paymaster	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
navie	navie	n1	navy	navy	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
In	In	p-acp	In	in	0
this	this	d	this	this	0
first	first	ord	first	first	0
voyage	voyage	n1	voyage	voyage	0
went	went	vvd	went	go	0
William	William	np1	William	William	0
Holstocke	Holstocke	np1	Holstocke	Holstocke	0
(	(	(	(	(	0
who	who	r-crq	who	who	0
afterwards	afterwards	av	afterwards	afterward	0
was	was	vbds	was	be	0
Controuller	Controuller	n1	Controller	controller	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
Navie	Navie	n1	Navy	navy	0
,	,	,	,	,	0
lately	lately	av-j	lately	late	0
deceased	deceased	vvn	deceased	decease	0
)	)	)	)	)	0
as	as	p-acp	as	as	0
page	page	n1	page	page	0
to	to	p-acp	to	to	0
M.	M.	n1	M.	m.	0
Richard	Richard	np1	Richard	Richard	0
Gonson	Gonson	np1	Gonson	Gonson	0
aforesaid	aforesaid	vvn	aforesaid	aforesaid	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
M.	M.	n1	M.	m.	0
Gonson	Gonson	np1	Gonson	Gonson	0
died	died	vvd	died	die	0
in	in	p-acp	in	in	0
Chio	Chio	np1	Chio	Chio	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
his	his	po31	his	his	0
first	first	ord	first	first	0
voyage	voyage	n1	voyage	voyage	0
.	.	.	.	.	1
The	The	dt	The	the	0
ship	ship	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
Crosse	Crosse	n1	Cross	cross	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
short	short	j	short	short	0
shippe	shippe	n1	ship	ship	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
burden	burden	n1	burden	burden	0
160	160	crd	160	160	0
tunnes	tunnes	n2	tons	ton	0
.	.	.	.	.	1
And	And	cc	And	and	0
having	having	vhg	having	have	0
beene	beene	vbn	been	be	0
a	a	dt	a	a	0
full	full	j	full	full	0
yeere	yeere	n1	year	year	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
in	in	p-acp	in	in	0
performance	performance	n1	performance	performance	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
danger	danger	n1	danger	danger	0
she	she	pns31	she	she	0
returned	returned	vvd	returned	return	0
home	home	av-an	home	home	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
her	her	po31	her	her	0
arrivall	arrivall	n1	arrival	arrival	0
at	at	p-acp	at	at	0
Blackwall	Blackwall	np1	Blackwall	Blackwall	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Thames	Thames	np1	Thames	Thames	0
,	,	,	,	,	0
her	her	po31	her	her	0
wine	wine	n1	wine	wine	0
and	and	cc	and	and	0
oyle	oyle	n1	oil	oil	0
caske	caske	n1	cask	cask	0
was	was	vbds	was	be	0
found	found	vvn	found	find	0
so	so	av	so	so	0
weake	weake	j	weak	weak	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
hoyse	hoyse	vvi	hoist	hoist	0
them	them	pno32	them	they	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
were	were	vbdr	were	be	0
constrayned	constrayned	vvn	constrained	constrain	0
to	to	pc-acp	to	to	0
draw	draw	vvi	draw	draw	0
them	them	pno32	them	they	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
lay	lay	vvd	lay	lie	0
,	,	,	,	,	0
and	and	cc	and	and	0
put	put	vvd	put	put	0
their	their	po32	their	their	0
wine	wine	n1	wine	wine	0
and	and	cc	and	and	0
oyle	oyle	n1	oil	oil	0
into	into	p-acp	into	into	0
new	new	j	new	new	0
vessels	vessels	n2	vessels	vessel	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
unlade	unlade	vvi	unladen	unlade	0
the	the	dt	the	the	0
shippe	shippe	n1	ship	ship	0
.	.	.	.	.	1
Their	Their	po32	Their	their	0
chiefe	chiefe	j-jn	chief	chief	0
fraight	fraight	vvn	fraught	fraught	0
,	,	,	,	,	0
67	67	crd	67	67	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
was	was	vbds	was	be	0
very	very	av	very	very	0
excellent	excellent	j	excellent	excellent	0
Muscatels	Muscatels	np1	Muscatels	Muscatels	0
and	and	cc	and	and	0
red	red	j-jn	read	red	0
Malmesie	Malmesie	n1	Malmesy	malmesy	0
,	,	,	,	,	0
the	the	dt	the	the	0
like	like	j	like	like	0
whereof	whereof	c-crq	whereof	whereof	0
were	were	vbdr	were	be	0
seeldome	seeldome	av	seldom	seldom	0
seene	seene	vvn	seen	see	0
before	before	a-acp	before	before	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
.	.	.	.	.	1
They	They	pns32	They	they	0
brought	brought	vvd	brought	bring	0
home	home	av-an	home	home	0
also	also	av	also	also	0
good	good	j	good	good	0
quantitie	quantitie	n1	quantity	quantity	0
of	of	pp-f	of	of	0
sweete	sweete	j	sweet	sweet	0
oyles	oyles	n2	oils	oil	0
,	,	,	,	,	0
cotton	cotton	n1	cotton	cotton	0
woolles	woolles	n2	wools	wool	0
,	,	,	,	,	0
Turkie	Turkie	n1	Turkey	turquoise	0
Carpets	Carpets	n2	Carpets	carpet	0
,	,	,	,	,	0
Galles	Galles	n2	Galls	gall	0
,	,	,	,	,	0
Cynamon	Cynamon	n1	Cynamon	cinnamon	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
other	other	j-jn	other	other	0
spices	spices	n2	spices	spice	0
.	.	.	.	.	1
The	The	dt	The	the	0
saide	saide	j-vvn	said	say	0
shippe	shippe	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Holy	Holy	j	Holy	holy	0
Crosse	Crosse	n1	Cross	cross	0
was	was	vbds	was	be	0
so	so	av	so	so	0
shaken	shaken	vvn	shaken	shake	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
weakened	weakened	vvn	weakened	weaken	0
,	,	,	,	,	0
that	that	cst	that	that	0
she	she	pns31	she	she	0
was	was	vbds	was	be	0
layd	layd	vvn	laid	lay	0
up	up	a-acp	up	up	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
docke	docke	n1	dock	dock	0
,	,	,	,	,	0
and	and	cc	and	and	0
never	never	av-x	never	never	0
made	made	vvd	made	make	0
voyage	voyage	n1	voyage	voyage	0
after	after	p-acp	after	after	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
.	.	.	.	.	1
