The	The	dt	The	the	0
course	course	n1	course	course	0
which	which	r-crq	which	which	0
Sir	Sir	n1	Sir	sir	0
Francis	Francis	np1	Francis	Francis	0
Drake	Drake	np1	Drake	Drake	0
held	held	vvd	held	hold	0
from	from	p-acp	from	from	0
[	[	[	[	[	0
HI	HI	pno31	HIM	he	0
.	.	.	.	.	1
440.	440.	crd	440.	440.	0
]	]	]	]	]	0
the	the	dt	the	the	0
haven	haven	n1	haven	haven	0
of	of	pp-f	of	of	0
Guatulco	Guatulco	np1	Guatulco	Guatulco	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
South	South	n1	South	south	0
sea	sea	n1	sea	sea	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
backe	backe	n1	back	back	0
side	side	n1	side	side	0
of	of	pp-f	of	of	0
Nueva	Nueva	np1	Nueva	Nueva	0
Espanna	Espanna	np1	Espanna	Espanna	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
North-west	North-west	n1-an	Northwest	northwest	0
of	of	pp-f	of	of	0
California	California	np1	California	California	0
as	as	c-acp	as	as	0
far	far	av-j	far	far	0
as	as	c-acp	as	as	0
fourtie	fourtie	crd	fourtie	fourty	0
three	three	crd	three	three	0
degrees	degrees	n2	degrees	degree	0
:	:	:	:	:	0
and	and	cc	and	and	0
his	his	po31	his	his	0
returne	returne	n1	return	return	0
back	back	av	back	back	0
along	along	a-acp	along	along	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Coast	Coast	n1	Coast	coast	0
to	to	p-acp	to	to	0
thirtie	thirtie	crd	thirtie	thirty	0
eight	eight	crd	eight	eight	0
degrees	degrees	n2	degrees	degree	0
:	:	:	:	:	0
where	where	c-crq	where	where	0
finding	finding	vvg	finding	find	0
a	a	dt	a	a	0
faire	faire	j	fair	fair	0
and	and	cc	and	and	0
goodly	goodly	j	goodly	goodly	0
haven	haven	n1	haven	haven	0
,	,	,	,	,	0
he	he	pns31	he	he	0
landed	landed	vvd	landed	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
staying	staying	vvg	staying	stay	0
there	there	a-acp	there	there	0
many	many	d	many	many	0
weekes	weekes	n2	weeks	week	0
,	,	,	,	,	0
and	and	cc	and	and	0
discovering	discovering	vvg	discovering	discover	0
many	many	d	many	many	0
excellent	excellent	j	excellent	excellent	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
and	and	cc	and	and	0
great	great	j	great	great	0
shewe	shewe	n1	show	show	0
of	of	pp-f	of	of	0
rich	rich	j	rich	rich	0
minerail	minerail	j	minerail	minerail	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
offered	offered	vvn	offered	offer	0
the	the	dt	the	the	0
dominion	dominion	n1	dominion	dominion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
tooke	tooke	vvd	took	take	0
possession	possession	n1	possession	possession	0
thereof	thereof	av	thereof	thereof	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
behalfe	behalfe	n1	behalf	behalf	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
and	and	cc	and	and	0
named	named	vvd	nam	name	0
it	it	pn31	it	it	0
Nova	Nova	np1	Nova	Nova	0
Albion	Albion	np1	Albion	Albion	0
.	.	.	.	.	1
Ee	Ee	pns11	Ee	i	0
kept	kept	vvd	kept	keep	0
our	our	po12	our	our	0
course	course	n1	course	course	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
of	of	pp-f	of	of	0
Cano	Cano	n1	Canon	canon	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
lyeth	lyeth	vvz	lies	lie	0
in	in	p-acp	in	in	0
eight	eight	crd	eight	eight	0
degrees	degrees	n2	degrees	degree	0
of	of	pp-f	of	of	0
Northerly	Northerly	j	Northerly	northerly	0
latitude	latitude	n1	latitude	latitude	0
,	,	,	,	,	0
and	and	cc	and	and	0
within	within	p-acp	within	within	0
two	two	crd	two	two	0
leagues	leagues	n2	leagues	league	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
maine	maine	n1	main	main	0
of	of	pp-f	of	of	0
Nicaragua	Nicaragua	np1	Nicaragua	Nicaragua	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
wee	wee	pns12	we	we	0
calked	calked	vvd	calked	calk	0
and	and	cc	and	and	0
trimmed	trimmed	vvn	trimmed	trim	0
our	our	po12	our	our	0
ship	ship	n1	ship	ship	0
)	)	)	)	)	0
along	along	p-acp	along	along	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Nueva	Nueva	np1	Nueva	Nueva	0
Espanna	Espanna	np1	Espanna	Espanna	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
we	we	pns12	we	we	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Haven	Haven	n1	Haven	haven	0
and	and	cc	and	and	0
Towne	Towne	n1	Town	town	0
of	of	pp-f	of	of	0
Guatulco	Guatulco	np1	Guatulco	Guatulco	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
informed	informed	vvn	informed	inform	0
)	)	)	)	)	0
had	had	vhd	had	have	0
but	but	p-acp	but	but	0
seventeene	seventeene	crd	seventeene	seventeen	0
Spaniards	Spaniards	np1	Spaniards	Spaniards	0
dwelling	dwelling	vvg	dwelling	dwell	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
we	we	pns12	we	we	0
found	found	vvd	found	find	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
in	in	p-acp	in	in	0
fifteene	fifteene	crd	fifteene	fifteen	0
degrees	degrees	n2	degrees	degree	0
and	and	cc	and	and	0
fiftie	fiftie	crd	fiftie	fifty	0
minutes	minutes	n2	minutes	minute	0
.	.	.	.	.	1
Assoone	Assoone	c-acp	Assoon	assoon	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
entred	entred	vvn	entered	enter	0
this	this	d	this	this	0
Haven	Haven	n1	Haven	haven	0
we	we	pns12	we	we	0
landed	landed	vvd	landed	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
went	went	vvd	went	go	0
presently	presently	av-j	presently	present	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Towne	Towne	n1	Town	town	0
house	house	n1	house	house	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
found	found	vvd	found	find	0
a	a	dt	a	a	0
Judge	Judge	n1	Judge	judge	0
sitting	sitting	vvg	sitting	sit	0
in	in	p-acp	in	in	0
judgement	judgement	n1	judgement	judgement	0
,	,	,	,	,	0
he	he	pns31	he	he	0
being	being	vbg	being	be	0
associate	associate	n1	associate	associate	0
with	with	p-acp	with	with	0
three	three	crd	three	three	0
other	other	j-jn	other	other	0
officers	officers	n2	officers	officer	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
three	three	crd	three	three	0
Negroes	Negroes	n2	Negroes	negro	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
conspired	conspired	vvn	conspired	conspire	0
the	the	dt	the	the	0
burning	burning	j-vvg	burning	burn	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Towne	Towne	n1	Town	town	0
:	:	:	:	:	0
both	both	d	both	both	0
which	which	r-crq	which	which	0
Judges	Judges	n2	Judges	judge	0
,	,	,	,	,	0
and	and	cc	and	and	0
prisoners	prisoners	n2	prisoners	prisoner	0
we	we	pns12	we	we	0
tooke	tooke	vvd	took	take	0
,	,	,	,	,	0
and	and	cc	and	and	0
brought	brought	vvd	brought	bring	0
them	them	pno32	them	they	0
a	a	dt	a	a	0
shippeboord	shippeboord	n1	shippeboord	shippeboord	0
,	,	,	,	,	0
and	and	cc	and	and	0
caused	caused	vvd	caused	cause	0
the	the	dt	the	the	0
chiefe	chiefe	j-jn	chief	chief	0
Judge	Judge	n1	Judge	judge	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
his	his	po31	his	his	0
letter	letter	n1	letter	letter	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Towne	Towne	n1	Town	town	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
command	command	vvi	command	command	0
all	all	d	all	all	0
the	the	dt	the	the	0
Townesmen	Townesmen	n2	Townsmen	townsman	0
to	to	pc-acp	to	to	0
avoid	avoid	vvi	avoid	avoid	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
might	might	vmd	might	may	0
safely	safely	av-j	safely	safe	0
water	water	vvi	water	water	0
there	there	a-acp	there	there	0
.	.	.	.	.	1
319	319	crd	319	319	0
Which	Which	q-crq	Which	which	0
being	being	vbg	being	be	0
done	done	vdn	done	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
departed	departed	vvd	departed	depart	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
ransaked	ransaked	vvd	ransacked	ransack	0
the	the	dt	the	the	0
Towne	Towne	n1	Town	town	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
house	house	n1	house	house	0
we	we	pns12	we	we	0
found	found	vvd	found	find	0
a	a	dt	a	a	0
pot	pot	n1	pot	pot	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
quantitie	quantitie	n1	quantity	quantity	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
bushell	bushell	n1	bushel	bushel	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
royals	royals	n2	royals	royal	0
of	of	pp-f	of	of	0
plate	plate	n1	plate	plate	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
brought	brought	vvd	brought	bring	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
ship	ship	n1	ship	ship	0
.	.	.	.	.	1
