Ginger	Ginger	np1	Ginger	Ginger	0
for	for	p-acp	for	for	0
14.	14.	crd	14.	14.	0
ducats	ducats	n2	ducats	ducat	0
.	.	.	.	.	1
You	You	pn22	You	you	0
must	must	vmb	must	must	0
take	take	vvi	take	take	0
canvas	canvas	n1	canvas	canvas	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
bags	bags	n2	bags	bag	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
your	your	po22	your	your	0
commoditie	commoditie	n1	commodity	commodity	0
in	in	p-acp	in	in	0
from	from	p-acp	from	from	0
Alexandria	Alexandria	np1	Alexandria	Alexandria	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
none	none	pix	none	none	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
is	is	vbz	is	be	0
also	also	av	also	also	0
fine	fine	j	fine	fine	0
flaxe	flaxe	n1	flax	flax	0
,	,	,	,	,	0
and	and	cc	and	and	0
good	good	j	good	good	0
store	store	n1	store	store	0
of	of	pp-f	of	of	0
Buffe	Buffe	n1	Buff	buff	0
hides	hides	vvz	hides	hide	0
.	.	.	.	.	1
A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
ambassador	ambassador	n1	ambassador	ambassador	0
to	to	p-acp	to	to	0
M.	M.	n1	M.	m.	0
Edward	Edward	np1	Edward	Edward	0
Barton	Barton	np1	Barton	Barton	0
.	.	.	.	.	1
Aster	Aster	np1	Aster	Aster	0
Barton	Barton	np1	Barton	Barton	0
I	I	pns11	I	i	0
send	send	vvb	send	send	0
you	you	pn22	you	you	0
3.	3.	crd	3.	3.	0
commande-ments	commande-ments	j	commandments	commandments	0
in	in	p-acp	in	in	0
Turkish	Turkish	jp	Turkish	turkish	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
copy	copy	n1	copy	copy	0
thereof	thereof	av	thereof	thereof	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ende	ende	n1	end	end	0
our	our	po12	our	our	0
ships	ships	n2	ships	ship	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
come	come	vvi	come	come	0
in	in	p-acp	in	in	0
danger	danger	n1	danger	danger	0
of	of	pp-f	of	of	0
breach	breach	n1	breach	breach	0
of	of	pp-f	of	of	0
league	league	n1	league	league	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
shoote	shoote	vvi	shoot	shoot	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
gallies	gallies	n2	galleys	galley	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
of	of	pp-f	of	of	0
Algier	Algier	np1	Algier	Algiers	0
,	,	,	,	,	0
Tunis	Tunis	np1	Tunis	Tunis	0
,	,	,	,	,	0
and	and	cc	and	and	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
West	West	n1	West	west	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
after	after	c-acp	after	after	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
shewed	shewed	vvn	showed	show	0
the	the	dt	the	the	0
Bassas	Bassas	n2	Bassas	bassa	0
,	,	,	,	,	0
receive	receive	vvb	receive	receive	0
againe	againe	av	again	again	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
,	,	,	,	,	0
and	and	cc	and	and	0
see	see	vvi	see	see	0
them	them	pno32	them	they	0
registred	registred	vvn	registered	register	0
,	,	,	,	,	0
and	and	cc	and	and	0
then	then	av	then	then	0
deliver	deliver	vvi	deliver	deliver	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
friend	friend	n1	friend	friend	0
M.	M.	n1	M.	m.	0
Tipton	Tipton	np1	Tipton	Tipton	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
like	like	j	like	like	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
privilege	privilege	n1	privilege	privilege	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
cary	cary	vvb	carry	carry	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
see	see	vvi	see	see	0
them	them	pno32	them	they	0
jointly	jointly	av-j	jointly	joint	0
registred	registred	vvn	registered	register	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Cadies	Cadies	ng1	Cadies	cadies	0
booke	booke	n1	book	book	0
,	,	,	,	,	0
delivering	delivering	vvg	delivering	deliver	0
the	the	dt	the	the	0
copy	copy	n1	copy	copy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
privilege	privilege	n1	privilege	privilege	0
sealed	sealed	vvn	sealed	seal	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Cadi	Cadi	np1	Cadi	Cadi	0
,	,	,	,	,	0
also	also	av	also	also	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sayd	sayd	vvn	said	say	0
our	our	po12	our	our	0
friend	friend	n1	friend	friend	0
M.	M.	n1	M.	m.	0
Tipton	Tipton	np1	Tipton	Tipton	0
,	,	,	,	,	0
taking	taking	vvg	taking	take	0
a	a	dt	a	a	0
note	note	n1	note	note	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
hand	hand	n1	hand	hand	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
receipt	receipt	n1	receipt	receipt	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
deliverie	deliverie	n1	delivery	delivery	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
times	times	n2	times	time	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
or	or	cc	or	or	0
our	our	po12	our	our	0
assignes	assignes	vvz	assigns	assign	0
.	.	.	.	.	1
And	And	cc	And	and	0
require	require	vvb	require	require	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
majesties	majesties	n2	majesties	majesty	0
and	and	cc	and	and	0
the	the	dt	the	the	0
grand	grand	j	grand	grand	0
Signors	Signors	ng1	Signors	signors	0
name	name	n1	name	name	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
have	have	vhi	have	have	0
our	our	po12	our	our	0
ships	ships	n2	ships	ship	0
passing	passing	vvg	passing	pass	0
too	too	av	too	too	0
and	and	cc	and	and	0
fro	fro	av	from	fro	0
under	under	p-acp	under	under	0
licence	licence	n1	licence	licence	0
and	and	cc	and	and	0
safeconduct	safeconduct	vvi	safeconduct	safeconduct	0
for	for	c-acp	for	for	0
recommended	recommended	vvn	recommended	recommend	0
in	in	p-acp	in	in	0
friendly	friendly	j	friendly	friendly	0
maner	maner	n1	manner	manner	0
.	.	.	.	.	1
Touching	Touching	vvg	Touching	touch	0
your	your	po22	your	your	0
proceedings	proceedings	n2-vvg	proceedings	proceed	0
in	in	p-acp	in	in	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
with	with	p-acp	with	with	0
Romadan	Romadan	np1	Romadan	Romadan	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
received	received	vvn	received	receive	0
any	any	d	any	any	0
advise	advise	vvb	advice	advise	0
thereof	thereof	av	thereof	thereof	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
your	your	po22	your	your	0
departure	departure	n1	departure	departure	0
,	,	,	,	,	0
so	so	av	so	so	0
must	must	vmb	must	must	0
I	I	pns11	I	i	0
leave	leave	vvi	leave	leave	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
and	and	cc	and	and	0
my	my	po11	my	my	0
former	former	j	former	former	0
direction	direction	n1	direction	direction	0
.	.	.	.	.	1
The	The	dt	The	the	0
ship	ship	n1	ship	ship	0
patronised	patronised	vvd	patronised	patronise	0
of	of	pp-f	of	of	0
Hassan	Hassan	np1	Hassan	Hassan	0
Rayes	Rayes	n2	Rays	ray	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
wrote	wrote	vvd	wrote	write	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ours	ours	png12	ours	we	0
,	,	,	,	,	0
prooved	prooved	vvd	proved	prove	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
a	a	dt	a	a	0
Catalonian	Catalonian	njp	Catalonian	catalonian	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
ours	ours	png12	ours	we	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
Hassan	Hassan	np1	Hassan	Hassan	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
Jewes	Jewes	np2	Jewes	Jew	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
affirmed	affirmed	vvn	affirmed	affirm	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
sold	sold	vvn	sold	sell	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Malteses	Malteses	np1	Malteses	Malteses	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
receive	receive	vvi	receive	receive	0
there	there	a-acp	there	there	0
.	.	.	.	.	1
And	And	cc	And	and	0
having	having	vhg	having	have	0
ended	ended	vvn	ended	end	0
these	these	d	these	these	0
affaires	affaires	n2	affairs	affair	0
and	and	cc	and	and	0
registred	registred	vvn	registered	register	0
our	our	po12	our	our	0
privilege	privilege	n1	privilege	privilege	0
,	,	,	,	,	0
and	and	cc	and	and	0
these	these	d	these	these	0
three	three	crd	three	three	0
commande-ments	commande-ments	j	commandments	commandments	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
,	,	,	,	,	0
Tunis	Tunis	np1	Tunis	Tunis	0
,	,	,	,	,	0
and	and	cc	and	and	0
Alger	Alger	np1	Alger	Alger	0
,	,	,	,	,	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
you	you	pn22	you	you	0
make	make	vvb	make	make	0
274	274	crd	274	274	0
speedy	speedy	j	speedy	speedy	0
returne	returne	n1	return	return	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
