A	A	dt	A	a	0
notable	notable	j	notable	notable	0
discourse	discourse	n1	discourse	discourse	0
of	of	pp-f	of	of	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Chilton	Chilton	np1	Chilton	Chilton	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
maners	maners	n2	manners	manner	0
,	,	,	,	,	0
mines	mines	n2	mines	mine	0
,	,	,	,	,	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
riches	riches	n2	riches	riches	0
,	,	,	,	,	0
forces	forces	n2	forces	force	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
memorable	memorable	j	memorable	memorable	0
things	things	n2	things	thing	0
of	of	pp-f	of	of	0
New	New	j	New	new	0
Spaine	Spaine	np1	Spaine	Spain	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
provinces	provinces	n2	provinces	province	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np1	Indies	Indies	0
,	,	,	,	,	0
seene	seene	vvn	seen	see	0
and	and	cc	and	and	0
noted	noted	vvn	noted	note	0
by	by	p-acp	by	by	0
himselfe	himselfe	px31	himself	himself	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
travels	travels	n2	travels	travel	0
,	,	,	,	,	0
continued	continued	vvn	continued	continue	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
seventeene	seventeene	crd	seventeene	seventeen	0
or	or	cc	or	or	0
eighteene	eighteene	crd	eighteene	eighteen	0
yeeres	yeeres	n2	years	year	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
N	N	wd	N	n	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
1561	1561	crd	1561	1561	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
,	,	,	,	,	0
I	I	pns11	I	i	0
John	John	np1	John	John	0
Chilton	Chilton	np1	Chilton	Chilton	0
went	went	vvd	went	go	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
city	city	n1	city	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
into	into	p-acp	into	into	0
Spaine	Spaine	np1	Spaine	Spain	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
I	I	pns11	I	i	0
remained	remained	vvd	remained	remain	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
seven	seven	crd	seven	seven	0
yeres	yeres	n2	years	year	0
,	,	,	,	,	0
&	&	cc	&	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
I	I	pns11	I	i	0
sailed	sailed	vvd	sailed	sail	0
into	into	p-acp	into	into	0
Nova	Nova	np1	Nova	Nova	0
Hispania	Hispania	np1	Hispania	Hispania	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
travelled	travelled	vvn	traveled	travel	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
South	South	n1	South	south	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
Peru	Peru	np1	Peru	Peru	0
,	,	,	,	,	0
the	the	dt	the	the	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
seventeene	seventeene	crd	seventeene	seventeen	0
or	or	cc	or	or	0
eighteene	eighteene	crd	eighteene	eighteen	0
yeeres	yeeres	n2	years	year	0
:	:	:	:	:	0
and	and	cc	and	and	0
after	after	p-acp	after	after	0
that	that	d	that	that	0
time	time	n1	time	time	0
expired	expired	vvn	expired	expire	0
,	,	,	,	,	0
I	I	pns11	I	i	0
returned	returned	vvd	returned	return	0
into	into	p-acp	into	into	0
Spaine	Spaine	np1	Spaine	Spain	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
1586	1586	crd	1586	1586	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
,	,	,	,	,	0
I	I	pns11	I	i	0
arrived	arrived	vvd	arrived	arrive	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
fbresayd	fbresayd	j	fbresayd	fbresayd	0
city	city	n1	city	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
:	:	:	:	:	0
where	where	c-crq	where	where	0
perusing	perusing	vvg	perusing	peruse	0
the	the	dt	the	the	0
notes	notes	n2	notes	note	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
360	360	crd	360	360	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1568.	1568.	crd	1568.	1568.	0
taken	taken	vvn	taken	take	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
travell	travell	n1	travel	travel	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
yeeres	yeeres	n2	years	year	0
,	,	,	,	,	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
as	as	p-acp	as	as	0
followeth	followeth	vvz	follows	follow	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
In	In	p-acp	In	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1568	1568	crd	1568	1568	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
,	,	,	,	,	0
being	being	vbg	being	be	0
1568.	1568.	crd	1568.	1568.	0
desirous	desirous	j	desirous	desirous	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
I	I	pns11	I	i	0
embarked	embarked	vvd	embarked	embark	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
bay	bay	n1	bay	bay	0
of	of	pp-f	of	of	0
Cadiz	Cadiz	np1	Cadiz	Cadiz	0
in	in	p-acp	in	in	0
Andaluzia	Andaluzia	np1	Andaluzia	Andaluzia	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
shippe	shippe	n1	ship	ship	0
bound	bound	vvn	bound	bind	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Cadiz	Cadiz	np1	Cadiz	Cadiz	0
..	..	..	..	..	1
Isles	Isles	ng1	Isles	isle	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Canaries	Canaries	n2	Canaries	canary	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
she	she	pns31	she	she	0
tooke	tooke	vvd	took	take	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
lading	lading	n-vvg	lading	lade	0
,	,	,	,	,	0
&	&	cc	&	and	0
set	set	vvd	set	set	0
forth	forth	av	forth	forth	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
June	June	np1	June	June	0
,	,	,	,	,	0
the	the	dt	the	the	0
same	same	d	same	same	0
yere	yere	n1	year	year	0
.	.	.	.	.	1
Within	Within	p-acp	Within	within	0
a	a	dt	a	a	0
moneth	moneth	n1	month	month	0
after	after	a-acp	after	after	0
,	,	,	,	,	0
we	we	pns12	we	we	0
fell	fell	vvd	fell	fall	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
of	of	pp-f	of	of	0
S.	S.	np1	S.	S.	0
Domingo	Domingo	np1	Domingo	Domingo	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
directly	directly	av-j	directly	direct	0
to	to	p-acp	to	to	0
Nova	Nova	np1	Nova	Nova	0
Hispania	Hispania	np1	Hispania	Hispania	0
,	,	,	,	,	0
and	and	cc	and	and	0
came	came	vvd	came	come	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
port	port	n1	port	port	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
John	John	np1	John	John	0
San	San	np1	San	San	0
Juan	Juan	np1	Juan	Juan	0
de	de	fw-fr	de	de	0
de	de	fw-fr	de	de	0
Ullua	Ullua	fw-la	Ullua	ullua	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
litle	litle	j	little	little	0
Island	Island	n1	Island	island	0
standing	standing	vvg	standing	stand	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
^ua-about	^ua-about	j	ua-about	ua-about	0
two	two	crd	two	two	0
miles	miles	n2	miles	mile	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
land	land	n1	land	land	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
king	king	n1	king	king	0
main-teineth	main-teineth	j	maintaineth	maintaineth	0
about	about	p-acp	about	about	0
50	50	crd	50	50	0
souldiers	souldiers	n2	soldiers	soldier	0
,	,	,	,	,	0
and	and	cc	and	and	0
captaines	captaines	n2	captains	captain	0
,	,	,	,	,	0
that	that	cst	that	that	0
keepe	keepe	vvb	keep	keep	0
the	the	dt	the	the	0
forts	forts	n2	forts	fort	0
,	,	,	,	,	0
and	and	cc	and	and	0
about	about	p-acp	about	about	0
150	150	crd	150	150	0
negroes	negroes	n2	negroes	negro	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
all	all	d	all	all	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
long	long	av-j	long	long	0
are	are	vbr	are	be	0
occupied	occupied	vvn	occupied	occupy	0
in	in	p-acp	in	in	0
carying	carying	vvg	carrying	carry	0
of	of	pp-f	of	of	0
stones	stones	n2	stones	stone	0
for	for	p-acp	for	for	0
building	building	n1	building	building	0
,	,	,	,	,	0
&	&	cc	&	and	0
other	other	j-jn	other	other	0
uses	uses	n2	uses	use	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
helpe	helpe	vvi	help	help	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
fast	fast	av-j	fast	fast	0
the	the	dt	the	the	0
ships	ships	n2	ships	ship	0
that	that	cst	that	that	0
come	come	vvb	come	come	0
in	in	p-acp	in	in	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
cables	cables	n2	cables	cable	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
are	are	vbr	are	be	0
built	built	vvn	built	build	0
two	two	crd	two	two	0
bulwarkes	bulwarkes	n2	bulwarks	bulwark	0
at	at	p-acp	at	at	0
ech	ech	d	each	each	0
ende	ende	n1	end	end	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
wall	wall	n1	wall	wall	0
,	,	,	,	,	0
that	that	cst	that	that	0
standeth	standeth	vvz	stands	stand	0
likewise	likewise	av	likewise	likewise	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
