Hereafter	Hereafter	av	Hereafter	hereafter	0
followeth	followeth	vvz	follows	follow	0
the	the	dt	the	the	0
copie	copie	n1	copy	copy	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
letter	letter	n1	letter	letter	0
written	written	vvn	written	write	0
by	by	p-acp	by	by	0
sir	sir	n1	sir	sir	0
Francis	Francis	np1	Francis	Francis	0
Drake	Drake	np1	Drake	Drake	0
(	(	(	(	(	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
South	South	n1	South	south	0
sea	sea	n1	sea	sea	0
of	of	pp-f	of	of	0
New	New	j	New	new	0
Spaine	Spaine	np1	Spaine	Spain	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
ship	ship	n1	ship	ship	0
called	called	vvd	called	call	0
The	The	dt	The	the	0
Pellican	Pellican	n1	Pelican	pelican	0
or	or	cc	or	or	0
the	the	dt	the	the	0
Golden	Golden	j	Golden	golden	0
Hinde	Hinde	n1	Hind	hind	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
of	of	pp-f	of	of	0
Sant	Sant	np1	Sant	Sant	0
John	John	np1	John	John	0
de	de	fw-fr	de	de	0
Anton	Anton	np1	Anton	Anton	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
taken	taken	vvn	taken	take	0
)	)	)	)	)	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
companions	companions	n2	companions	companion	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
shippes	shippes	n2	ships	ship	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
company	company	n1	company	company	0
,	,	,	,	,	0
146	146	crd	146	146	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
foule	foule	j	foul	foul	0
weather	weather	n1	weather	weather	0
separated	separated	vvn	separated	separate	0
from	from	p-acp	from	from	0
him	him	pno31	him	he	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
said	said	vvd	said	say	0
before	before	a-acp	before	before	0
:	:	:	:	:	0
The	The	dt	The	the	0
contents	contents	n2	contents	content	0
whereof	whereof	c-crq	whereof	whereof	0
were	were	vbdr	were	be	0
these	these	d	these	these	0
:	:	:	:	:	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Master	Master	n1	Master	master	0
Winter	Winter	n1	Winter	winter	0
,	,	,	,	,	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
pleaseth	pleaseth	vvz	pleases	please	0
God	God	np1	God	God	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
should	should	vmd	should	shall	0
chance	chance	vvi	chance	chance	0
to	to	pc-acp	to	to	0
meete	meete	vvi	meet	meet	0
with	with	p-acp	with	with	0
this	this	d	this	this	0
ship	ship	n1	ship	ship	0
of	of	pp-f	of	of	0
Sant	Sant	np1	Sant	Sant	0
John	John	np1	John	John	0
de	de	fw-fr	de	de	0
Anton	Anton	np1	Anton	Anton	0
,	,	,	,	,	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
you	you	pn22	you	you	0
use	use	vvb	use	use	0
him	him	pno31	him	he	0
well	well	av	well	well	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
word	word	n1	word	word	0
and	and	cc	and	and	0
promise	promise	n1	promise	promise	0
given	given	vvn	given	give	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
want	want	vvb	want	want	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
ship	ship	n1	ship	ship	0
of	of	pp-f	of	of	0
Sant	Sant	np1	Sant	Sant	0
John	John	np1	John	John	0
de	de	fw-fr	de	de	0
Anton	Anton	np1	Anton	Anton	0
,	,	,	,	,	0
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
you	you	pn22	you	you	0
pay	pay	vvb	pay	pay	0
them	them	pno32	them	they	0
double	double	vvi	double	double	0
the	the	dt	the	the	0
value	value	n1	valve	value	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
satisfie	satisfie	vvi	satisfy	satisfy	0
againe	againe	av	again	again	0
,	,	,	,	,	0
and	and	cc	and	and	0
command	command	vvb	command	command	0
your	your	po22	your	your	0
men	men	n2	men	man	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
her	her	pno31	her	she	0
any	any	d	any	any	0
hurt	hurt	n1	hurt	hurt	0
:	:	:	:	:	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
composition	composition	n1	composition	composition	0
or	or	cc	or	or	0
agreement	agreement	n1	agreement	agreement	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
made	made	vvn	made	make	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
my	my	po11	my	my	0
returne	returne	n1	return	return	0
into	into	p-acp	into	into	0
England	England	np1	England	England	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
by	by	p-acp	by	by	0
Gods	Gods	npg1	Gods	God	0
helpe	helpe	n1	help	help	0
perfourme	perfourme	vvi	perform	perform	0
,	,	,	,	,	0
although	although	cs	although	although	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
in	in	p-acp	in	in	0
doubt	doubt	n1	doubt	doubt	0
that	that	cst	that	that	0
this	this	d	this	this	0
letter	letter	n1	letter	letter	0
will	will	vmb	will	will	0
never	never	av-x	never	never	0
come	come	vvi	come	come	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
:	:	:	:	:	0
notwithstanding	notwithstanding	c-acp	notwithstanding	notwithstanding	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
the	the	dt	the	the	0
man	man	n1	man	man	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
promised	promised	vvn	promised	promise	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
:	:	:	:	:	0
Beseeching	Beseeching	vvg	Beseeching	beseech	0
God	God	np1	God	God	0
,	,	,	,	,	0
the	the	dt	the	the	0
Saviour	Saviour	n1	Saviour	saviour	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
world	world	n1	world	world	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
keeping	keeping	n-vvg	keeping	keep	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
whom	whom	ro-crq	whom	who	0
onely	onely	av-j	only	only	0
I	I	pns11	I	i	0
give	give	vvb	give	give	0
all	all	d	all	all	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
praise	praise	n1	praise	praise	0
and	and	cc	and	and	0
glory	glory	n1	glory	glory	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
written	written	vvn	written	write	0
,	,	,	,	,	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
