Certaine	Certaine	j	Certain	certain	0
remembrances	remembrances	n2	remembrances	remembrance	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
intended	intended	j-vvn	intended	intend	0
voyage	voyage	n1	voyage	voyage	0
to	to	p-acp	to	to	0
Brasill	Brasill	np1	Brasill	Brasill	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
River	River	n1	River	river	0
of	of	pp-f	of	of	0
Plate	Plate	n1	Plate	plate	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Edward	Edward	np1	Edward	Edward	0
Cotton	Cotton	n1	Cotton	cotton	0
,	,	,	,	,	0
a	a	dt	a	a	0
ship	ship	n1	ship	ship	0
of	of	pp-f	of	of	0
260	260	crd	260	260	0
Tunnes	Tunnes	n2	Tons	ton	0
of	of	pp-f	of	of	0
Master	Master	n1	Master	master	0
Edward	Edward	np1	Edward	Edward	0
Cotton	Cotton	n1	Cotton	cotton	0
of	of	pp-f	of	of	0
Southhampton	Southhampton	np1	Southhampton	Southampton	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
perished	perished	vvd	perished	perish	0
through	through	p-acp	through	through	0
extreme	extreme	j-jn	extreme	extreme	0
negligence	negligence	n1	negligence	negligence	0
neare	neare	av-j	near	near	0
Rio	Rio	np1	Rio	Rio	0
grande	grande	fw-fr	grande	grande	0
in	in	p-acp	in	in	0
Guinie	Guinie	zz	Guinie	guinie	0
,	,	,	,	,	0
the	the	dt	the	the	0
17	17	crd	17	17	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
1583.	1583.	crd	1583.	1583.	1
ARticles	ARticles	n2	ARticles	article	0
of	of	pp-f	of	of	0
Covenants	Covenants	n2	Covenants	covenant	0
agreed	agreed	vvn	agreed	agree	0
upon	upon	p-acp	upon	upon	0
betweene	betweene	p-acp	between	between	0
Edward	Edward	np1	Edward	Edward	0
Cotton	Cotton	np1	Cotton	Cotton	0
Esquier	Esquier	n1	Esquire	esquire	0
,	,	,	,	,	0
owner	owner	n1	owner	owner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
good	good	j	good	good	0
ship	ship	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Edward	Edward	np1	Edward	Edward	0
Cotton	Cotton	n1	Cotton	cotton	0
of	of	pp-f	of	of	0
Southhampton	Southhampton	np1	Southhampton	Southampton	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
mar-chandizes	mar-chandizes	j	merchandizes	merchandizes	0
in	in	p-acp	in	in	0
her	her	pno31	her	she	0
laden	laden	vvn	laden	lade	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
one	one	crd	one	one	0
part	part	n1	part	part	0
,	,	,	,	,	0
and	and	cc	and	and	0
William	William	np1	William	William	0
Huddie	Huddie	j	Huddie	huddie	0
gentleman	gentleman	n1	gentleman	gentleman	0
,	,	,	,	,	0
Captaine	Captaine	n1	Captain	captain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
John	John	np1	John	John	0
Hooper	Hooper	np1	Hooper	Hooper	0
his	his	po31	his	his	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
,	,	,	,	,	0
John	John	np1	John	John	0
Foster	Foster	vvb	Foster	foster	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
Hugh	Hugh	j	Hugh	huge	0
Smith	Smith	n1	Smith	smith	0
Pilot	Pilot	n1	Pilot	pilot	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
and	and	cc	and	and	0
William	William	np1	William	William	0
Cheesman	Cheesman	np1	Cheesman	Cheesman	0
marchant	marchant	n1	merchant	merchant	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
part	part	n1	part	part	0
.	.	.	.	.	1
i	i	sy	i	i	0
observe	observe	vvb	observe	observe	0
and	and	cc	and	and	0
keepe	keepe	vvi	keep	keep	0
the	the	dt	the	the	0
dayly	dayly	j	daily	daily	0
order	order	n1	order	order	0
hOW	hOW	c-crq	hOW	how	0
°f	°f	av	°f	°f	0
Common	Common	j	Common	common	0
prayer	prayer	n1	prayer	prayer	0
aboord	aboord	a-acp	aboard	aboard	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
companie	companie	n1	company	company	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
called	called	vvn	called	call	0
there-OlS	there-OlS	j	there-OlS	there-ols	0
unto	unto	p-acp	unto	unto	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
least	least	ds	least	least	0
once	once	c-acp	once	once	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
day	day	n1	day	day	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
□	□	sy	□	□	0
BsS	BsS	n1	BsS	bss	0
oSrk	oSrk	n1	oSrk	osrk	0
be	be	vbi	be	be	0
pronounced	pronounced	vvn	pronounced	pronounce	0
openly	openly	av-j	openly	open	0
.	.	.	.	.	0
vyjer	vyjer	n1	vyjer	vyjer	0
2	2	crd	2	2	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
ready	ready	j	ready	ready	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
■	■	sy	■	■	0
■	■	sy	■	■	0
■	■	sy	■	■	0
first	first	ord	first	first	0
faire	faire	j	fair	fair	0
winde	winde	n1	wind	wind	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
saile	saile	n1	sail	sail	0
and	and	cc	and	and	0
sailes	sailes	n2	sails	sail	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
into	into	p-acp	into	into	0
any	any	d	any	any	0
port	port	n1	port	port	0
or	or	cc	or	or	0
harbour	harbour	n1	harbour	harbour	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
being	being	vbg	being	be	0
forcibly	forcibly	av-j	forcibly	forcible	0
constrained	constrained	vvn	constrained	constrain	0
by	by	p-acp	by	by	0
weather	weather	n1	weather	weather	0
,	,	,	,	,	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
apparant	apparant	j	apparent	apparent	0
and	and	cc	and	and	0
urgent	urgent	j	urgent	urgent	0
cause	cause	n1	cause	cause	0
.	.	.	.	.	1
3	3	crd	3	3	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
take	take	vvb	take	take	0
in	in	p-acp	in	in	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
or	or	cc	or	or	0
about	about	a-acp	about	about	0
the	the	dt	the	the	0
Isles	Isles	n2	Isles	isle	0
of	of	pp-f	of	of	0
Cape	Cape	n1	Cape	cape	0
Verde	Verde	np1	Verde	Verde	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
quantitie	quantitie	n1	quantity	quantity	0
of	of	pp-f	of	of	0
25	25	crd	25	25	0
or	or	cc	or	or	0
30	30	crd	30	30	0
tuns	tuns	n2	tons	tun	0
of	of	pp-f	of	of	0
salt	salt	n1	salt	salt	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
imployed	imployed	vvn	employed	employ	0
among	among	p-acp	among	among	0
other	other	j-jn	other	other	0
the	the	dt	the	the	0
owners	owners	ng1	owners	owner	0
marchandize	marchandize	n1	merchandise	merchandise	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
Santos	Santos	np1	Santos	Santos	0
,	,	,	,	,	0
and	and	cc	and	and	0
S.	S.	n1	S.	saint	0
Vincent	Vincent	np1	Vincent	Vincent	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
onely	onely	j	only	only	0
behoofe	behoofe	n1	behoof	behoof	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
salt	salt	n1	salt	salt	0
,	,	,	,	,	0
so	so	av	so	so	0
much	much	av-d	much	much	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
needed	needed	vvn	needed	need	0
for	for	p-acp	for	for	0
victuali	victuali	fw-la	victuali	victuali	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
saving	saving	vvg	saving	save	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
hides	hides	n2	hides	hide	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
kept	kept	vvn	kept	keep	0
aboord	aboord	a-acp	aboard	aboard	0
,	,	,	,	,	0
8c	8c	av	8c	8c	0
the	the	dt	the	the	0
same	same	d	same	same	0
salt	salt	n1	salt	salt	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
provided	provided	vvn	provided	provide	0
either	either	av-d	either	either	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
fishermens	fishermens	ng2	fishermen's	fishermen	0
hands	hands	n2	hands	hand	0
neere	neere	av-j	near	near	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Isles	Isles	n2	Isles	isle	0
for	for	p-acp	for	for	0
trucke	trucke	vvi	truck	truck	0
of	of	pp-f	of	of	0
commodities	commodities	n2	commodities	commodity	0
,	,	,	,	,	0
or	or	cc	or	or	0
els	els	av	else	else	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
in	in	p-acp	in	in	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
Isles	Isles	n2	Isles	isle	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
discretion	discretion	n1	discretion	discretion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
abovenamed	abovenamed	j	abovenamed	abovenamed	0
.	.	.	.	.	1
4	4	crd	4	4	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
due	due	j-jn	due	due	0
performance	performance	n1	performance	performance	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
voiage	voiage	n1	voyage	voyage	0
,	,	,	,	,	0
the	the	dt	the	the	0
owner	owner	n1	owner	owner	0
bindeth	bindeth	vvz	binds	bind	0
himselfe	himselfe	px31	himself	himself	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
deede	deede	n1	deed	deed	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
yeeld	yeeld	vvi	yield	yield	0
unto	unto	p-acp	unto	unto	0
any	any	d	any	any	0
408	408	crd	408	408	0
1583-such	1583-such	j	1583-such	1583-such	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
companie	companie	n1	company	company	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
refuse	refuse	vvi	refuse	refuse	0
their	their	po32	their	their	0
shares	shares	n2	shares	share	0
before	before	c-acp	before	before	0
they	they	pns32	they	they	0
depart	depart	vvb	depart	depart	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
20	20	crd	20	20	0
markes	markes	n2	marks	mark	0
a	a	dt	a	a	0
single	single	j	single	single	0
share	share	n1	share	share	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
dutie	dutie	n1	duty	duty	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
voiage	voiage	n1	voyage	voyage	0
,	,	,	,	,	0
making	making	vvg	making	make	0
not	not	xx	not	not	0
above	above	p-acp	above	above	0
75.	75.	crd	75.	75.	0
shares	shares	n2	shares	share	0
single	single	j	single	single	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
.	.	.	.	.	1
5	5	crd	5	5	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
the	the	dt	the	the	0
company	company	n1	company	company	0
according	according	vvg	according	accord	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
appointed	appointed	vvn	appointed	appoint	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
officers	officers	n2	officers	officer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
ship	ship	n1	ship	ship	0
above	above	a-acp	above	above	0
named	named	vvn	nam	name	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
times	times	n2	times	time	0
be	be	vbb	be	be	0
most	most	av-ds	most	most	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
their	their	po32	their	their	0
painfull	painfull	j	painful	painful	0
indevor	indevor	n1	endeavour	endeavour	0
,	,	,	,	,	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
aboord	aboord	a-acp	aboard	aboard	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
labours	labours	n2	labours	labour	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
land	land	n1	land	land	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
direction	direction	n1	direction	direction	0
given	given	vvn	given	give	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
above	above	a-acp	above	above	0
named	named	vvd	nam	name	0
officers	officers	n2	officers	officer	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
paine	paine	n1	pain	pain	0
of	of	pp-f	of	of	0
forfeiture	forfeiture	n1	forfeiture	forfeiture	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
shares	shares	n2	shares	share	0
and	and	cc	and	and	0
wages	wages	n2	wages	wage	0
,	,	,	,	,	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
divided	divided	vvn	divided	divide	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
company	company	n1	company	company	0
.	.	.	.	.	1
6	6	crd	6	6	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
shares	shares	n2	shares	share	0
be	be	vbb	be	be	0
taken	taken	vvn	taken	take	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
returne	returne	n1	return	return	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
al	al	d	all	all	0
the	the	dt	the	the	0
traine	traine	n1	train	train	0
oile	oile	n1	oil	oil	0
,	,	,	,	,	0
and	and	cc	and	and	0
hides	hides	n2	hides	hide	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
seales	seales	n2	seals	seal	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
commodities	commodities	n2	commodities	commodity	0
gotten	gotten	vvn	got	get	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
handie	handie	j	handy	handy	0
