Commodities	Commodities	ng1	Commodities	commodity	0
courteous	courteous	j	courteous	courteous	0
,	,	,	,	,	0
and	and	cc	and	and	0
very	very	av	very	very	0
desirous	desirous	j	desirous	desirous	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
clothes	clothes	n2	clothes	clothes	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
especially	especially	av-j	especially	especial	0
Virgula	Virgula	np1	Virgula	Virgula	0
*	*	*	*	*	0
course	course	n1	course	course	0
doth	doth	vdz	does	do	0
rather	rather	av-c	rather	rather	0
then	then	cs	then	than	0
silke	silke	n1	silk	silk	0
,	,	,	,	,	0
course	course	n1	course	course	0
canvas	canvas	n1	canvas	canvas	0
they	they	pns32	they	they	0
also	also	av	also	also	0
'	'	'	'	'	0
like	like	j	like	like	0
well	well	av	well	well	0
of	of	pp-f	of	of	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
copper	copper	n1	copper	copper	0
caryeth	caryeth	vvz	carrieth	carri	0
the	the	dt	the	the	0
price	price	n1	price	price	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
so	so	av	so	so	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
made	made	vvn	made	make	0
red	red	j-jn	read	red	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
good	good	j	good	good	0
M.	M.	n1	M.	m.	0
Hakluyt	Hakluyt	np1	Hakluyt	Hakluyt	0
and	and	cc	and	and	0
M.	M.	n1	M.	m.	0
H.	H.	np1	H.	H.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
joyned	joyned	vvn	joined	join	0
you	you	pn22	you	you	0
both	both	d	both	both	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
remembrance	remembrance	n1	remembrance	remembrance	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
two	two	crd	two	two	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
love	love	vvb	love	love	0
dearely	dearely	av-jn	dearly	dear	0
well	well	av	well	well	0
,	,	,	,	,	0
and	and	cc	and	and	0
commending	commending	vvg	commending	commend	0
me	me	pno11	me	i	0
most	most	av-ds	most	most	0
heartily	heartily	av-j	heartily	hearty	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
both	both	d	both	both	0
,	,	,	,	,	0
I	I	pns11	I	i	0
commit	commit	vvb	commit	commit	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
tuition	tuition	n1	tuition	tuition	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Almightie	Almightie	j-jn	Almighty	almighty	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
the	the	dt	the	the	0
new	new	j	new	new	0
Fort	Fort	n1	Fort	fort	0
in	in	p-acp	in	in	0
Virginia	Virginia	np1	Virginia	Virginia	0
,	,	,	,	,	0
this	this	d	this	this	0
third	third	ord	third	three	0
of	of	pp-f	of	of	0
September	September	np1	September	September	0
,	,	,	,	,	0
1585.	1585.	crd	1585.	1585.	1
Your	Your	po22	Your	your	0
most	most	av-ds	most	most	0
assured	assured	j-vvn	assured	assure	0
friend	friend	n1	friend	friend	0
Ralph	Ralph	np1	Ralph	Ralph	0
Lane	Lane	n1	Lane	lane	0
.	.	.	.	.	1
An	An	dt	And	a	0
account	account	n1	account	account	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
particularities	particularities	n2	particularities	particularity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
im-ployments	im-ployments	j	employments	employments	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
men	men	n2	men	man	0
left	left	vvn	left	leave	0
in	in	p-acp	in	in	0
Virginia	Virginia	np1	Virginia	Virginia	0
by	by	p-acp	by	by	0
Sir	Sir	n1	Sir	sir	0
Richard	Richard	np1	Richard	Richard	0
Greenevill	Greenevill	n1	Greenevill	greenevill	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
charge	charge	n1	charge	charge	0
of	of	pp-f	of	of	0
Master	Master	n1	Master	master	0
Ralph	Ralph	np1	Ralph	Ralph	0
Lane	Lane	n1	Lane	lane	0
Generali	Generali	fw-la	Generali	generali	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
17.	17.	crd	17.	17.	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
1585.	1585.	crd	1585.	1585.	0
until	until	c-acp	until	until	0
the	the	dt	the	the	0
18.	18.	crd	18.	18.	0
of	of	pp-f	of	of	0
June	June	np1	June	June	0
1586.	1586.	crd	1586.	1586.	0
at	at	p-acp	at	at	0
which	which	r-crq	which	which	0
time	time	n1	time	time	0
they	they	pns32	they	they	0
departed	departed	vvd	departed	depart	0
the	the	dt	the	the	0
Countrey	Countrey	n1	Country	country	0
:	:	:	:	:	0
sent	sent	vvd	sent	send	0
and	and	cc	and	and	0
directed	directed	vvn	directed	direct	0
to	to	p-acp	to	to	0
Sir	Sir	n1	Sir	sir	0
Walter	Walter	np1	Walter	Walter	0
Ralegh	Ralegh	np1	Ralegh	Ralegh	0
.	.	.	.	.	1
Hat	Hat	n1	Hat	hat	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
proceede	proceede	vvi	proceed	proceed	0
with	with	p-acp	with	with	0
order	order	n1	order	order	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
discourse	discourse	n1	discourse	discourse	0
,	,	,	,	,	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
it	it	pn31	it	it	0
requisite	requisite	j	requisite	requisite	0
to	to	pc-acp	to	to	0
divide	divide	vvi	divide	divide	0
it	it	pn31	it	it	0
into	into	p-acp	into	into	0
two	two	crd	two	two	0
parts	parts	n2	parts	part	0
.	.	.	.	.	1
The	The	dt	The	the	0
first	first	ord	first	first	0
shall	shall	vmb	shall	shall	0
declare	declare	vvi	declare	declare	0
the	the	dt	the	the	0
particularities	particularities	n2	particularities	particularity	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Countrey	Countrey	n1	Country	country	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
maine	maine	j	main	main	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
our	our	po12	our	our	0
weake	weake	j	weak	weak	0
number	number	n1	number	number	0
,	,	,	,	,	0
and	and	cc	and	and	0
supply	supply	n1	supply	supply	0
of	of	pp-f	of	of	0
things	things	n2	things	thing	0
necessarie	necessarie	j	necessary	necessary	0
did	did	vdd	did	do	0
inable	inable	j	inable	inable	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
enter	enter	vvi	enter	enter	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
2.	2.	crd	2.	2.	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
discourse	discourse	n1	discourse	discourse	0
.	.	.	.	.	0
discovery	discovery	n1	discovery	discovery	0
of	of	pp-f	of	of	0
.	.	.	.	.	1
The	The	dt	The	the	0
