A	A	dt	A	a	0
briefe	briefe	j	brief	brief	0
extract	extract	n1	extract	extract	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
patent	patent	n1	patent	patent	0
granted	granted	vvd	granted	grant	0
to	to	pc-acp	to	to	0
M	M	sy	M	m	0
-	-	-	-	-	0
Thomas	Thomas	np1	Thomas	Thomas	0
Gregory	Gregory	np1	Gregory	Gregory	0
of	of	pp-f	of	of	0
Tanton	Tanton	np1	Tanton	Tanton	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
traffique	traffique	vvi	traffic	traffic	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Nonnia	Nonnia	np1	Nonnia	Nonnia	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rivers	rivers	n2	rivers	river	0
of	of	pp-f	of	of	0
Madrabumba	Madrabumba	np1	Madrabumba	Madrabumba	0
and	and	cc	and	and	0
Sierra	Sierra	np1	Sierra	Sierra	0
Leona	Leona	np1	Leona	Leona	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Guinea	Guinea	np1	Guinea	Guinea	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1592.	1592.	crd	1592.	1592.	1
N	N	sy	N	n	0
May	May	vmb	May	may	0
the	the	dt	the	the	0
34	34	crd	34	34	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
gracious	gracious	j	gracious	gracious	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
Queene	Queene	n1	Queen	queen	0
Elizabeth	Elizabeth	np1	Elizabeth	Elizabeth	0
,	,	,	,	,	0
a	a	dt	a	a	0
patent	patent	n1	patent	patent	0
of	of	pp-f	of	of	0
speciali	speciali	fw-la	speciali	speciali	0
licence	licence	n1	licence	licence	0
was	was	vbds	was	be	0
granted	granted	vvn	granted	grant	0
to	to	p-acp	to	to	0
Thomas	Thomas	np1	Thomas	Thomas	0
Gregory	Gregory	np1	Gregory	Gregory	0
of	of	pp-f	of	of	0
Tanton	Tanton	np1	Tanton	Tanton	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
county	county	n1	county	county	0
of	of	pp-f	of	of	0
Somerset	Somerset	np1	Somerset	Somerset	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
Thomas	Thomas	np1	Thomas	Thomas	0
Pope	Pope	n1	Pope	pope	0
,	,	,	,	,	0
and	and	cc	and	and	0
certaine	certaine	j	certain	certain	0
other	other	j-jn	other	other	0
marchants	marchants	n2	merchants	merchant	0
to	to	pc-acp	to	to	0
traffique	traffique	vvi	traffic	traffic	0
into	into	p-acp	into	into	0
Guinea	Guinea	np1	Guinea	Guinea	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Northermost	Northermost	j	Northermost	northermost	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Nonnia	Nonnia	np1	Nonnia	Nonnia	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Southermost	Southermost	j	Southermost	southermost	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
rivers	rivers	n2	rivers	river	0
of	of	pp-f	of	of	0
Madrabumba	Madrabumba	np1	Madrabumba	Madrabumba	0
and	and	cc	and	and	0
Sierra	Sierra	np1	Sierra	Sierra	0
Leona	Leona	np1	Leona	Leona	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
other	other	j-jn	other	other	0
parts	parts	n2	parts	part	0
aswell	aswell	av	aswell	aswell	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Southeast	Southeast	n1	Southeast	southeast	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Northwest	Northwest	av-an	Northwest	northwest	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
leagues	leagues	n2	leagues	league	0
therein	therein	av	therein	therein	0
specified	specified	vvd	specified	specify	0
which	which	r-crq	which	which	0
amount	amount	vvb	amount	amount	0
to	to	p-acp	to	to	0
an	an	dt	and	a	0
hundred	hundred	crd	hundred	hundred	0
or	or	cc	or	or	0
thereabout	thereabout	av	thereabouts	thereabouts	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
patent	patent	n1	patent	patent	0
was	was	vbds	was	be	0
granted	granted	vvn	granted	grant	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
terme	terme	n1	term	term	0
of	of	pp-f	of	of	0
ten	ten	crd	ten	ten	0
yeeres	yeeres	n2	years	year	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
appeareth	appeareth	vvz	appears	appear	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
patent	patent	n1	patent	patent	0
recorded	recorded	vvn	recorded	record	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Rolles	Rolles	n2	Rolls	roll	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
Chancery	Chancery	n1	Chancery	chancery	0
.	.	.	.	.	1
