The	The	dt	The	the	0
answere	answere	n1	answer	answer	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
Majestie	Majestie	n1	Majesty	majesty	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
Letters	Letters	n2	Letters	letter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Great	Great	j	Great	great	0
Turke	Turke	np1	Turke	Turk	0
,	,	,	,	,	0
sent	sent	vvd	sent	send	0
the	the	dt	the	the	0
25	25	crd	25	25	0
of	of	pp-f	of	of	0
October	October	np1	October	October	0
1579	1579	crd	1579	1579	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Prudence	Prudence	n1	Prudence	prudence	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
by	by	p-acp	by	by	0
Master	Master	n1	Master	master	0
Richard	Richard	np1	Richard	Richard	0
Stanley	Stanley	np1	Stanley	Stanley	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
172	172	crd	172	172	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
173	173	crd	173	173	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
174	174	crd	174	174	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
ELizabeth	ELizabeth	np1	ELizabeth	ELizabeth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
mightie	mightie	j	mighty	mighty	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
onely	onely	j	only	only	0
Creatour	Creatour	n1	Creator	creator	0
of	of	pp-f	of	of	0
heaven	heaven	n1	heaven	heaven	0
and	and	cc	and	and	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
France	France	np1	France	France	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
Queene	Queene	n1	Queen	queen	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
invincible	invincible	j	invincible	invincible	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
mighty	mighty	j	mighty	mighty	0
defender	defender	n1	defender	defender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
faith	faith	n1	faith	faith	0
against	against	p-acp	against	against	0
all	all	d	all	all	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
idolatries	idolatries	n2	idolatries	idolatry	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
that	that	cst	that	that	0
live	live	vvb	live	live	0
among	among	p-acp	among	among	0
the	the	dt	the	the	0
Christians	Christians	njpg2	Christians	christian	0
,	,	,	,	,	0
and	and	cc	and	and	0
falsly	falsly	av-j	falsely	false	0
professe	professe	vvi	profess	profess	0
the	the	dt	the	the	0
Name	Name	n1	Name	name	0
of	of	pp-f	of	of	0
Christ	Christ	np1	Christ	Christ	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
Imperiali	Imperiali	fw-la	Imperiali	imperiali	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
invincible	invincible	j	invincible	invincible	0
prince	prince	n1	prince	prince	0
,	,	,	,	,	0
Zuldan	Zuldan	n1	Zuldan	zuldan	0
Murad	Murad	np1	Murad	Murad	0
Can	Can	vmb	Can	can	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
mightie	mightie	j	mighty	mighty	0
ruler	ruler	n1	ruler	ruler	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
kingdome	kingdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
Turkie	Turkie	n1	Turkey	turquoise	0
,	,	,	,	,	0
sole	sole	j	sole	sole	0
and	and	cc	and	and	0
above	above	p-acp	above	above	0
all	all	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
sovereigne	sovereigne	j-jn	sovereign	sovereign	0
Monarch	Monarch	n1	Monarch	monarch	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
East	East	n1	East	east	0
Empire	Empire	n1	Empire	empire	0
,	,	,	,	,	0
greeting	greeting	n1	greeting	greeting	0
,	,	,	,	,	0
and	and	cc	and	and	0
many	many	d	many	many	0
happy	happy	j	happy	happy	0
and	and	cc	and	and	0
fortunate	fortunate	j	fortunate	fortunate	0
yeeres	yeeres	n2	years	year	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
abundance	abundance	n1	abundance	abundance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
best	best	js	best	best	0
things	things	n2	things	thing	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Most	Most	av-ds	Most	most	0
Imperiali	Imperiali	fw-la	Imperiali	imperiali	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
invincible	invincible	j	invincible	invincible	0
Emperour	Emperour	n1	Emperor	emperor	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
have	have	vhb	have	have	0
received	received	vvn	received	receive	0
the	the	dt	the	the	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
mightie	mightie	j	mighty	mighty	0
highnesse	highnesse	n1	highness	highness	0
written	written	vvn	written	write	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
from	from	p-acp	from	from	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
the	the	dt	the	the	0
fifteenth	fifteenth	ord	fifteenth	fifteen	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
this	this	d	this	this	0
present	present	j	present	present	0
yere	yere	n1	year	year	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
we	we	pns12	we	we	0
understand	understand	vvb	understand	understand	0
how	how	c-crq	how	how	0
gratiously	gratiously	av-j	graciously	gracious	0
,	,	,	,	,	0
and	and	cc	and	and	0
how	how	c-crq	how	how	0
favorably	favorably	av-j	favorably	favorable	0
the	the	dt	the	the	0
humble	humble	j	humble	humble	0
petitions	petitions	n2	petitions	petition	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
William	William	np1	William	William	0
Hareborne	Hareborne	vvn	Hareborne	hareborne	0
a	a	dt	a	a	0
subject	subject	n-jn	subject	subject	0
of	of	pp-f	of	of	0
ours	ours	png12	ours	we	0
,	,	,	,	,	0
resident	resident	j-jn	resident	resident	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Imperial	Imperial	j-jn	Imperial	imperial	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
highnes	highnes	n1	highness	highness	0
presented	presented	vvn	presented	present	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
Majestie	Majestie	n1	Majesty	majesty	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
obteining	obteining	vvg	obtaining	obtain	0
of	of	pp-f	of	of	0
accesse	accesse	n1	access	access	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
and	and	cc	and	and	0
two	two	crd	two	two	0
other	other	j-jn	other	other	0
Marchants	Marchants	n2	Merchants	merchant	0
more	more	av-dc	more	more	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
company	company	n1	company	company	0
our	our	po12	our	our	0
subjects	subjects	n2-jn	subject's	subject	0
also	also	av	also	also	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
with	with	p-acp	with	with	0
marchandizes	marchandizes	n2	merchandizes	merchandize	0
both	both	av-d	both	both	0
by	by	p-acp	by	by	0
sea	sea	n1	sea	sea	0
and	and	cc	and	and	0
land	land	n1	land	land	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
countreis	countreis	n2	countries	country	0
and	and	cc	and	and	0
territories	territories	n2	territories	territory	0
subject	subject	j-jn	subject	subject	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
government	government	n1	government	government	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
againe	againe	av	again	again	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
home	home	av-an	home	home	0
with	with	p-acp	with	with	0
good	good	j	good	good	0
leave	leave	n1	leave	leave	0
and	and	cc	and	and	0
libertie	libertie	n1	liberty	liberty	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
accepted	accepted	vvn	accepted	accept	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
invincible	invincible	j	invincible	invincible	0
Imperiali	Imperiali	np1	Imperiali	Imperiali	0
highnesse	highnesse	n1	highness	highness	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
that	that	d	that	that	0
onely	onely	av-j	only	only	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
extraordinarie	extraordinarie	j	extraordinary	extraordinary	0
speed	speed	n1	speed	speed	0
and	and	cc	and	and	0
worthy	worthy	j	worthy	worthy	0
your	your	po22	your	your	0
Imperiali	Imperiali	np1	Imperiali	Imperiali	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
craved	craved	vvn	craved	crave	0
by	by	p-acp	by	by	0
petition	petition	n1	petition	petition	0
was	was	vbds	was	be	0
granted	granted	vvn	granted	grant	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
company	company	n1	company	company	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
onely	onely	av-j	only	only	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
seemeth	seemeth	vvz	seems	seem	0
)	)	)	)	)	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
opinion	opinion	n1	opinion	opinion	0
which	which	r-crq	which	which	0
your	your	po22	your	your	0
highnesse	highnesse	n1	highness	highness	0
conceived	conceived	vvn	conceived	conceive	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
and	and	cc	and	and	0
our	our	po12	our	our	0
amitie	amitie	n1	amity	amity	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
singular	singular	j	singular	singular	0
benefit	benefit	n1	benefit	benefit	0
done	done	vdn	done	do	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
subjects	subjects	n2-jn	subject's	subject	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
take	take	vvb	take	take	0
so	so	av	so	so	0
thankefully	thankefully	av-j	thankfully	thankful	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
good	good	j	good	good	0
part	part	n1	part	part	0
(	(	(	(	(	0
yeelding	yeelding	vvg	yielding	yield	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
our	our	po12	our	our	0
greatest	greatest	js	greatest	great	0
thanks	thanks	n2	thanks	thank	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
highnesse	highnesse	n1	highness	highness	0
)	)	)	)	)	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
will	will	vmb	will	will	0
[	[	[	[	[	0
n	n	wd	n	n	0
.	.	.	.	.	1
i	i	sy	i	i	0
.	.	.	.	.	1
140.	140.	crd	140.	140.	0
]	]	]	]	]	0
never	never	av-x	never	never	0
give	give	vvb	give	give	0
occasion	occasion	n1	occasion	occasion	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
said	said	j-vvn	said	say	0
highnesse	highnesse	n1	highness	highness	0
(	(	(	(	(	0
according	according	vvg	according	accord	0
as	as	p-acp	as	as	0
time	time	n1	time	time	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
affaires	affaires	n2	affairs	affair	0
will	will	vmb	will	will	0
permit	permit	vvi	permit	permit	0
)	)	)	)	)	0
once	once	a-acp	once	once	0
to	to	p-acp	to	to	0
thinke	thinke	vvi	think	think	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
pleasure	pleasure	n1	pleasure	pleasure	0
bestowed	bestowed	vvn	bestowed	bestow	0
upon	upon	p-acp	upon	upon	0
an	an	dt	and	a	0
ungratefull	ungratefull	j	ungrateful	ungrateful	0
Prince	Prince	n1	Prince	prince	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
the	the	dt	the	the	0
Almighty	Almighty	j-jn	Almighty	almighty	0
God	God	np1	God	God	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
whom	whom	ro-crq	whom	who	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
whose	whose	rg-crq	whose	who	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
175	175	crd	175	175	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
grace	grace	n1	grace	grace	0
we	we	pns12	we	we	0
reigne	reigne	vvi	reign	reign	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
planted	planted	vvn	planted	plant	0
in	in	p-acp	in	in	0
us	us	pno12	us	we	0
this	this	d	this	this	0
goodnesse	goodnesse	n1	goodness	goodness	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
detest	detest	vvb	detest	detest	0
and	and	cc	and	and	0
abhorre	abhorre	vvi	abhor	abhor	0
the	the	dt	the	the	0
least	least	ds	least	least	0
suspition	suspition	n1	suspicion	suspicion	0
of	of	pp-f	of	of	0
ingratitude	ingratitude	n1	ingratitude	ingratitude	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
taught	taught	vvn	taught	teach	0
us	us	pno12	us	we	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
suffer	suffer	vvi	suffer	suffer	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
overmatched	overmatched	vvn	overmatched	overmatch	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
good	good	j	good	good	0
demerits	demerits	n2	demerits	demerit	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
Princes	Princes	n2	Princes	prince	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
wee	wee	pns12	we	we	0
doe	doe	vdb	do	do	0
extende	extende	vvi	extend	extend	0
our	our	po12	our	our	0
good	good	j	good	good	0
minde	minde	n1	mind	mind	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
highnesse	highnesse	n1	highness	highness	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
well	well	av	well	well	0
conceiving	conceiving	vvg	conceiving	conceive	0
,	,	,	,	,	0
and	and	cc	and	and	0
publishing	publishing	vvg	publishing	publish	0
also	also	av	also	also	0
abroad	abroad	av	abroad	abroad	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
much	much	av-d	much	much	0
we	we	pns12	we	we	0
repute	repute	vvb	repute	repute	0
our	our	po12	our	our	0
selfe	selfe	n1	self	self	0
bound	bound	vvn	bound	bind	0
in	in	p-acp	in	in	0
an	an	dt	and	a	0
everlasting	everlasting	j	everlasting	everlasting	0
remembrance	remembrance	n1	remembrance	remembrance	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
good	good	j	good	good	0
pleasure	pleasure	n1	pleasure	pleasure	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
meaning	meaning	vvg	meaning	mean	0
to	to	pc-acp	to	to	0
yeelde	yeelde	vvi	yield	yield	0
a	a	dt	a	a	0
much	much	d	much	much	0
more	more	av-dc	more	more	0
large	large	j	large	large	0
and	and	cc	and	and	0
plentiful	plentiful	j	plentiful	plentiful	0
!	!	!	!	!	0
testification	testification	n1	testification	testification	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
thankefulnesse	thankefulnesse	n1	thankfulness	thankfulness	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
time	time	n1	time	time	0
convenient	convenient	j	convenient	convenient	0
shall	shall	vmb	shall	shall	0
fall	fall	vvi	fallen	fall	0
out	out	av	out	out	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
looked	looked	vvn	looked	look	0
for	for	p-acp	for	for	0
at	at	p-acp	at	at	0
our	our	po12	our	our	0
handes	handes	n2	hands	hand	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
But	But	cc-acp	But	but	0
whereas	whereas	cs	whereas	whereas	0
that	that	d	that	that	0
graunt	graunt	vvb	grant	grant	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
fewe	fewe	d	few	few	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
onely	onely	j	only	only	0
request	request	n1	request	request	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
intercession	intercession	n1	intercession	intercession	0
of	of	pp-f	of	of	0
ours	ours	png12	ours	we	0
,	,	,	,	,	0
standeth	standeth	vvz	stands	stand	0
in	in	p-acp	in	in	0
as	as	c-acp	as	as	0
free	free	j	free	free	0
a	a	dt	a	a	0
libertie	libertie	n1	liberty	liberty	0
of	of	pp-f	of	of	0
comming	comming	vvg	coming	come	0
and	and	cc	and	and	0
going	going	vvg	going	go	0
to	to	p-acp	to	to	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
the	the	dt	the	the	0
lands	lands	n2	lands	land	0
and	and	cc	and	and	0
kingdoms	kingdoms	n2	kingdoms	kingdom	0
subject	subject	j-jn	subject	subject	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
both	both	av-d	both	both	0
by	by	p-acp	by	by	0
land	land	n1	land	land	0
&	&	cc	&	and	0
sea	sea	n1	sea	sea	0
with	with	p-acp	with	with	0
marchandizes	marchandizes	n2	merchandizes	merchandize	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
ever	ever	av	ever	ever	0
was	was	vbds	was	be	0
granted	granted	vvn	granted	grant	0
to	to	p-acp	to	to	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Imperiali	Imperiali	fw-la	Imperiali	imperiali	0
highnesse	highnesse	n1	highness	highness	0
confederates	confederates	n2	confederates	confederate	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
namely	namely	av	namely	namely	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
French	French	jp	French	french	0
,	,	,	,	,	0
the	the	dt	the	the	0
Polonians	Polonians	njp2	Polonians	polonians	0
,	,	,	,	,	0
the	the	dt	the	the	0
Venetians	Venetians	njp2	Venetians	venetian	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
subjects	subjects	n2-jn	subject's	subject	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Romanes	Romanes	njp2	Romans	roman	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
desire	desire	vvb	desire	desire	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
highnesse	highnesse	n1	highness	highness	0
that	that	cst	that	that	0
the	the	dt	the	the	0
commendation	commendation	n1	commendation	commendation	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
singular	singular	j	singular	singular	0
courtesie	courtesie	n1	courtesy	courtesy	0
may	may	vmb	may	may	0
not	not	xx	not	not	0
bee	bee	vbi	be	be	0
so	so	av	so	so	0
narrowly	narrowly	av-j	narrowly	narrow	0
restrained	restrained	vvn	restrained	restrain	0
to	to	p-acp	to	to	0
two	two	crd	two	two	0
or	or	cc	or	or	0
three	three	crd	three	three	0
men	men	n2	men	man	0
onely	onely	av-j	only	only	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
inlarged	inlarged	vvn	enlarged	enlarge	0
to	to	p-acp	to	to	0
