A	A	dt	A	a	0
description	description	n1	description	description	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fortunate	fortunate	j	fortunate	fortunate	0
Hands	Hands	n2	Hands	hand	0
,	,	,	,	,	0
otherwise	otherwise	av	otherwise	otherwise	0
called	called	vvn	called	call	0
the	the	dt	the	the	0
Hands	Hands	n2	Hands	hand	0
of	of	pp-f	of	of	0
Canaria	Canaria	np1	Canaria	Canaria	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
strange	strange	j	strange	strange	0
fruits	fruits	n2	fruits	fruit	0
and	and	cc	and	and	0
commodities	commodities	n2	commodities	commodity	0
:	:	:	:	:	0
composed	composed	vvd	composed	compose	0
by	by	p-acp	by	by	0
Thomas	Thomas	np1	Thomas	Thomas	0
Nicols	Nicols	np1	Nicols	Nicols	0
English	English	jp	English	english	0
man	man	n1	man	man	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
remained	remained	vvd	remained	remain	0
there	there	a-acp	there	there	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
seven	seven	crd	seven	seven	0
yeeres	yeeres	n2	years	year	0
together	together	av	together	together	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Ine	Ine	zz	Ine	ine	0
intent	intent	n1	intent	intent	0
is	is	vbz	is	be	0
particularly	particularly	av-j	particularly	particular	0
to	to	pc-acp	to	to	0
speake	speake	vvi	speak	speak	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Canaria	Canaria	np1	Canaria	Canaria	0
Hands	Hands	n2	Hands	hand	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
seven	seven	crd	seven	seven	0
in	in	p-acp	in	in	0
number	number	n1	number	number	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
I	I	pns11	I	i	0
dwelt	dwelt	vvd	dwelled	dwell	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
seven	seven	crd	seven	seven	0
yeres	yeres	n2	years	year	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
I	I	pns11	I	i	0
finde	finde	vvb	find	find	0
such	such	d	such	such	0
variety	variety	n1	variety	variety	0
in	in	p-acp	in	in	0
sundry	sundry	j	sundry	sundry	0
writers	writers	n2	writers	writer	0
,	,	,	,	,	0
and	and	cc	and	and	0
especially	especially	av-j	especially	especial	0
great	great	j	great	great	0
untruths	untruths	n2	untruths	untruth	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
booke	booke	n1	book	book	0
called	called	vvd	called	call	0
The	The	dt	The	the	0
New	New	j	New	new	0
found	found	vvd	found	find	0
world	world	n1	world	world	0
Antarctike	Antarctike	j	Antarctike	antarctike	0
,	,	,	,	,	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
set	set	vvn	set	set	0
out	out	av	out	out	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
French	French	jp	French	french	0
man	man	n1	man	man	0
called	called	vvn	called	call	0
Andrew	Andrew	np1	Andrew	Andrew	0
Thevet	Thevet	np1	Thevet	Thevet	0
,	,	,	,	,	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
his	his	po31	his	his	0
booke	booke	n1	book	book	0
he	he	pns31	he	he	0
dedicated	dedicated	vvd	dedicated	dedicate	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Cardinali	Cardinali	np1	Cardinali	Cardinali	0
of	of	pp-f	of	of	0
Sens	Sens	np1	Sens	Sens	0
,	,	,	,	,	0
keeper	keeper	n1	keeper	keeper	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
seale	seale	n1	seal	seal	0
of	of	pp-f	of	of	0
France	France	np1	France	France	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
It	It	pn31	It	it	0
appeareth	appeareth	vvz	appears	appear	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
booke	booke	n1	book	book	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
read	read	vvn	read	read	0
the	the	dt	the	the	0
works	works	n2	works	work	0
.	.	.	.	.	0
of	of	pp-f	of	of	0
sundry	sundry	j	sundry	sundry	0
Phylosophers	Phylosophers	n2	Philosophers	philosopher	0
,	,	,	,	,	0
Astronomers	Astronomers	n2	Astronomers	astronomer	0
,	,	,	,	,	0
and	and	cc	and	and	0
Cos-mographers	Cos-mographers	j	Cosmographers	cosmographers	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
opinions	opinions	n2	opinions	opinion	0
he	he	pns31	he	he	0
gathered	gathered	vvd	gathered	gather	0
together	together	av	together	together	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
125	125	crd	125	125	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
touching	touching	vvg	touching	touch	0
his	his	po31	his	his	0
owne	owne	d	own	own	0
travell	travell	n1	travel	travel	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
affirmeth	affirmeth	vvz	affirmeth	affirm	0
,	,	,	,	,	0
I	I	pns11	I	i	0
refer	refer	vvb	refer	refer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
judgement	judgement	n1	judgement	judgement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
expert	expert	j	expert	expert	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
therefore	therefore	av	therefore	therefore	0
for	for	p-acp	for	for	0
mine	mine	po11	mine	my	0
owne	owne	d	own	own	0
part	part	n1	part	part	0
1	1	crd	1	1	0
write	write	n1	writ	write	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
Canaria	Canaria	np1	Canaria	Canaria	0
Hands	Hands	n2	Hands	hand	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
time	time	n1	time	time	0
hath	hath	vhz	hath	have	0
taught	taught	vvn	taught	teach	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
many	many	d	many	many	0
yeres	yeres	n2	years	year	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Hand	Hand	n1	Hand	hand	0
of	of	pp-f	of	of	0
