Here	Here	av	Here	here	0
follow	follow	vvb	follow	follow	0
the	the	dt	the	the	0
latitudes	latitudes	n2	latitudes	latitude	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
headlandes	headlandes	n2	headlandes	headlande	0
,	,	,	,	,	0
Capes	Capes	n2	Capes	cape	0
,	,	,	,	,	0
and	and	cc	and	and	0
Islands	Islands	n2	Islands	island	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
of	of	pp-f	of	of	0
Madera	Madera	np1	Madera	Madera	0
,	,	,	,	,	0
The	The	dt	The	the	0
Canaries	Canaries	n2	Canaries	canary	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np1	Indies	Indies	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Azores	Azores	n2	Azores	azore	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Isles	Isles	n2	Isles	isle	0
of	of	pp-f	of	of	0
Cabo	Cabo	np1	Cabo	Cabo	0
Verde	Verde	np1	Verde	Verde	0
.	.	.	.	.	1
Degrees	Degrees	n2	Degrees	degree	0
of	of	pp-f	of	of	0
latitude	latitude	n1	latitude	latitude	0
.	.	.	.	.	1
r	r	sy	r	r	0
I	I	pns11	I	i	0
'	'	'	'	'	0
'	'	'	'	'	0
He	He	pns31	He	he	0
island	island	n1	island	island	0
called	called	vvn	called	call	0
Puerto	Puerto	np1	Puerto	Puerto	0
santo	santo	n1	santo	santo	0
standeth	standeth	vvz	stands	stand	0
in	in	p-acp	in	in	0
A	A	dt	A	a	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Madera	Madera	np1	Madera	Madera	0
standeth	standeth	vvz	stands	stand	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
Salvaja	Salvaja	np1	Salvaja	Salvaja	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Alagranza	Alagranza	np1	Alagranza	Alagranza	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
Fuerte	Fuerte	np1	Fuerte	Fuerte	0
ventura	ventura	fw-la	ventura	ventura	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
Grand	Grand	j	Grand	grand	0
Canaria	Canaria	np1	Canaria	Canaria	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Palma	Palma	np1	Palma	Palma	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
point	point	n1	point	point	0
called	called	vvn	called	call	0
Punta	Punta	np1	Punta	Punta	0
de	de	fw-fr	de	de	0
Naga	Naga	np1	Naga	Naga	0
in	in	p-acp	in	in	0
Tenerif	Tenerif	n1	Tenerif	tenerif	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Gomera	Gomera	np1	Gomera	Gomera	0
in	in	p-acp	in	in	0
33	33	crd	33	33	0
3^	3^	n1	3^	3^	0
30	30	crd	30	30	0
291	291	crd	291	291	0
z8	z8	n1	z8	z8	0
|	|	|	|	|	0
28j	28j	fw-la	28j	28j	0
281	281	crd	281	281	0
271	271	crd	271	271	0
The	The	dt	The	the	0
latitudes	latitudes	n2	latitudes	latitude	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Islands	Islands	n2	Islands	island	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np2	Indies	Indies	0
.	.	.	.	.	1
Degrees	Degrees	n2	Degrees	degree	0
of	of	pp-f	of	of	0
latitude	latitude	n1	latitude	latitude	0
.	.	.	.	.	1
The	The	dt	The	the	0
island	island	n1	island	island	0
of	of	pp-f	of	of	0
Fonzeca	Fonzeca	np1	Fonzeca	Fonzeca	0
standeth	standeth	vvz	stands	stand	0
in	in	p-acp	in	in	0
ni	ni	fw-fr	ni	ni	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
Tabago	Tabago	np1	Tabago	Tabago	0
in	in	p-acp	in	in	0
skant	skant	j	skant	scant	0
11	11	crd	11	11	0
The	The	dt	The	the	0
Barbudos	Barbudos	np1	Barbudos	Barbudos	0
in	in	p-acp	in	in	0
13	13	crd	13	13	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Trinidad	Trinidad	np1	Trinidad	Trinidad	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
North	North	n1	North	north	0
side	side	n1	side	side	0
in	in	p-acp	in	in	0
10	10	crd	10	10	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Granata	Granata	np1	Granata	Granata	0
in	in	p-acp	in	in	0
i	i	pns11	i	i	0
