TESTIMONIES	TESTIMONIES	n2	TESTIMONIES	testimony	0
OF	OF	pp-f	OF	of	0
THE	THE	dt	THE	the	0
AMAZON	AMAZON	np1	AMAZON	Amazon	0
broad	broad	j	broad	broad	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
much	much	d	much	much	0
beaten	beaten	j-vvn	beaten	beat	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
wayes	wayes	n2	ways	way	0
betweene	betweene	p-acp	between	between	0
Salamanca	Salamanca	np1	Salamanca	Salamanca	0
and	and	cc	and	and	0
Validolid	Validolid	np1	Validolid	Validolid	0
:	:	:	:	:	0
and	and	cc	and	and	0
this	this	d	this	this	0
was	was	vbds	was	be	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
great	great	j	great	great	0
entrance	entrance	n1	entrance	entrance	0
or	or	cc	or	or	0
discoverie	discoverie	n1	discovery	discovery	0
was	was	vbds	was	be	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
great	great	j	great	great	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Amazones	Amazones	np2	Amazones	Amazon	0
or	or	cc	or	or	0
Marannon	Marannon	np1	Marannon	Marannon	0
by	by	p-acp	by	by	0
Pedro	Pedro	np1	Pedro	Pedro	0
de	de	fw-fr	de	de	0
Orsua	Orsua	np1	Orsua	Orsua	0
,	,	,	,	,	0
and	and	cc	and	and	0
afterwardes	afterwardes	av	afterwards	afterwards	0
by	by	p-acp	by	by	0
others	others	n2-jn	others	other	0
that	that	cst	that	that	0
succeeded	succeeded	vvd	succeeded	succeed	0
him	him	pno31	him	he	0
:	:	:	:	:	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
supposing	supposing	vvg	supposing	suppose	0
that	that	cst	that	that	0
Dorado	Dorado	np1	Dorado	Dorado	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
sought	sought	vvd	sought	seek	0
,	,	,	,	,	0
was	was	vbds	was	be	0
farther	farther	jc	farther	far	0
up	up	p-acp	up	up	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
inhabite	inhabite	vvi	inhabit	inhabit	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
and	and	cc	and	and	0
afterward	afterward	av	afterwards	afterward	0
returned	returned	vvd	returned	return	0
without	without	p-acp	without	without	0
discovering	discovering	vvg	discovering	discover	0
Dorado	Dorado	np1	Dorado	Dorado	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
never	never	av-x	never	never	0
found	found	vvd	found	find	0
)	)	)	)	)	0
and	and	cc	and	and	0
without	without	p-acp	without	without	0
that	that	d	that	that	0
great	great	j	great	great	0
province	province	n1	province	province	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
