A	A	dt	A	a	0
particular	particular	j	particular	particular	0
note	note	n1	note	note	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Indian	Indian	jp	Indian	indian	0
fleet	fleet	n1	fleet	fleet	0
,	,	,	,	,	0
expected	expected	vvd	expected	expect	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
come	come	vvn	come	come	0
into	into	p-acp	into	into	0
Spaine	Spaine	np1	Spaine	Spain	0
this	this	d	this	this	0
present	present	j	present	present	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
1591.	1591.	crd	1591.	1591.	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
shippes	shippes	n2	ships	ship	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
perished	perished	vvn	perished	perish	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
examination	examination	n1	examination	examination	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
Spaniards	Spaniards	np2	Spaniards	Spaniard	0
lately	lately	av-j	lately	late	0
taken	taken	vvn	taken	take	0
and	and	cc	and	and	0
brought	brought	vvn	brought	bring	0
into	into	p-acp	into	into	0
England	England	np1	England	England	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
ships	ships	n2	ships	ship	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
fleete	fleete	n1	fleet	fleet	0
of	of	pp-f	of	of	0
Nova	Nova	np1	Nova	Nova	0
Hispania	Hispania	np1	Hispania	Hispania	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
first	first	ord	first	first	0
gathering	gathering	n-vvg	gathering	gather	0
together	together	av	together	together	0
and	and	cc	and	and	0
setting	setting	vvg	setting	set	0
foorth	foorth	av	forth	forth	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
two	two	crd	two	two	0
and	and	cc	and	and	0
fiftie	fiftie	crd	fiftie	fifty	0
sailes	sailes	n2	sails	sail	0
.	.	.	.	.	1
The	The	dt	The	the	0
Admiral	Admiral	n1	Admiral	admiral	0
!	!	!	!	!	0
was	was	vbds	was	be	0
of	of	a-acp	of	off	0
sixe	sixe	crd	sixe	six	0
hundred	hundred	crd	hundred	hundred	0
tunnes	tunnes	n2	tons	ton	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Vice	Vice	n1	Vice	vice	0
Admiral	Admiral	n1	Admiral	admiral	0
!	!	!	!	!	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
burthen	burthen	n1	burden	burden	0
.	.	.	.	.	1
Foure	Foure	crd	Foure	four	0
or	or	cc	or	or	0
five	five	crd	five	five	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
shippes	shippes	n2	ships	ship	0
were	were	vbdr	were	be	0
of	of	pp-f	of	of	0
nine	nine	crd	nine	nine	0
hundred	hundred	crd	hundred	hundred	0
