The	The	dt	The	the	0
second	second	ord	second	second	0
letters	letters	n2	letters	letter	0
Patents	Patents	n2	Patents	patent	0
graunted	graunted	vvn	granted	grant	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
Majestie	Majestie	n1	Majesty	majesty	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Right	Right	n-jn	Right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
companie	companie	n1	company	company	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Marchants	Marchants	n2	Merchants	merchant	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Levant	Levant	np1	Levant	Levant	0
,	,	,	,	,	0
the	the	dt	the	the	0
seventh	seventh	ord	seventh	seven	0
of	of	pp-f	of	of	0
Januarie	Januarie	np1	Januarie	Januarie	0
1592.	1592.	crd	1592.	1592.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Lizabeth	Lizabeth	np1	Lizabeth	Lizabeth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
France	France	np1	France	France	0
,	,	,	,	,	0
and	and	cc	and	and	0
Irelande	Irelande	np1	Irelande	Ireland	0
,	,	,	,	,	0
defender	defender	n1	defender	defender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
&c.	&c.	av	etc.	etc	1
To	To	p-acp	To	to	0
all	all	d	all	all	0
our	our	po12	our	our	0
Officers	Officers	n2	Officers	officer	0
,	,	,	,	,	0
ministers	ministers	n2	ministers	minister	0
and	and	cc	and	and	0
subjects	subjects	n2-jn	subject's	subject	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
people	people	n1	people	people	0
aswell	aswell	av	aswell	aswell	0
within	within	p-acp	within	within	0
this	this	d	this	this	0
our	our	po12	our	our	0
Realme	Realme	n1	Realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
else	else	av	else	else	0
where	where	c-crq	where	where	0
under	under	p-acp	under	under	0
our	our	po12	our	our	0
obey-sance	obey-sance	j	obeisance	obeisance	0
and	and	cc	and	and	0
jurisdiction	jurisdiction	n1	jurisdiction	jurisdiction	0
or	or	cc	or	or	0
otherwise	otherwise	av	otherwise	otherwise	0
unto	unto	p-acp	unto	unto	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
whom	whom	qo-crq	whom	who	0
these	these	d	these	these	0
our	our	po12	our	our	0
letters	letters	n2	letters	letter	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
seene	seene	vvn	seen	see	0
,	,	,	,	,	0
shewed	shewed	vvd	showed	show	0
,	,	,	,	,	0
or	or	cc	or	or	0
read	read	vvi	read	read	0
,	,	,	,	,	0
greeting	greeting	n1	greeting	greeting	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Where	Where	c-crq	Where	where	0
our	our	po12	our	our	0
welbeloved	welbeloved	j	well-beloved	well-beloved	0
subjects	subjects	n2-jn	subject's	subject	0
Edward	Edward	np1	Edward	Edward	0
Osborne	Osborne	np1	Osborne	Osborne	0
knight	knight	n1	knight	knight	0
Aiderman	Aiderman	np1	Aiderman	Aiderman	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
William	William	np1	William	William	0
Hare-borne	Hare-borne	j	Hareborne	hareborne	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
and	and	cc	and	and	0
Richard	Richard	np1	Richard	Richard	0
Staper	Staper	n1	Staper	staper	0
