Articles	Articles	n2	Articles	article	0
and	and	cc	and	and	0
orders	orders	n2	order	order	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
observed	observed	vvn	observed	observe	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Fleete	Fleete	n1	Fleet	fleet	0
,	,	,	,	,	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
by	by	p-acp	by	by	0
Captaine	Captaine	n1	Captain	captain	0
Frobisher	Frobisher	np1	Frobisher	Frobisher	0
Generali	Generali	fw-la	Generali	generali	0
,	,	,	,	,	0
and	and	cc	and	and	0
delivered	delivered	vvn	delivered	deliver	0
in	in	p-acp	in	in	0
writing	writing	vvg	writing	write	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
Captaine	Captaine	n1	Captain	captain	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
for	for	c-acp	for	for	0
keeping	keeping	vvg	keeping	keep	0
company	company	n1	company	company	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
course	course	n1	course	course	0
,	,	,	,	,	0
the	the	dt	the	the	0
31	31	crd	31	31	0
of	of	pp-f	of	of	0
May	May	np1	May	May	0
.	.	.	.	.	1
1	1	crd	1	1	0
TNprimis	TNprimis	fw-la	TNprimis	tnprimis	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
banish	banish	vvi	banish	banish	0
swearing	swearing	vvg	swearing	swear	0
,	,	,	,	,	0
dice	dice	n2	dice	dice	0
,	,	,	,	,	0
and	and	cc	and	and	0
card-playing	card-playing	j	card-playing	card-playing	0
,	,	,	,	,	0
1.	1.	crd	1.	1.	0
and	and	cc	and	and	0
filthy	filthy	j	filthy	filthy	0
conmunication	conmunication	n1	conmunication	conmunication	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
God	God	np1	God	God	0
twice	twice	av	twice	twice	0
a	a	dt	a	a	0
day	day	n1	day	day	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
ordinary	ordinary	j	ordinary	ordinary	0
service	service	n1	service	service	0
usuall	usuall	j	usual	usual	0
in	in	p-acp	in	in	0
Churches	Churches	n2	Churches	church	0
of	of	pp-f	of	of	0
322	322	crd	322	322	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
cleare	cleare	vvi	clear	clear	0
the	the	dt	the	the	0
glasse	glasse	n1	glass	glass	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
old	old	j	old	old	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
.	.	.	.	.	1
2	2	crd	2	2	0
The	The	dt	The	the	0
Admiral	Admiral	n1	Admiral	admiral	0
shall	shall	vmb	shall	shall	0
carie	carie	vvi	carry	carry	0
the	the	dt	the	the	0
light	light	n1	light	light	0
,	,	,	,	,	0
&	&	cc	&	and	0
after	after	p-acp	after	after	0
his	his	po31	his	his	0
light	light	n1	light	light	0
be	be	vbb	be	be	0
once	once	a-acp	once	once	0
put	put	vvn	put	put	0
out	out	av	out	out	0
,	,	,	,	,	0
no	no	dx	no	no	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
a	a	dt	a	a	0
head	head	n1	head	head	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
every	every	d	every	every	0
man	man	n1	man	man	0
to	to	pc-acp	to	to	0
fit	fit	vvi	fit	fit	0
his	his	po31	his	his	0
sailes	sailes	n2	sails	sail	0
to	to	pc-acp	to	to	0
follow	follow	vvi	follow	follow	0
as	as	c-acp	as	as	0
neere	neere	av-j	near	near	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
endangering	endangering	vvg	endangering	endanger	0
one	one	pi	one	one	0
another	another	j-jn	another	another	0
.	.	.	.	.	1
3	3	crd	3	3	0
That	That	cst	That	that	0
no	no	dx	no	no	0
man	man	n1	man	man	0
shall	shall	vmb	shall	shall	0
by	by	p-acp	by	by	0
day	day	n1	day	day	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
night	night	n1	night	night	0
depart	depart	vvi	depart	depart	0
further	further	av-jc	further	further	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Admirall	Admirall	n1	Admiral	admiral	0
then	then	av	then	then	0
the	the	dt	the	the	0
distance	distance	n1	distance	distance	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
English	English	jp	English	english	0
mile	mile	n1	mile	mile	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
neere	neere	av-j	near	near	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
danger	danger	n1	danger	danger	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
another	another	n-jn	another	another	0
.	.	.	.	.	1
4	4	crd	4	4	0
If	If	cs	If	if	0
it	it	pn31	it	it	0
chance	chance	vvb	chance	chance	0
to	to	pc-acp	to	to	0
grow	grow	vvi	grow	grow	0
thicke	thicke	j	thick	thick	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
wind	wind	n1	wind	wind	0
contrary	contrary	j-jn	contrary	contrary	0
,	,	,	,	,	0
