A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
ambassador	ambassador	n1	ambassador	ambassador	0
to	to	p-acp	to	to	0
M.	M.	n1	M.	m.	0
Edward	Edward	np1	Edward	Edward	0
Barton	Barton	np1	Barton	Barton	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Aster	Aster	a-acp	Aster	after	0
Barton	Barton	np1	Barton	Barton	0
I	I	pns11	I	i	0
send	send	vvb	send	send	0
you	you	pn22	you	you	0
3.	3.	crd	3.	3.	0
commande-ments	commande-ments	j	commandments	commandments	0
in	in	p-acp	in	in	0
Turkish	Turkish	jp	Turkish	turkish	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
copy	copy	n1	copy	copy	0
thereof	thereof	av	thereof	thereof	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ende	ende	n1	end	end	0
our	our	po12	our	our	0
ships	ships	n2	ships	ship	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
come	come	vvi	come	come	0
in	in	p-acp	in	in	0
danger	danger	n1	danger	danger	0
of	of	pp-f	of	of	0
breach	breach	n1	breach	breach	0
of	of	pp-f	of	of	0
league	league	n1	league	league	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
shoote	shoote	vvi	shoot	shoot	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
gallies	gallies	n2	galleys	galley	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
of	of	pp-f	of	of	0
Algier	Algier	np1	Algier	Algiers	0
,	,	,	,	,	0
Tunis	Tunis	np1	Tunis	Tunis	0
,	,	,	,	,	0
and	and	cc	and	and	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
West	West	n1	West	west	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
after	after	c-acp	after	after	0
you	you	pn22	you	you	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
have	have	vhb	have	have	0
shewed	shewed	vvd	showed	show	0
the	the	dt	the	the	0
Bassas	Bassas	n2	Bassas	bassa	0
,	,	,	,	,	0
receive	receive	vvb	receive	receive	0
againe	againe	av	again	again	0
into	into	p-acp	into	into	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
