A	A	dt	A	a	0
copie	copie	n1	copy	copy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Adventurers	Adventurers	n2	Adventurers	adventurer	0
for	for	p-acp	for	for	0
Brasill	Brasill	np1	Brasill	Brasill	0
sent	sent	vvd	sent	send	0
to	to	p-acp	to	to	0
John	John	np1	John	John	0
WhithalL	WhithalL	av	WhithalL	whithall	0
dwelling	dwelling	vvg	dwelling	dwell	0
in	in	p-acp	in	in	0
Santos	Santos	np1	Santos	Santos	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Minion	Minion	n1	Minion	minion	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
.	.	.	.	.	1
Anno	Anno	fw-la	Anno	anno	0
1580.	1580.	crd	1580.	1580.	0
the	the	dt	the	the	0
24.	24.	crd	24.	24.	0
of	of	pp-f	of	of	0
October	October	np1	October	October	0
in	in	p-acp	in	in	0
London	London	np1	London	London	0
.	.	.	.	.	1
Aster	Aster	np1	Aster	Aster	0
Whithall	Whithall	av	Whithall	whithall	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
unacquainted	unacquainted	j	unacquainted	unacquainted	0
wee	wee	pns12	we	we	0
commend	commend	vvb	commend	commend	0
us	us	pno12	us	we	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
understanding	understanding	vvg	understanding	understand	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
friends	friends	n2	friends	friend	0
,	,	,	,	,	0
M.	M.	n1	M.	m.	0
John	John	np1	John	John	0
Bird	Bird	n1	Bird	bird	0
,	,	,	,	,	0
M.	M.	n1	M.	m.	0
Robert	Robert	np1	Robert	Robert	0
Walkaden	Walkaden	np1	Walkaden	Walkaden	0
,	,	,	,	,	0
and	and	cc	and	and	0
your	your	po22	your	your	0
brother	brother	n1	brother	brother	0
James	James	np1	James	James	0
Whithall	Whithall	av	Whithall	whithall	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
letters	letters	n2	letters	letter	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
received	received	vvn	received	receive	0
of	of	pp-f	of	of	0
yours	yours	png22	yours	you	0
from	from	p-acp	from	from	0
Santos	Santos	np1	Santos	Santos	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
wee	wee	pns12	we	we	0
have	have	vhb	have	have	0
seene	seene	vvn	seen	see	0
and	and	cc	and	and	0
read	read	vvn	read	read	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
you	you	pn22	you	you	0
doe	doe	vdb	do	do	0
require	require	vvi	require	require	0
,	,	,	,	,	0
and	and	cc	and	and	0
desire	desire	vvb	desire	desire	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
a	a	dt	a	a	0
good	good	j	good	good	0
ship	ship	n1	ship	ship	0
to	to	p-acp	to	to	0
Santos	Santos	np1	Santos	Santos	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
wares	wares	n2	wares	ware	0
and	and	cc	and	and	0
commodities	commodities	n2	commodities	commodity	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
did	did	vdd	did	do	0
write	write	vvi	write	write	0
for	for	p-acp	for	for	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
you	you	pn22	you	you	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
promise	promise	vvi	promise	promise	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
have	have	vhi	have	have	0
good	good	j	good	good	0
intertainment	intertainment	n1	entertainment	entertainment	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
should	should	vmd	should	shall	0
sell	sell	vvi	fell	sell	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
commodities	commodities	n2	commodities	commodity	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
three	three	crd	three	three	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
outward	outward	j	outward	outward	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
least	least	ds	least	least	0
in	in	p-acp	in	in	0
every	every	d	every	every	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
to	to	pc-acp	to	to	0
relade	relade	vvi	relade	relade	0
their	their	po32	their	their	0
ship	ship	n1	ship	ship	0
backe	backe	av	back	back	0
,	,	,	,	,	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
have	have	vhi	have	have	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
best	best	js	best	best	0
,	,	,	,	,	0
finest	finest	js	finest	fine	0
,	,	,	,	,	0
&	&	cc	&	and	0
whitest	whitest	js-jn	whitest	white	0
drie	drie	j	dry	dry	0
sugars	sugars	n2	sugars	sugar	0
32.	32.	crd	32.	32.	0
pound	pound	n1	pound	pound	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
weight	weight	n1	weight	weight	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
ducket	ducket	n1	ducat	ducat	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
.	.	.	.	.	1
The	The	dt	The	the	0
premises	premises	n2	premises	premise	0
considered	considered	vvn	considered	consider	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
great	great	j	great	great	0
credit	credit	n1	credit	credit	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
and	and	cc	and	and	0
we	we	pns12	we	we	0
doe	doe	vdb	do	do	0
give	give	vvi	give	give	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
writing	writing	n1	writing	writing	0
&	&	cc	&	and	0
promise	promise	n1	promise	promise	0
,	,	,	,	,	0
have	have	vhb	have	have	0
caused	caused	vvn	caused	cause	0
us	us	pno12	us	we	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
names	names	n2	names	name	0
be	be	vbb	be	be	0
hereunder	hereunder	av	hereunder	hereunder	0
written	written	vvn	written	write	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
joyne	joyne	vvi	join	join	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
in	in	p-acp	in	in	0
company	company	n1	company	company	0
together	together	av	together	together	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
at	at	p-acp	at	at	0
great	great	j	great	great	0
charges	charges	n2	charges	charge	0
purposely	purposely	av	purposely	purposely	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
this	this	d	this	this	0
good	good	j	good	good	0
ship	ship	n1	ship	ship	0
the	the	dt	the	the	0
Minion	Minion	n1	Minion	minion	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
not	not	xx	not	not	0
