How	How	np1	How	How	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
departure	departure	n1	departure	departure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
two	two	crd	two	two	0
shippes	shippes	n2	ships	ship	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
sent	sent	vvn	sent	send	0
backe	backe	av	back	back	0
into	into	p-acp	into	into	0
Britaine	Britaine	np1	Britaine	Britain	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Fort	Fort	n1	Fort	fort	0
was	was	vbds	was	be	0
begun	begun	vvn	begun	begin	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
builded	builded	vvn	built	build	0
,	,	,	,	,	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
prepared	prepared	vvd	prepared	prepare	0
two	two	crd	two	two	0
boates	boates	n2	boats	boat	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
great	great	j	great	great	0
River	River	n1	River	river	0
to	to	pc-acp	to	to	0
discover	discover	vvi	discover	discover	0
the	the	dt	the	the	0
passage	passage	n1	passage	passage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
three	three	crd	three	three	0
Saults	Saults	n2	Saults	fault	0
or	or	cc	or	or	0
falles	falles	n2	falls	fall	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
River	River	n1	River	river	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
THE	THE	dt	THE	the	0
sayd	sayd	vvd	said	say	0
Captaine	Captaine	n1	Captain	captain	0
having	having	vhg	having	have	0
dispatched	dispatched	vvn	dispatched	dispatch	0
two	two	crd	two	two	0
ships	ships	n2	ships	ship	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
to	to	pc-acp	to	to	0
carry	carry	vvi	carry	carry	0
newes	newes	n1	news	news	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
as	as	c-acp	as	as	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
in	in	p-acp	in	in	0
charge	charge	n1	charge	charge	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Fort	Fort	n1	Fort	fort	0
was	was	vbds	was	be	0
begun	begun	vvn	begun	begin	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
builded	builded	vvn	built	build	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
preservation	preservation	n1	preservation	preservation	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
victuals	victuals	n2	victuals	victual	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
,	,	,	,	,	0
determined	determined	vvn	determined	determine	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Vicount	Vicount	n1	Viscount	viscount	0
of	of	pp-f	of	of	0
Beaupre	Beaupre	np1	Beaupre	Beaupre	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
,	,	,	,	,	0
Masters	Masters	n2	Master's	master	0
,	,	,	,	,	0
and	and	cc	and	and	0
Pilots	Pilots	n2	Pilots	pilot	0
chosen	chosen	vvn	chosen	choose	0
for	for	p-acp	for	for	0
counsayle	counsayle	n1	counsel	counsel	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
a	a	dt	a	a	0
voyage	voyage	n1	voyage	voyage	0
with	with	p-acp	with	with	0
two	two	crd	two	two	0
boates	boates	n2	boats	boat	0
furnished	furnished	vvn	furnished	furnish	0
with	with	p-acp	with	with	0
men	men	n2	men	man	0
and	and	cc	and	and	0
victuals	victuals	n2	victuals	victual	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
as	as	c-acp	as	as	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
Hochelaga	Hochelaga	np1	Hochelaga	Hochelaga	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
purpose	purpose	n1	purpose	purpose	0
to	to	pc-acp	to	to	0
view	view	vvi	view	view	0
and	and	cc	and	and	0
understand	understand	vvi	understand	understand	0
the	the	dt	the	the	0
fashion	fashion	n1	fashion	fashion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Saults	Saults	n2	Saults	fault	0
of	of	pp-f	of	of	0
water	water	n1	water	water	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
passed	passed	vvn	passed	pass	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
to	to	p-acp	to	to	0
Saguenay	Saguenay	np1	Saguenay	Saguenay	0
,	,	,	,	,	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
readier	readier	jc	readier	ready	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
spring	spring	n1	spring	spring	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
farther	farther	av-jc	farther	far	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Winter	Winter	n1	Winter	winter	0
time	time	n1	time	time	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
all	all	d	all	all	0
things	things	n2	things	thing	0
needefull	needefull	j	needful	needful	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
readinesse	readinesse	n1	readiness	readiness	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
businesse	businesse	n1	business	business	0
.	.	.	.	.	1
The	The	dt	The	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
boates	boates	n2	boats	boat	0
being	being	vbg	being	be	0
made	made	vvn	made	make	0
ready	ready	j	ready	ready	0
,	,	,	,	,	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
and	and	cc	and	and	0
Martine	Martine	np1	Martine	Martine	0
de	de	fw-fr	de	de	0
Painpont	Painpont	np1	Painpont	Painpont	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
Gentlemen	Gentlemen	n2	Gentlemen	gentleman	0
and	and	cc	and	and	0
the	the	dt	the	the	0
remnant	remnant	n1	remnant	remnant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mariners	Mariners	n2	Mariners	mariner	0
departed	departed	vvd	departed	depart	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
Charlesburg	Charlesburg	np1	Charlesburg	Charlesburg	0
Royal	Royal	j	Royal	royal	0
the	the	dt	the	the	0
seventh	seventh	ord	seventh	seven	0
day	day	n1	day	day	0
