I594	I594	n1	I594	i594	0
’	’	’	’	’	0
riches	riches	n2-j	riches	rich	0
that	that	cst	that	that	0
was	was	vbds	was	be	0
.	.	.	.	.	1
I	I	pns11	I	i	0
doe	doe	vdb	do	do	0
not	not	xx	not	not	0
heere	heere	av	here	here	0
set	set	vvi	set	set	0
it	it	pn31	it	it	0
downe	downe	a-acp	down	down	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
place	place	n1	place	place	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
appeare	appeare	vvi	appear	appear	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
information	information	n1	information	information	0
that	that	cst	that	that	0
goeth	goeth	vvz	goes	go	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Majestie	Majestie	n1	Majesty	majesty	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
should	should	vmd	should	shall	0
heere	heere	av	here	here	0
bee	bee	vbi	be	be	0
set	set	vvn	set	set	0
downe	downe	a-acp	down	down	0
,	,	,	,	,	0
foure	foure	crd	foure	four	0
leaves	leaves	n2	leaves	leaf	0
of	of	pp-f	of	of	0
paper	paper	n1	paper	paper	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
containe	containe	vvi	contain	contain	0
it	it	pn31	it	it	0
.	.	.	.	.	1
The	The	dt	The	the	0
Letter	Letter	n1	Letter	letter	0
of	of	pp-f	of	of	0
George	George	np1	George	George	0
Burien	Burien	np1	Burien	Burien	0
Britton	Britton	np1	Britton	Britton	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
say	say	vvb	say	say	0
de	de	dt	the	the	0
Canaries	Canaries	n2	Canaries	canary	0
unto	unto	p-acp	unto	unto	0
his	his	po31	his	his	0
cousin	cousin	n1	cousin	cousin	0
a	a	dt	a	a	0
Frenchman	Frenchman	np1	Frenchman	Frenchman	0
dwelling	dwelling	vvg	dwelling	dwell	0
in	in	p-acp	in	in	0
S.	S.	n1	S.	saint	0
Lucar	Lucar	np1	Lucar	Lucar	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
El	El	fw-es	El	el	0
Dorado	Dorado	np1	Dorado	Dorado	0
.	.	.	.	.	1
Sir	Sir	n1	Sir	sir	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
very	very	j	very	very	0
good	good	j	good	good	0
cousin	cousin	n1	cousin	cousin	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
came	came	vvd	came	come	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
certaine	certaine	j	certain	certain	0
Letters	Letters	n2	Letters	letter	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
new	new	j	new	new	0
discovered	discovered	vvn	discovered	discover	0
countrey	countrey	n1	country	country	0
not	not	xx	not	not	0
farre	farre	av-j	far	far	0
from	from	p-acp	from	from	0
Trinidad	Trinidad	np1	Trinidad	Trinidad	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
write	write	vvb	write	write	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
Golde	Golde	n1	Gold	gold	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
abundance	abundance	n1	abundance	abundance	0
:	:	:	:	:	0
the	the	dt	the	the	0
newes	newes	n1	news	news	0
seemeth	seemeth	vvz	seems	seem	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
very	very	av	very	very	0
certaine	certaine	j	certain	certain	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
passeth	passeth	vvz	passes	pass	0
for	for	p-acp	for	for	0
good	good	j	good	good	0
amongst	amongst	p-acp	among	among	0
the	the	dt	the	the	0
best	best	js	best	best	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Citie	Citie	n1	City	city	0
.	.	.	.	.	1
Part	Part	n1	Part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
information	information	n1	information	information	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Discovery	Discovery	n1	Discovery	discovery	0
that	that	cst	that	that	0
went	went	vvd	went	go	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
goeth	goeth	vvz	goes	go	0
inclosed	inclosed	vvn	enclosed	enclose	0
in	in	p-acp	in	in	0
Alonsos	Alonsos	np1	Alonsos	Alonsos	0
letters	letters	n2	letters	letter	0
;	;	;	;	;	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
worth	worth	n1	worth	worth	0
the	the	dt	the	the	0
seeing	seeing	vvg	seeing	see	0
.	.	.	.	.	1
The	The	dt	The	the	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
Domingo	Domingo	np1	Domingo	Domingo	0
Martinez	Martinez	np1	Martinez	Martinez	0
of	of	pp-f	of	of	0
Jamaica	Jamaica	np1	Jamaica	Jamaica	0
concerning	concerning	vvg	concerning	concern	0
El	El	fw-es	El	el	0
Dorado	Dorado	np1	Dorado	Dorado	0
.	.	.	.	.	1
HE	HE	pns31	HE	he	0
say	say	vvz	say	say	0
th	th	cst	that	that	0
that	that	d	that	that	0
in	in	p-acp	in	in	0
1593.	1593.	crd	1593.	1593.	0
being	being	n1	being	being	0
at	at	p-acp	at	at	0
Carthagena	Carthagena	np1	Carthagena	Carthagena	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
generali	generali	fw-la	generali	generali	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
late	late	j	late	late	0
discovery	discovery	n1	discovery	discovery	0
called	called	vvn	called	call	0
Nuevo	Nuevo	np1	Nuevo	Nuevo	0
Dorado	Dorado	np1	Dorado	Dorado	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
a	a	dt	a	a	0
litle	litle	j	little	little	0
before	before	p-acp	before	before	0
his	his	po31	his	his	0
comming	comming	vvg	coming	come	0
thither	thither	av	thither	thither	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
came	came	vvd	came	come	0
a	a	dt	a	a	0
Frigat	Frigat	n1	Frigate	frigate	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Dorado	Dorado	np1	Dorado	Dorado	0
,	,	,	,	,	0
[	[	[	[	[	0
III	III	crd	III	three	0
.	.	.	.	.	1
666.	666.	crd	666.	666.	0
]	]	]	]	]	0
bringing	bringing	vvg	bringing	bring	0
in	in	p-acp	in	in	0
it	it	pn31	it	it	0
the	the	dt	the	the	0
portrature	portrature	n1	portraiture	portraiture	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Giant	Giant	n1	Giant	giant	0
all	all	d	all	all	0
of	of	pp-f	of	of	0
Gold	Gold	n1	Gold	gold	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
weight	weight	n1	weight	weight	0
47.	47.	crd	47.	47.	0
kintals	kintals	n2	kintals	kintal	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
Indians	Indians	np1	Indians	Indians	0
there	there	a-acp	there	there	0
held	held	vvd	held	hold	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
Idoll	Idoll	n1	Idol	idol	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
now	now	av	now	now	0
admitting	admitting	vvg	admitting	admit	0
of	of	pp-f	of	of	0
Christianitie	Christianitie	np1	Christianitie	Christianity	0
and	and	cc	and	and	0
obedience	obedience	n1	obedience	obedience	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
,	,	,	,	,	0
they	they	pns32	they	they	0
sent	sent	vvd	sent	send	0
their	their	po32	their	their	0
sayd	sayd	j-vvn	said	say	0
Idol	Idol	n1	Idol	idol	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
token	token	n1	token	token	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
become	become	vvn	become	become	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
and	and	cc	and	and	0
held	held	vvd	held	hold	0
him	him	pno31	him	he	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
King	King	n1	King	king	0
.	.	.	.	.	1
The	The	dt	The	the	0
company	company	n1	company	company	0
comming	comming	vvg	coming	come	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Frigat	Frigat	n1	Frigate	frigate	0
,	,	,	,	,	0
reported	reported	vvn	reported	report	0
Golde	Golde	n1	Gold	gold	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
there	there	a-acp	there	there	0
in	in	p-acp	in	in	0
most	most	ds	most	most	0
abundance	abundance	n1	abundance	abundance	0
,	,	,	,	,	0
Diamonds	Diamonds	n2	Diamonds	diamond	0
of	of	pp-f	of	of	0
inestimable	inestimable	j	inestimable	inestimable	0
value	value	n1	valve	value	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
great	great	j	great	great	0
store	store	n1	store	store	0
of	of	pp-f	of	of	0
pearle	pearle	n1	pearl	pearl	0
.	.	.	.	.	1
[	[	[	[	[	0
The	The	dt	The	the	0
report	report	vvi	report	report	0
439	439	crd	439	439	0
The	The	dt	The	the	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
French	French	jp	French	french	0
man	man	n1	man	man	0
called	called	vvn	called	call	0
Bountillier	Bountillier	np1	Bountillier	Bountillier	0
of	of	pp-f	of	of	0
Sherbrouke	Sherbrouke	np1	Sherbrouke	Sherbrouke	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
Trinidad	Trinidad	np1	Trinidad	Trinidad	0
and	and	cc	and	and	0
Dorado	Dorado	np1	Dorado	Dorado	0
.	.	.	.	.	1
I591	I591	np1	I591	I591	0
-	-	-	-	-	0
T	T	sy	TO	t	0
TE	TE	fw-la	TE	te	0
saith	saith	vvz	says	say	0
that	that	d	that	that	0
beeing	beeing	vbg	being	be	0
at	at	p-acp	at	at	0
Trinidad	Trinidad	np1	Trinidad	Trinidad	0
in	in	p-acp	in	in	0
1591.	1591.	crd	1591.	1591.	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
.	.	.	.	.	1
L	L	sy	L	l	0
A	A	sy	A	a	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
Indian	Indian	jp	Indian	indian	0
there	there	a-acp	there	there	0
a	a	dt	a	a	0
peece	peece	n1	piece	piece	0
of	of	pp-f	of	of	0
Golde	Golde	n1	Gold	gold	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
quarter	quarter	n1	quarter	quarter	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
pound	pound	n1	pound	pound	0
in	in	p-acp	in	in	0
exchange	exchange	n1	exchange	exchange	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
knife	knife	n1	knife	knife	0
;	;	;	;	;	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
Indian	Indian	np1	Indian	Indian	0
tolde	tolde	vvd	told	tell	0
him	him	pno31	him	he	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
it	it	pn31	it	it	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
head	head	n1	head	head	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
river	river	n1	river	river	0
which	which	r-crq	which	which	0
Paracoa	Paracoa	np1	Paracoa	Paracoa	0
.	.	.	.	.	0
commeth	commeth	vvz	comes	come	0
to	to	p-acp	to	to	0
Paracoa	Paracoa	np1	Paracoa	Paracoa	0
in	in	p-acp	in	in	0
Trinidad	Trinidad	np1	Trinidad	Trinidad	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
River	River	n1	River	river	0
of	of	pp-f	of	of	0
Orenoque	Orenoque	np1	Orenoque	Orenoque	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
abundance	abundance	n1	abundance	abundance	0
.	.	.	.	.	1
Also	Also	av	Also	also	0
in	in	p-acp	in	in	0
1593.	1593.	crd	1593.	1593.	0
beeing	beeing	vbg	being	be	0
taken	taken	vvn	taken	take	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Spanyardes	Spanyardes	np2	Spanyardes	Spaniard	0
,	,	,	,	,	0
and	and	cc	and	and	0
brought	brought	vvd	brought	bring	0
prisoner	prisoner	n1	prisoner	prisoner	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Hand	Hand	n1	Hand	hand	0
of	of	pp-f	of	of	0
Madera	Madera	np1	Madera	Madera	0
(	(	(	(	(	0
the	the	dt	the	the	0
place	place	n1	place	place	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
prison	prison	n1	prison	prison	0
)	)	)	)	)	0
there	there	a-acp	there	there	0
came	came	vvd	came	come	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
meane	meane	j	mean	mean	0
time	time	n1	time	time	0
a	a	dt	a	a	0
Barke	Barke	n1	Bark	bark	0
of	of	pp-f	of	of	0
fortie	fortie	crd	fortie	forty	0
Tunnes	Tunnes	n2	Tons	ton	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
new	new	j	new	new	0
Discovery	Discovery	n1	Discovery	discovery	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
two	two	crd	two	two	0
millions	millions	crd	millions	million	0
of	of	pp-f	of	of	0
Golde	Golde	n1	Gold	gold	0
;	;	;	;	;	0
the	the	dt	the	the	0
company	company	n1	company	company	0
whereof	whereof	c-crq	whereof	whereof	0
reported	reported	vvn	reported	report	0
Golde	Golde	n1	Gold	gold	0
in	in	p-acp	in	in	0
that	that	d	that	that	0
place	place	n1	place	place	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
in	in	p-acp	in	in	0
great	great	j	great	great	0
abundance	abundance	n1	abundance	abundance	0
,	,	,	,	,	0
and	and	cc	and	and	0
called	called	vvd	called	call	0
it	it	pn31	it	it	0
El	El	fw-es	El	el	0
Nuevo	Nuevo	np1	Nuevo	Nuevo	0
Dorado	Dorado	np1	Dorado	Dorado	0
.	.	.	.	.	1
This	This	np1	This	This	0
Frenchman	Frenchman	np1	Frenchman	Frenchman	0
passed	passed	vvd	passed	pass	0
from	from	p-acp	from	from	0
Spaine	Spaine	np1	Spaine	Spain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Barke	Barke	n1	Bark	bark	0
,	,	,	,	,	0
and	and	cc	and	and	0
having	having	vhg	having	have	0
a	a	dt	a	a	0
cabben	cabben	fw-mi	cabben	cabben	0
neere	neere	j	near	near	0
a	a	dt	a	a	0
gentleman	gentleman	n1	gentleman	gentleman	0
,	,	,	,	,	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Discoverers	Discoverers	n2	Discoverers	discoverer	0
that	that	cst	that	that	0
came	came	vvd	came	come	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
place	place	n1	place	place	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
Barke	Barke	n1	Bark	bark	0
,	,	,	,	,	0
had	had	vhd	had	have	0
divers	divers	j	diverse	diverse	0
times	times	n2	times	time	0
conference	conference	n1	conference	conference	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
amongst	amongst	p-acp	among	among	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
abundance	abundance	n1	abundance	abundance	0
of	of	pp-f	of	of	0
Golde	Golde	n1	Gold	gold	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Dorado	Dorado	np1	Dorado	Dorado	0
,	,	,	,	,	0
being	being	vbg	being	be	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
sayd	sayd	vvd	said	say	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Orenoque	Orenoque	np1	Orenoque	Orenoque	0
.	.	.	.	.	1
Reportes	Reportes	np1	Reportes	Reportes	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
Marchants	Marchants	n2	Merchants	merchant	0
of	of	pp-f	of	of	0
Rio	Rio	np1	Rio	Rio	0
de	de	fw-fr	de	de	0
Hacha	Hacha	np1	Hacha	Hacha	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
El	El	fw-es	El	el	0
Nuevo	Nuevo	np1	Nuevo	Nuevo	0
Dorado	Dorado	np1	Dorado	Dorado	0
.	.	.	.	.	1
THey	THey	pns32	THey	they	0
sayd	sayd	vvd	said	say	0
(	(	(	(	(	0
advancing	advancing	vvg	advancing	advance	0
the	the	dt	the	the	0
kings	kings	n2	kings	king	0
