Master	Master	n1	Master	master	0
Horsey	Horsey	np1	Horsey	Horsey	0
having	having	vhg	having	have	0
received	received	vvn	received	receive	0
the	the	dt	the	the	0
letters	letters	n2	letters	letter	0
and	and	cc	and	and	0
requests	requests	n2	requests	request	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
,	,	,	,	,	0
provided	provided	vvn	provided	provide	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
journey	journey	n1	journey	journey	0
over	over	p-acp	over	over	0
land	land	n1	land	land	0
,	,	,	,	,	0
.	.	.	.	.	0
and	and	cc	and	and	0
departed	departed	vvd	departed	depart	0
from	from	p-acp	from	from	0
Mosco	Mosco	np1	Mosco	Moscow	0
the	the	dt	the	the	0
lift	lift	n1	lift	lift	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
September	September	np1	September	September	0
,	,	,	,	,	0
thence	thence	av	thence	thence	0
unto	unto	p-acp	unto	unto	0
Otver	Otver	n1	Otver	otver	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
Torshook	Torshook	vvd	Torshook	torshook	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
great	great	j	great	great	0
Novogrod	Novogrod	np1	Novogrod	Novogrod	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Vobsky	Vobsky	np1	Vobsky	Vobsky	0
,	,	,	,	,	0
and	and	cc	and	and	0
thence	thence	av	thence	thence	0
to	to	p-acp	to	to	0
Nyhouse	Nyhouse	n1	Nyhouse	nyhouse	0
in	in	p-acp	in	in	0
Livonia	Livonia	np1	Livonia	Livonia	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Wenden	Wenden	np1	Wenden	Wenden	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
to	to	p-acp	to	to	0
Riga	Riga	np1	Riga	Riga	0
:	:	:	:	:	0
(	(	(	(	(	0
where	where	c-crq	where	where	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
beset	beset	vvn	beset	beset	0
,	,	,	,	,	0
and	and	cc	and	and	0
brought	brought	vvd	brought	bring	0
foorthwith	foorthwith	av	forthwith	forthwith	0
before	before	p-acp	before	before	0
a	a	dt	a	a	0
Cardinali	Cardinali	np1	Cardinali	Cardinali	0
called	called	vvd	called	call	0
Ragevil	Ragevil	n1	Ragevil	ragevil	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
yet	yet	av	yet	yet	0
suffred	suffred	vvd	suffered	suffer	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
end	end	n1	end	end	0
:	:	:	:	:	0
)	)	)	)	)	0
From	From	p-acp	From	from	0
thence	thence	av	thence	thence	0
to	to	p-acp	to	to	0
Mito	Mito	np1	Mito	Mito	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Golden	Golden	j	Golden	golden	0
,	,	,	,	,	0
and	and	cc	and	and	0
Libou	Libou	np1	Libou	Libou	0
in	in	p-acp	in	in	0
Curland	Curland	np1	Curland	Curland	0
,	,	,	,	,	0
