Certaine	Certaine	j	Certain	certain	0
Spanish	Spanish	jp	Spanish	spanish	0
Letters	Letters	n2	Letters	letter	0
intercepted	intercepted	vvn	intercepted	intercept	0
by	by	p-acp	by	by	0
shippes	shippes	n2	ships	ship	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
worshipfull	worshipfull	j	worshipful	worshipful	0
Master	Master	n1	Master	master	0
John	John	np1	John	John	0
Wattes	Wattes	np1	Wattes	Wattes	0
written	written	vvn	written	write	0
from	from	p-acp	from	from	0
diverse	diverse	j	diverse	diverse	0
places	places	n2	places	place	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
islandes	islandes	n2	islands	island	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
maine	maine	j	main	main	0
land	land	n1	land	land	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
of	of	pp-f	of	of	0
Nueva	Nueva	np1	Nueva	Nueva	0
Espanna	Espanna	np1	Espanna	Espanna	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
Tierra	Tierra	np1	Tierra	Tierra	0
Firma	Firma	np1	Firma	Firma	0
and	and	cc	and	and	0
Peru	Peru	np1	Peru	Peru	0
,	,	,	,	,	0
containing	containing	vvg	containing	contain	0
many	many	d	many	many	0
secrets	secrets	n2-jn	secrets	secret	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
countreys	countreys	ng2	countries'	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
South	South	n1	South	south	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
trade	trade	n1	trade	trade	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Philippinas	Philippinas	npg1	Philippinas	philippinas	0
.	.	.	.	.	1
A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
sent	sent	vvn	sent	send	0
from	from	p-acp	from	from	0
Havana	Havana	np1	Havana	Havana	0
in	in	p-acp	in	in	0
Cuba	Cuba	np1	Cuba	Cuba	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
general	general	n1	general	general	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fleete	fleete	n1	fleet	fleet	0
John	John	np1	John	John	0
de	de	fw-fr	de	de	0
Orimo	Orimo	fw-la	Orimo	orimo	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
the	the	dt	the	the	0
18	18	crd	18	18	0
of	of	pp-f	of	of	0
October	October	np1	October	October	0
1590	1590	crd	1590	1590	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
building	building	n-vvg	building	build	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
excellent	excellent	j	excellent	excellent	0
Frigats	Frigats	n2	Frigates	frigate	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
T	T	sy	TO	t	0
may	may	vmb	may	may	0
please	please	vvi	please	please	0
your	your	po22	your	your	0
majestie	majestie	n1	majesty	majesty	0
that	that	cst	that	that	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
date	date	n1	date	date	0
hereof	hereof	av	hereof	hereof	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Frigates	Frigates	vvz	Frigates	frigate	0
was	was	vbds	was	be	0
lanched	lanched	vvd	launched	launch	0
:	:	:	:	:	0
and	and	cc	and	and	0
three	three	crd	three	three	0
more	more	dc	more	more	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
ready	ready	j	ready	ready	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
fleete	fleete	n1	fleet	fleet	0
depart	depart	vvb	depart	depart	0
from	from	p-acp	from	from	0
hence	hence	av	hence	hence	0
.	.	.	.	.	1
They	They	pns32	They	they	0
are	are	vbr	are	be	0
very	very	av	very	very	0
bigge	bigge	j	big	big	0
and	and	cc	and	and	0
excellent	excellent	j	excellent	excellent	0
of	of	pp-f	of	of	0
sayle	sayle	n1	sail	sail	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
carie	carie	vvi	carry	carry	0
150	150	crd	150	150	0
men	men	n2	men	man	0
a	a	dt	a	a	0
piece	piece	n1	piece	piece	0
with	with	p-acp	with	with	0
souldiers	souldiers	n2	soldiers	soldier	0
and	and	cc	and	and	0
mariners	mariners	n2	mariners	mariner	0
.	.	.	.	.	1
And	And	cc	And	and	0
having	having	vhg	having	have	0
good	good	j	good	good	0
ordinance	ordinance	n1	ordinance	ordinance	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
fewe	fewe	d	few	few	0
or	or	cc	or	or	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
enemies	enemies	n2	enemies	enemy	0
that	that	cst	that	that	0
can	can	vmb	can	can	0
ofiend	ofiend	n1	ofiend	ofiend	0
us	us	pno12	us	we	0
.	.	.	.	.	1
For	For	c-acp	For	for	0
wee	wee	pns12	we	we	0
shall	shall	vmb	shall	shall	0
both	both	av-d	both	both	0
leave	leave	vvi	leave	leave	0
and	and	cc	and	and	0
take	take	vvi	take	take	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
[	[	[	[	[	0
III	III	crd	III	three	0
.	.	.	.	.	1
558.	558.	crd	558.	558.	0
]	]	]	]	]	0
times	times	n2	times	time	0
when	when	c-crq	when	when	0
we	we	pns12	we	we	0
list	list	vvb	list	listen	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
it	it	pn31	it	it	0
behooveth	behooveth	vvz	behooveth	behoove	0
your	your	po22	your	your	0
majestie	majestie	n1	majesty	majesty	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
both	both	d	both	both	0
souldiers	souldiers	n2	soldiers	soldier	0
and	and	cc	and	and	0
