Divers	Divers	j	Diverse	diverse	0
voyages	voyages	n2	voyages	voyage	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
Englishmen	Englishmen	np2	Englishmen	Englishman	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
famous	famous	j	famous	famous	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
Mexico	Mexico	np1	Mexico	Mexico	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
or	or	cc	or	or	0
most	most	ds	most	most	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
principali	principali	fw-la	principali	principali	0
provinces	provinces	n2	provinces	province	0
,	,	,	,	,	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
townes	townes	n2	towns	town	0
and	and	cc	and	and	0
places	places	n2	places	place	0
throughout	throughout	p-acp	throughout	throughout	0
the	the	dt	the	the	0
great	great	j	great	great	0
and	and	cc	and	and	0
large	large	j	large	large	0
kingdom	kingdom	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
New	New	j	New	new	0
Spaine	Spaine	np1	Spaine	Spain	0
,	,	,	,	,	0
even	even	av	even	even	0
as	as	c-acp	as	as	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
Nicaragua	Nicaragua	np1	Nicaragua	Nicaragua	0
and	and	cc	and	and	0
Panama	Panama	np1	Panama	Panama	0
,	,	,	,	,	0
&	&	cc	&	and	0
thence	thence	av	thence	thence	0
to	to	p-acp	to	to	0
Peru	Peru	np1	Peru	Peru	0
:	:	:	:	:	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
description	description	n1	description	description	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Spaniards	Spaniards	np2	Spaniards	Spaniard	0
forme	forme	n1	form	form	0
of	of	pp-f	of	of	0
government	government	n1	government	government	0
there	there	a-acp	there	there	0
:	:	:	:	:	0
and	and	cc	and	and	0
sundry	sundry	j	sundry	sundry	0
pleasant	pleasant	j	pleasant	pleasant	0
relations	relations	n2	relations	relation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
maners	maners	n2	manners	manner	0
and	and	cc	and	and	0
customes	customes	n2	customs	custom	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
natural	natural	j	natural	natural	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
manifold	manifold	j	manifold	manifold	0
rich	rich	j	rich	rich	0
commodities	commodities	n2	commodities	commodity	0
&	&	cc	&	and	0
strange	strange	j	strange	strange	0
rarities	rarities	n2	rarities	rarity	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
partes	partes	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
continent	continent	n1	continent	continent	0
:	:	:	:	:	0
&	&	cc	&	and	0
other	other	j-jn	other	other	0
matters	matters	n2	matters	matter	0
most	most	av-ds	most	most	0
worthy	worthy	j	worthy	worthy	0
the	the	dt	the	the	0
observation	observation	n1	observation	observation	0
.	.	.	.	.	1
The	The	dt	The	the	0
voyage	voyage	n1	voyage	voyage	0
of	of	pp-f	of	of	0
Robert	Robert	np1	Robert	Robert	0
Tomson	Tomson	np1	Tomson	Tomson	0
Marchant	Marchant	n1	Merchant	merchant	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
Nova	Nova	fw-la	Nova	nova	0
Hispania	Hispania	np1	Hispania	Hispania	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1555.	1555.	crd	1555.	1555.	0
with	with	p-acp	with	with	0
divers	divers	j	diverse	diverse	0
observations	observations	n2	observations	observation	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
state	state	n1	state	state	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Countrey	Countrey	n1	Country	country	0
:	:	:	:	:	0
And	And	cc	And	and	0
certaine	certaine	j	certain	certain	0
accidents	accidents	n2	accidents	accident	0
touching	touching	vvg	touching	touch	0
him-selfe	him-selfe	n1	himself	himself	0
.	.	.	.	.	1
Obert	Obert	np1	Obert	Obert	0
Tomson	Tomson	np1	Tomson	Tomson	0
borne	borne	vvn	born	bear	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
of	of	pp-f	of	of	0
Andover	Andover	np1	Andover	Andover	0
in	in	p-acp	in	in	0
Hampshire	Hampshire	np1	Hampshire	Hampshire	0
began	began	vvd	began	begin	0
his	his	po31	his	his	0
travaile	travaile	n1	travail	travail	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
in	in	p-acp	in	in	0
An.	An.	np1	An.	An.	1
1553.	1553.	crd	1553.	1553.	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
:	:	:	:	:	0
who	who	r-crq	who	who	0
departing	departing	vvg	departing	depart	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
Bristoll	Bristoll	np1	Bristoll	Bristol	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
good	good	j	good	good	0
ship	ship	n1	ship	ship	0
called	called	vvd	called	call	0
The	The	dt	The	the	0
barke	barke	n1	bark	bark	0
yong	yong	j	young	young	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
companie	companie	n1	company	company	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
Marchants	Marchants	n2	Merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
citie	citie	n1	city	city	0
,	,	,	,	,	0
within	within	p-acp	within	within	0
8.	8.	crd	8.	8.	0
dayes	dayes	n2	days	day	0
after	after	a-acp	after	after	0
arrived	arrived	vvn	arrived	arrive	0
at	at	p-acp	at	at	0
Lisbone	Lisbone	np1	Lisbone	Lisbon	0
in	in	p-acp	in	in	0
Portugall	Portugall	np1	Portugall	Portugal	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Robert	Robert	np1	Robert	Robert	0
Tomson	Tomson	np1	Tomson	Tomson	0
remained	remained	vvd	remained	remain	0
15.	15.	crd	15.	15.	0
dayes	dayes	n2	days	day	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
shipped	shipped	vvd	shipped	ship	0
himselfe	himselfe	px31	himself	himself	0
for	for	p-acp	for	for	0
Spaine	Spaine	np1	Spaine	Spain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
shippe	shippe	n1	ship	ship	0
,	,	,	,	,	0
and	and	cc	and	and	0
within	within	p-acp	within	within	0
4.	4.	crd	4.	4.	0
dayes	dayes	n2	days	day	0
arrived	arrived	vvn	arrived	arrive	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
bay	bay	n1	bay	bay	0
of	of	pp-f	of	of	0
Cadiz	Cadiz	np1	Cadiz	Cadiz	0
in	in	p-acp	in	in	0
Andalusia	Andalusia	np1	Andalusia	Andalusia	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
kingdom	kingdom	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
,	,	,	,	,	0
&	&	cc	&	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
went	went	vvd	went	go	0
up	up	a-acp	up	up	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
Sivil	Sivil	np1	Sivil	Sivil	0
by	by	p-acp	by	by	0
land	land	n1	land	land	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
20.	20.	crd	20.	20.	0
leagues	leagues	n2	leagues	league	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
hee	hee	pns31	he	he	0
repaired	repaired	vvd	repaired	repair	0
to	to	p-acp	to	to	0
one	one	crd	one	one	0
John	John	np1	John	John	0
Fields	Fields	n2	Fields	field	0
house	house	n1	house	house	0
an	an	dt	and	a	0
English	English	jp	English	english	0
Marchant	Marchant	n1	Merchant	merchant	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
had	had	vhd	had	have	0
dwelt	dwelt	vvn	dwelled	dwell	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
city	city	n1	city	city	0
of	of	pp-f	of	of	0
Sivil	Sivil	np1	Sivil	Sivil	0
18.	18.	crd	18.	18.	0
or	or	cc	or	or	0
20.	20.	crd	20.	20.	0
yeres	yeres	n2	years	year	0
maried	maried	vvn	married	marry	0
with	with	p-acp	with	with	0
wife	wife	n1	wife	wife	0
and	and	cc	and	and	0
338	338	crd	338	338	0
children	children	n2	children	child	0
:	:	:	:	:	0
In	In	p-acp	In	in	0
whose	whose	rg-crq	whose	who	0
house	house	n1	house	house	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Tomson	Tomson	np1	Tomson	Tomson	0
remained	remained	vvd	remained	remain	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
one	one	pi	one	one	0
whole	whole	j-jn	whole	whole	0
yeere	yeere	n1	year	year	0
or	or	cc	or	or	0
thereabout	thereabout	av	thereabouts	thereabouts	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
two	two	crd	two	two	0
causes	causes	n2	causes	cause	0
:	:	:	:	:	0
The	The	dt	The	the	0
one	one	pi	one	one	0
to	to	pc-acp	to	to	0
learne	learne	vvi	learn	learn	0
the	the	dt	the	the	0
Castillian	Castillian	jp	Castillian	castillian	0
tongue	tongue	n1	tongue	tongue	0
,	,	,	,	,	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
orders	orders	n2	order	order	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
customes	customes	n2	customs	custom	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
.	.	.	.	.	1
At	At	p-acp	At	at	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
time	time	n1	time	time	0
having	having	vhg	having	have	0
seene	seene	vvn	seen	see	0
the	the	dt	the	the	0
fleetes	fleetes	n2	fleets	fleet	0
of	of	pp-f	of	of	0
shippes	shippes	n2	ships	ship	0
come	come	vvb	come	come	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Indies	Indies	np2	Indies	Indies	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
citie	citie	n1	city	city	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
great	great	j	great	great	0
quantitie	quantitie	n1	quantity	quantity	0
of	of	pp-f	of	of	0
gold	gold	n1	gold	gold	0
&	&	cc	&	and	0
silver	silver	n1	silver	silver	0
,	,	,	,	,	0
pearles	pearles	n2	pearls	pearl	0
,	,	,	,	,	0
precious	precious	j	precious	precious	0
stones	stones	n2	stones	stone	0
,	,	,	,	,	0
suger	suger	n1	sugar	sugar	0
,	,	,	,	,	0
hides	hides	vvz	hides	hide	0
,	,	,	,	,	0
ginger	ginger	n1	ginger	ginger	0
,	,	,	,	,	0
and	and	cc	and	and	0
divers	divers	j	diverse	diverse	0
other	other	j-jn	other	other	0
rich	rich	j	rich	rich	0
commodities	commodities	n2	commodities	commodity	0
,	,	,	,	,	0
he	he	pns31	he	he	0
did	did	vdd	did	do	0
determine	determine	vvi	determine	determine	0
with	with	p-acp	with	with	0
himselfe	himselfe	px31	himself	himself	0
to	to	pc-acp	to	to	0
seeke	seeke	vvi	seek	seek	0
meanes	meanes	n2	means	mean	0
and	and	cc	and	and	0
opportunitie	opportunitie	n1	opportunity	opportunity	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
over	over	a-acp	over	over	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
that	that	d	that	that	0
rich	rich	j	rich	rich	0
countrey	countrey	n1	country	country	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
such	such	d	such	such	0
great	great	j	great	great	0
quantitie	quantitie	n1	quantity	quantity	0
of	of	pp-f	of	of	0
rich	rich	j	rich	rich	0
commodities	commodities	n2	commodities	commodity	0
came	came	vvd	came	come	0
.	.	.	.	.	1
And	And	cc	And	and	0
it	it	pn31	it	it	0
fell	fell	vvd	fell	fall	0
out	out	av	out	out	0
that	that	cst	that	that	0
within	within	p-acp	within	within	0
short	short	j	short	short	0
time	time	n1	time	time	0
after	after	a-acp	after	after	0
,	,	,	,	,	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
John	John	np1	John	John	0
Field	Field	n1	Field	field	0
(	(	(	(	(	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Tomson	Tomson	np1	Tomson	Tomson	0
was	was	vbds	was	be	0
lodged	lodged	vvn	lodged	lodge	0
)	)	)	)	)	0
did	did	vdd	did	do	0
determine	determine	vvi	determine	determine	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
over	over	a-acp	over	over	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np1	Indies	Indies	0
,	,	,	,	,	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
wife	wife	n1	wife	wife	0
,	,	,	,	,	0
children	children	n2	children	child	0
,	,	,	,	,	0
and	and	cc	and	and	0
familie	familie	n1	family	family	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
request	request	n1	request	request	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
Tomson	Tomson	np1	Tomson	Tomson	0
,	,	,	,	,	0
he	he	pns31	he	he	0
purchased	purchased	vvd	purchased	purchase	0
a	a	dt	a	a	0
licence	licence	n1	licence	licence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
King	King	n1	King	king	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Indies	Indies	np2	Indies	Indies	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
his	his	po31	his	his	0
wife	wife	n1	wife	wife	0
and	and	cc	and	and	0
children	children	n2	children	child	0
,	,	,	,	,	0
and	and	cc	and	and	0
among	among	p-acp	among	among	0
them	them	pno32	them	they	0
also	also	av	also	also	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
Tomson	Tomson	np1	Tomson	Tomson	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
:	:	:	:	:	0
so	so	av	so	so	0
that	that	cst	that	that	0
presently	presently	av-j	presently	present	0
they	they	pns32	they	they	0
made	made	vvd	made	make	0
preparation	preparation	n1	preparation	preparation	0
of	of	pp-f	of	of	0
victuali	victuali	fw-la	victuali	victuali	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
necessarie	necessarie	j	necessary	necessary	0
provision	provision	n1	provision	provision	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
shippes	shippes	n2	ships	ship	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
prepared	prepared	vvn	prepared	prepare	0
to	to	pc-acp	to	to	0
perfourme	perfourme	vvi	perform	perform	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
being	being	vbg	being	be	0
all	all	d	all	all	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
depart	depart	vvi	depart	depart	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
certaine	certaine	j	certain	certain	0
considerations	considerations	n2	considerations	consideration	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
commandement	commandement	n1	commandment	commandment	0
were	were	vbdr	were	be	0
stayed	stayed	vvn	stayed	stay	0
and	and	cc	and	and	0
arrested	arrested	vvn	arrested	arrest	0
till	till	p-acp	till	till	0
further	further	jc	further	further	0
should	should	vmd	should	shall	0
bee	bee	vbi	be	be	0
knowen	knowen	vvn	known	know	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Kings	Kings	ng1	Kings	king	0
pleasure	pleasure	n1	pleasure	pleasure	0
.	.	.	.	.	1
Whereupon	Whereupon	c-crq	Whereupon	whereupon	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
John	John	np1	John	John	0
Field	Field	n1	Field	field	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
Robert	Robert	np1	Robert	Robert	0
Tomson	Tomson	np1	Tomson	Tomson	0
departed	departed	vvd	departed	depart	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
Sivil	Sivil	np1	Sivil	Sivil	0
and	and	cc	and	and	0
came	came	vvd	came	come	0
down	down	a-acp	down	down	0
to	to	p-acp	to	to	0
S.	S.	n1	S.	saint	0
Lucar	Lucar	np1	Lucar	Lucar	0
15.	15.	crd	15.	15.	0
leagues	leagues	n2	leagues	league	0
off	off	a-acp	off	off	0
,	,	,	,	,	0
and	and	cc	and	and	0
[	[	[	[	[	0
III	III	crd	III	three	0
.	.	.	.	.	1
448.	448.	crd	448.	448.	0
]	]	]	]	]	0
seeing	seeing	vvg	seeing	see	0
the	the	dt	the	the	0
stay	stay	n1	stay	stay	0
made	made	vvd	made	make	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
ships	ships	n2	ships	ship	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
fleet	fleet	n1	fleet	fleet	0
,	,	,	,	,	0
&	&	cc	&	and	0
being	being	vbg	being	be	0
not	not	xx	not	not	0
assured	assured	vvn	assured	assure	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
depart	depart	vvi	depart	depart	0
,	,	,	,	,	0
determined	determined	vvd	determined	determine	0
to	to	pc-acp	to	to	0
ship	ship	vvi	ship	ship	0
themselves	themselves	px32	themselves	themselves	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Iles	Iles	n2	Isles	isle	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Canaries	Canaries	n2	Canaries	canary	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
250.	250.	crd	250.	250.	0
leagues	leagues	n2	leagues	league	0
from	from	p-acp	from	from	0
S.	S.	n1	S.	saint	0
Lucar	Lucar	np1	Lucar	Lucar	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
stay	stay	vvi	stay	stay	0
till	till	p-acp	till	till	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
fleet	fleet	n1	fleet	fleet	0
should	should	vmd	should	shall	0
come	come	vvi	come	come	0
thither	thither	av	thither	thither	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
that	that	d	that	that	0
is	is	vbz	is	be	0
continually	continually	av-j	continually	continual	0
their	their	po32	their	their	0
port	port	n1	port	port	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
stay	stay	n1	stay	stay	0
at	at	p-acp	at	at	0
6.	6.	crd	6.	6.	0
or	or	cc	or	or	0
8.	8.	crd	8.	8.	0
daies	daies	n2	days	day	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
in	in	p-acp	in	in	0
fresh	fresh	j	fresh	fresh	0
water	water	n1	water	water	0
,	,	,	,	,	0
bread	bread	n1	bred	bread	0
,	,	,	,	,	0
flesh	flesh	n1	flesh	flesh	0
,	,	,	,	,	0
&	&	cc	&	and	0
other	other	n-jn	other	other	0
necessaries	necessaries	n2-j	necessaries	necessary	0
.	.	.	.	.	1
So	So	av	So	so	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
February	February	np1	February	February	0
in	in	p-acp	in	in	0
An.	An.	np1	An.	An.	0
1555.	1555.	crd	1555.	1555.	0
the	the	av	the	then	0
sayde	sayde	vvd	said	say	0
Robert	Robert	np1	Robert	Robert	0
Tomson	Tomson	np1	Tomson	Tomson	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
John	John	np1	John	John	0
Field	Field	n1	Field	field	0
and	and	cc	and	and	0
his	his	po31	his	his	0
companie	companie	n1	company	company	0
,	,	,	,	,	0
shipped	shipped	vvd	shipped	ship	0
themselves	themselves	px32	themselves	themselves	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Lucar	Lucar	np1	Lucar	Lucar	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
carvel	carvel	n1	carvel	carvel	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ci	ci	fw-fr	ci	ci	0
tie	tie	n1	tie	tie	0
of	of	pp-f	of	of	0
Cadiz	Cadiz	np1	Cadiz	Cadiz	0
,	,	,	,	,	0
and	and	cc	and	and	0
within	within	p-acp	within	within	0
6.	6.	crd	6.	6.	0
339	339	crd	339	339	0
dayes	dayes	n2	days	day	0
they	they	pns32	they	they	0
arrived	arrived	vvd	arrived	arrive	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
port	port	n1	port	port	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Canaria	Canaria	np1	Canaria	Canaria	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
at	at	p-acp	at	at	0
our	our	po12	our	our	0
comming	comming	n-vvg	coming	come	0
the	the	dt	the	the	0
ships	ships	n2	ships	ship	0
that	that	cst	that	that	0
rode	rode	vvd	road	ride	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
port	port	n1	port	port	0
began	began	vvd	began	begin	0
to	to	pc-acp	to	to	0
cry	cry	vvi	cry	cry	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
measure	measure	n1	measure	measure	0
with	with	p-acp	with	with	0
loud	loud	j	loud	loud	0
voyces	voyces	n2	voices	voice	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
much	much	av-d	much	much	0
that	that	cst	that	that	0
the	the	dt	the	the	0
castle	castle	n1	castle	castle	0
which	which	r-crq	which	which	0
stood	stood	vvd	stood	stand	0
fast	fast	av-j	fast	fast	0
by	by	p-acp	by	by	0
began	began	vvd	began	begin	0
to	to	pc-acp	to	to	0
shoot	shoot	vvi	shoot	shoot	0
at	at	p-acp	at	at	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
shot	shot	vvd	shot	shoot	0
6.	6.	crd	6.	6.	0
or	or	cc	or	or	0
7.	7.	crd	7.	7.	0
shot	shot	n1	shot	shot	0
at	at	p-acp	at	at	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
strooke	strooke	vvd	struck	strike	0
downe	downe	a-acp	down	down	0
our	our	po12	our	our	0
maine	maine	j	main	main	0
maste	maste	n1	mast	mast	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
we	we	pns12	we	we	0
