The	The	dt	The	the	0
letters	letters	n2	letters	letter	0
patents	patents	n2	patents	patent	0
,	,	,	,	,	0
or	or	cc	or	or	0
privileges	privileges	n2	privileges	privilege	0
graunted	graunted	vvn	granted	grant	0
by	by	p-acp	by	by	0
her	her	po31	her	her	0
Majestie	Majestie	n1	Majesty	majesty	0
to	to	p-acp	to	to	0
Sir	Sir	n1	Sir	sir	0
Edward	Edward	np1	Edward	Edward	0
Osborne	Osborne	np1	Osborne	Osborne	0
,	,	,	,	,	0
Master	Master	n1	Master	master	0
Richard	Richard	np1	Richard	Richard	0
Staper	Staper	n1	Staper	staper	0
,	,	,	,	,	0
and	and	cc	and	and	0
certaine	certaine	j	certain	certain	0
other	other	j-jn	other	other	0
Marchants	Marchants	n2	Merchants	merchant	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
trade	trade	n1	trade	trade	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
dominions	dominions	n2	dominions	dominion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
Turke	Turke	np1	Turke	Turk	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1581.	1581.	crd	1581.	1581.	1
Lizabeth	Lizabeth	np1	Lizabeth	Lizabeth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
France	France	np1	France	France	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
defender	defender	n1	defender	defender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
To	To	p-acp	To	to	0
all	all	d	all	all	0
our	our	po12	our	our	0
Officers	Officers	n2	Officers	officer	0
,	,	,	,	,	0
ministers	ministers	n2	ministers	minister	0
,	,	,	,	,	0
and	and	cc	and	and	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
people	people	n1	people	people	0
asw	asw	av	asw	asw	0
ell	ell	n1	ell	ell	0
within	within	p-acp	within	within	0
this	this	d	this	this	0
our	our	po12	our	our	0
Realme	Realme	n1	Realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
else	else	av	else	else	0
where	where	c-crq	where	where	0
under	under	p-acp	under	under	0
our	our	po12	our	our	0
obey-sance	obey-sance	j	obeisance	obeisance	0
,	,	,	,	,	0
jurisdiction	jurisdiction	n1	jurisdiction	jurisdiction	0
,	,	,	,	,	0
or	or	cc	or	or	0
otherwise	otherwise	av	otherwise	otherwise	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
whom	whom	ro-crq	whom	who	0
these	these	d	these	these	0
our	our	po12	our	our	0
letters	letters	n2	letters	letter	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
seene	seene	vvn	seen	see	0
,	,	,	,	,	0
shewed	shewed	vvn	showed	show	0
or	or	cc	or	or	0
read	read	vvn	read	read	0
,	,	,	,	,	0
greeting	greeting	n1	greeting	greeting	0
.	.	.	.	.	1
Where	Where	c-crq	Where	where	0
our	our	po12	our	our	0
welbeloved	welbeloved	j	well-beloved	well-beloved	0
Subjects	Subjects	np1	Subjects	Subjects	0
Edward	Edward	np1	Edward	Edward	0
Osborne	Osborne	np1	Osborne	Osborne	0
Aiderman	Aiderman	np1	Aiderman	Aiderman	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Citie	Citie	n1	City	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
and	and	cc	and	and	0
Richard	Richard	np1	Richard	Richard	0
Staper	Staper	n1	Staper	staper	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
sayde	sayde	j-vvn	said	say	0
City	City	n1	City	city	0
Marchant	Marchant	np1	Marchant	Marchant	0
,	,	,	,	,	0
have	have	vhb	have	have	0
by	by	p-acp	by	by	0
great	great	j	great	great	0
adventure	adventure	n1	adventure	adventure	0
and	and	cc	and	and	0
industrie	industrie	n1	industry	industry	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
great	great	j	great	great	0
costes	costes	n2	costs	cost	0
and	and	cc	and	and	0
charges	charges	n2	charges	charge	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
space	space	n1	space	space	0
of	of	pp-f	of	of	0
sundry	sundry	j	sundry	sundry	0
late	late	j	late	late	0
yeeres	yeeres	n2	years	year	0
,	,	,	,	,	0
travailed	travailed	vvn	travailed	travail	0
,	,	,	,	,	0
and	and	cc	and	and	0
caused	caused	vvd	caused	cause	0
travaile	travaile	n1	travail	travail	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
taken	taken	vvn	taken	take	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
by	by	p-acp	by	by	0
secret	secret	j-jn	secret	secret	0
and	and	cc	and	and	0
good	good	j	good	good	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
dangerous	dangerous	j	dangerous	dangerous	0
wayes	wayes	n2	ways	way	0
and	and	cc	and	and	0
passages	passages	n2	passages	passage	0
both	both	av-d	both	both	0
by	by	p-acp	by	by	0
lande	lande	n1	land	land	0
and	and	cc	and	and	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
finde	finde	vvi	find	find	0
out	out	av	out	out	0
and	and	cc	and	and	0
set	set	vvi	set	set	0
open	open	av-j	open	open	0
a	a	dt	a	a	0
trade	trade	n1	trade	trade	0
of	of	pp-f	of	of	0
Marchandize	Marchandize	n1	Merchandise	merchandise	0
and	and	cc	and	and	0
trafique	trafique	vvi	traffic	traffic	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Lands	Lands	n2	Lands	land	0
,	,	,	,	,	0
Islands	Islands	n2	Islands	island	0
,	,	,	,	,	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
and	and	cc	and	and	0
territories	territories	n2	territories	territory	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
Turke	Turke	np1	Turke	Turk	0
,	,	,	,	,	0
commonly	commonly	av-j	commonly	common	0
called	called	vvn	called	call	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Signior	Signior	n1	Signior	signior	0
,	,	,	,	,	0
not	not	xx	not	not	0
heretofore	heretofore	av	heretofore	heretofore	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
memory	memory	n1	memory	memory	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
man	man	n1	man	man	0
nowe	nowe	av	now	now	0
living	living	vvg	living	live	0
knowen	knowen	vvn	known	know	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
commonly	commonly	av-j	commonly	common	0
used	used	vvn	used	use	0
and	and	cc	and	and	0
frequented	frequented	vvn	frequented	frequent	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
of	of	pp-f	of	of	0
marchandise	marchandise	n1	merchandise	merchandise	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
the	the	dt	the	the	0
Marchants	Marchants	n2	Merchants	merchant	0
or	or	cc	or	or	0
any	any	d	any	any	0
Subjects	Subjects	n2-jn	Subject's	subject	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
,	,	,	,	,	0
or	or	cc	or	or	0
our	our	po12	our	our	0
progenitours	progenitours	n2	progenitors	progenitor	0
;	;	;	;	;	0
and	and	cc	and	and	0
also	also	av	also	also	0
have	have	vhb	have	have	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
like	like	j	like	like	0
good	good	j	good	good	0
meanes	meanes	n2	means	mean	0
and	and	cc	and	and	0
industrie	industrie	n1	industry	industry	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
charges	charges	n2	charges	charge	0
procured	procured	vvn	procured	procure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
Grand	Grand	j	Grand	grand	0
Signior	Signior	n1	Signior	signior	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
name	name	n1	name	name	0
,	,	,	,	,	0
)	)	)	)	)	0
amitie	amitie	n1	amity	amity	0
,	,	,	,	,	0
safetie	safetie	n1	safety	safety	0
,	,	,	,	,	0
and	and	cc	and	and	0
freedome	freedome	n1	freedom	freedom	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
trade	trade	n1	trade	trade	0
and	and	cc	and	and	0
trafique	trafique	vvi	traffic	traffic	0
of	of	pp-f	of	of	0
Marchandise	Marchandise	n1	Merchandise	merchandise	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
used	used	vvn	used	use	0
,	,	,	,	,	0
and	and	cc	and	and	0
continued	continued	vvd	continued	continue	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
Subjects	Subjects	n2-jn	Subject's	subject	0
within	within	p-acp	within	within	0
his	his	po31	his	his	0
sayde	sayde	j-vvn	said	say	0
Dominions	Dominions	n2	Dominions	dominion	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
good	good	j	good	good	0
and	and	cc	and	and	0
apparant	apparant	j	apparent	apparent	0
hope	hope	n1	hope	hope	0
and	and	cc	and	and	0
likelyhoode	likelyhoode	n1	likelihood	likelihood	0
both	both	av-d	both	both	0
that	that	cst	that	that	0
many	many	d	many	many	0
good	good	j	good	good	0
offices	offices	n2	offices	office	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
done	done	vdn	done	do	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
peace	peace	n1	peace	peace	0
of	of	pp-f	of	of	0
Christendome	Christendome	np1	Christendome	Christendom	0
,	,	,	,	,	0
and	and	cc	and	and	0
reliefe	reliefe	n1	relief	relief	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
Christians	Christians	np1	Christians	Christians	0
that	that	cst	that	that	0
bee	bee	n1	bee	bee	0
or	or	cc	or	or	0
may	may	vmb	may	may	0
happen	happen	vvi	happen	happen	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
in	in	p-acp	in	in	0
thraldome	thraldome	n1	thraldom	thraldom	0
or	or	cc	or	or	0
necessitie	necessitie	n1	necessity	necessity	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
Grand	Grand	j	Grand	grand	0
Signior	Signior	n1	Signior	signior	0
,	,	,	,	,	0
his	his	po31	his	his	0
vassals	vassals	n2	vassals	vassal	0
or	or	cc	or	or	0
192	192	crd	192	192	0
Subjects	Subjects	n2-jn	Subject's	subject	0
,	,	,	,	,	0
and	and	cc	and	and	0
also	also	av	also	also	0
good	good	j	good	good	0
and	and	cc	and	and	0
profitable	profitable	j	profitable	profitable	0
vent	vent	n1	vent	vent	0
and	and	cc	and	and	0
utterance	utterance	n1	utterance	utterance	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
had	had	vhn	had	have	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
commodities	commodities	n2	commodities	commodity	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
and	and	cc	and	and	0
sundry	sundry	j	sundry	sundry	0
other	other	j-jn	other	other	0
great	great	j	great	great	0
benefites	benefites	n2	benefits	benefit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
advancement	advancement	n1	advancement	advancement	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
honour	honour	n1	honour	honour	0
,	,	,	,	,	0
and	and	cc	and	and	0
dignitie	dignitie	n1	dignity	dignity	0
Royall	Royall	j	Royal	royal	0
,	,	,	,	,	0
the	the	dt	the	the	0
increase	increase	n1	increase	increase	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
revenues	revenues	n2	revenues	revenue	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Crowne	Crowne	n1	Crown	crown	0
,	,	,	,	,	0
and	and	cc	and	and	0
generali	generali	fw-la	generali	generali	0
wealth	wealth	n1	wealth	wealth	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Realme	Realme	n1	Realm	realm	0
:	:	:	:	:	0
Knowe	Knowe	vvb	Know	know	0
ye	ye	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
hereupon	hereupon	av	hereupon	hereupon	0
wee	wee	pns12	we	we	0
greatly	greatly	av-j	greatly	great	0
tendering	tendering	vvg	tendering	tender	0
the	the	dt	the	the	0
wealth	wealth	n1	wealth	wealth	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
people	people	n1	people	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
incouragement	incouragement	n1	encouragement	encouragement	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Subjects	Subjects	n2-jn	Subject's	subject	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
good	good	j	good	good	0
enterprises	enterprises	n2	enterprises	enterprise	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
advancement	advancement	n1	advancement	advancement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Common	Common	j	Common	common	0
weale	weale	n1	weal	weal	0
,	,	,	,	,	0
have	have	vhb	have	have	0
of	of	a-acp	of	off	0
our	our	po12	our	our	0
speciali	speciali	fw-la	speciali	speciali	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
certaine	certaine	j	certain	certain	0
knowledge	knowledge	n1	knowledge	knowledge	0
and	and	cc	and	and	0
meere	meere	j	mere	mere	0
motion	motion	n1	motion	motion	0
,	,	,	,	,	0
given	given	vvn	given	give	0
and	and	cc	and	and	0
graunted	graunted	vvn	granted	grant	0
