A	A	dt	A	a	0
description	description	n1	description	description	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
Voiage	Voiage	n1	Voyage	voyage	0
to	to	p-acp	to	to	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
and	and	cc	and	and	0
Syria	Syria	np1	Syria	Syria	0
,	,	,	,	,	0
begun	begun	vvn	begun	begin	0
the	the	dt	the	the	0
21.	21.	crd	21.	21.	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
1593.	1593.	crd	1593.	1593.	0
and	and	cc	and	and	0
ended	ended	vvn	ended	end	0
the	the	dt	the	the	0
9.	9.	crd	9.	9	0
of	of	pp-f	of	of	0
August	August	np1	August	August	0
,	,	,	,	,	0
1595.	1595.	crd	1595.	1595.	0
wherein	wherein	c-crq	wherein	wherein	0
is	is	vbz	is	be	0
shewed	shewed	vvn	showed	show	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
delivering	delivering	vvg	delivering	deliver	0
the	the	dt	the	the	0
second	second	ord	second	second	0
Present	Present	n1	Present	present	0
by	by	p-acp	by	by	0
Master	Master	n1	Master	master	0
Edward	Edward	np1	Edward	Edward	0
Barton	Barton	np1	Barton	Barton	0
her	her	po31	her	her	0
majesties	majesties	n2	majesties	majesty	0
Ambassador	Ambassador	n1	Ambassador	ambassador	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
sent	sent	vvn	sent	send	0
from	from	p-acp	from	from	0
her	her	po31	her	her	0
Majestie	Majestie	n1	Majesty	majesty	0
to	to	p-acp	to	to	0
Sultan	Sultan	n1	Sultan	sultan	0
Murad	Murad	np1	Murad	Murad	0
Can	Can	vmb	Can	can	0
,	,	,	,	,	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Turkie	Turkie	n1	Turkey	turquoise	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
[	[	[	[	[	0
ii	ii	crd	ii	two	0
.	.	.	.	.	1
i	i	sy	i	i	0
.	.	.	.	.	1
304.	304.	crd	304.	304.	0
]	]	]	]	]	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
E	E	sy	E	e	0
set	set	vvb	set	set	0
saile	saile	n1	sail	sail	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Ascension	Ascension	n1	Ascension	ascension	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
a	a	dt	a	a	0
new	new	j	new	new	0
shippe	shippe	n1	ship	ship	0
very	very	av	very	very	0
well	well	av	well	well	0
appointed	appointed	vvn	appointed	appoint	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
two	two	crd	two	two	0
hundred	hundred	crd	hundred	hundred	0
and	and	cc	and	and	0
three	three	crd	three	three	0
score	score	n1	score	score	0
tunnes	tunnes	n2	tons	ton	0
(	(	(	(	(	0
whereof	whereof	c-crq	whereof	whereof	0
was	was	vbds	was	be	0
master	master	n1	master	master	0
one	one	crd	one	one	0
William	William	np1	William	William	0
Broadbanke	Broadbanke	np1	Broadbanke	Broadbanke	0
,	,	,	,	,	0
a	a	dt	a	a	0
provident	provident	j	provident	provident	0
and	and	cc	and	and	0
skilfull	skilfull	j	skilful	skilful	0
man	man	n1	man	man	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
facultie	facultie	n1	faculty	faculty	0
)	)	)	)	)	0
from	from	p-acp	from	from	0
Gravesend	Gravesend	np1	Gravesend	Gravesend	0
the	the	dt	the	the	0
one	one	crd	one	one	0
and	and	cc	and	and	0
twentie	twentie	crd	twentie	twenty	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
1593.	1593.	crd	1593.	1593.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
eight	eight	crd	eight	eight	0
of	of	pp-f	of	of	0
Aprill	Aprill	np1	Aprill	April	0
folowing	folowing	vvg	following	follow	0
wee	wee	pns12	we	we	0
passed	passed	vvd	passed	pass	0
the	the	dt	the	the	0
streights	streights	n2	straights	strait	0
of	of	pp-f	of	of	0
Gibraltar	Gibraltar	np1	Gibraltar	Gibraltar	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
small	small	j	small	small	0
Westerne	Westerne	j	Western	western	0
gale	gale	n1	gale	gale	0
,	,	,	,	,	0
the	the	dt	the	the	0
24.	24.	crd	24.	24.	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
we	we	pns12	we	we	0
arrived	arrived	vvd	arrived	arrive	0
at	at	p-acp	at	at	0
Zante	Zante	np1	Zante	Zante	0
an	an	dt	and	a	0
Hand	Hand	n1	Hand	hand	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
Venetians	Venetians	njp2	Venetians	venetian	0
.	.	.	.	.	1
The	The	dt	The	the	0
fourth	fourth	ord	fourth	four	0
of	of	pp-f	of	of	0
May	May	np1	May	May	0
wee	wee	pns12	we	we	0
departed	departed	vvd	departed	depart	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
one	one	crd	one	one	0
and	and	cc	and	and	0
twentie	twentie	crd	twentie	twenty	0
wee	wee	pns12	we	we	0
arrived	arrived	vvd	arrived	arrive	0
at	at	p-acp	at	at	0
Alexandretta	Alexandretta	np1	Alexandretta	Alexandretta	0
in	in	p-acp	in	in	0
Cilicia	Cilicia	np1	Cilicia	Cilicia	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
very	very	j	very	very	0
bottome	bottome	n1	bottom	bottom	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Mediterrane	Mediterrane	np1	Mediterrane	Mediterrane	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
a	a	dt	a	a	0
roade	roade	n1	road	road	0
some	some	d	some	some	0
25.	25.	crd	25.	25.	0
miles	miles	n2	miles	mile	0
distant	distant	j	distant	distant	0
from	from	p-acp	from	from	0
Antioch	Antioch	np1	Antioch	Antioch	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
our	our	po12	our	our	0
marchants	marchants	ng1	merchants	merchant	0
land	land	n1	land	land	0
their	their	po32	their	their	0
goods	goods	n2-j	goods	good	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
sent	sent	vvn	sent	send	0
for	for	p-acp	for	for	0
Aleppo	Aleppo	np1	Aleppo	Aleppo	0
