Certaine	Certaine	j	Certain	certain	0
instructions	instructions	n2	instructions	instruction	0
delivered	delivered	vvn	delivered	deliver	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
third	third	ord	third	three	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
Anno	Anno	fw-la	Anno	anno	0
1556.	1556.	crd	1556.	1556.	0
for	for	p-acp	for	for	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
every	every	d	every	every	0
Purser	Purser	n1	Purser	purser	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
servants	servants	n2	servants	servant	0
,	,	,	,	,	0
taken	taken	vvn	taken	take	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
may	may	vmb	may	may	0
serve	serve	vvi	serve	serve	0
as	as	p-acp	as	as	0
good	good	j	good	good	0
and	and	cc	and	and	0
necessary	necessary	j	necessary	necessary	0
directions	directions	n2	directions	direction	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
like	like	j	like	like	0
adventurers	adventurers	n2	adventurers	adventurer	0
.	.	.	.	.	1
i	i	sy	i	i	0
Ir^^^^^^^^llrst	Ir^^^^^^^^llrst	vvd	Ir^^^^^^^^llrst	ir^^^^^^^^llrst	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
doth	doth	vdz	does	do	0
0	0	crd	0	0	0
mSNPw	mSNPw	av	mSNPw	msnpw	0
begin	begin	vvb	begin	begin	0
to	to	pc-acp	to	to	0
lade	lade	vvi	lade	lade	0
,	,	,	,	,	0
goe	goe	vvb	go	go	0
aboord	aboord	a-acp	aboard	aboard	0
,	,	,	,	,	0
and	and	cc	and	and	0
shall	shall	vmb	shall	shall	0
®	®	sy	®	®	0
there	there	pc-acp	there	there	0
take	take	vvi	take	take	0
,	,	,	,	,	0
and	and	cc	and	and	0
write	write	vvi	write	write	0
one	one	crd	one	one	0
inventorie	inventorie	n1	inventory	inventory	0
,	,	,	,	,	0
2	2	crd	2	2	0
IRSvWH®	IRSvWH®	np1	IRSvWH®	IRSvWH®	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
advise	advise	n1	advice	advice	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
»	»	»	»	»	0
some	some	d	some	some	0
other	other	j-jn	other	other	0
principali	principali	fw-la	principali	principali	0
officer	officer	n1	officer	officer	0
there	there	zz	there	there	0
aboord	aboord	a-acp	aboard	aboard	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
tackle	tackle	n1	tackle	tackle	0
,	,	,	,	,	0
apparell	apparell	n1	apparel	apparel	0
,	,	,	,	,	0
-------	-------	-------	-------	-------	0
:	:	:	:	:	0
----------	----------	----------	----------	----------	0
cables	cables	n2	cables	cable	0
,	,	,	,	,	0
