Of	Of	pp-f	Of	of	0
the	the	dt	the	the	0
Hand	Hand	n1	Hand	hand	0
Japan	Japan	np1	Japan	Japan	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
litle	litle	j	little	little	0
Iles	Iles	n2	Isles	isle	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
East	East	n1	East	east	0
Ocean	Ocean	n1	Ocean	ocean	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
R.	R.	np1	R.	R.	0
Willes	Willes	n2	Wills	will	0
.	.	.	.	.	1
He	He	pns31	He	he	0
extreame	extreame	av-jn	extreme	extreme	0
part	part	vvi	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
knowen	knowen	j-vvn	known	know	0
world	world	n1	world	world	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
noble	noble	j	noble	noble	0
Hand	Hand	n1	Hand	hand	0
Giapan	Giapan	np1	Giapan	Giapan	0
,	,	,	,	,	0
written	written	vvn	written	write	0
otherwise	otherwise	av	otherwise	otherwise	0
Japon	Japon	n1	Japon	japon	0
and	and	cc	and	and	0
Japan	Japan	np1	Japan	Japan	0
.	.	.	.	.	1
This	This	d	This	this	0
Island	Island	n1	Island	island	0
standeth	standeth	vvz	stands	stand	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
East	East	n1	East	east	0
Ocean	Ocean	n1	Ocean	ocean	0
,	,	,	,	,	0
beyond	beyond	p-acp	beyond	beyond	0
all	all	d	all	all	0
Asia	Asia	np1	Asia	Asia	0
,	,	,	,	,	0
betwixt	betwixt	p-acp	betwixt	betwixt	0
Cathayo	Cathayo	np1	Cathayo	Cathayo	0
and	and	cc	and	and	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np1	Indies	Indies	0
sixe	sixe	crd	sixe	six	0
and	and	cc	and	and	0
thirtie	thirtie	crd	thirtie	thirty	0
degrees	degrees	n2	degrees	degree	0
Northward	Northward	av-j	Northward	northward	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Equinoctial	Equinoctial	j-jn	Equinoctial	equinoctial	0
line	line	n1	line	line	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
clime	clime	n1	climb	clime	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
South	South	n1	South	south	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
and	and	cc	and	and	0
Portu-gall	Portu-gall	n1	Portugal	portugal	0
,	,	,	,	,	0
distant	distant	j	distant	distant	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
by	by	p-acp	by	by	0
sea	sea	n1	sea	sea	0
sixe	sixe	crd	sixe	six	0
thousand	thousand	crd	thousand	thousand	0
leagues	leagues	n2	leagues	league	0
:	:	:	:	:	0
the	the	dt	the	the	0
travaile	travaile	n1	travail	travail	0
thither	thither	av	thither	thither	0
,	,	,	,	,	0
both	both	av-d	both	both	0
for	for	p-acp	for	for	0
civill	civill	j	civil	civil	0
