A	A	dt	A	a	0
principal	principal	j-jn	principal	principal	0
ruttier	ruttier	n1	ruttier	ruttier	0
containing	containing	vvg	containing	contain	0
most	most	av-ds	most	most	0
particular	particular	j	particular	particular	0
directions	directions	n2	directions	direction	0
to	to	pc-acp	to	to	0
saile	saile	vvi	sail	sail	0
from	from	p-acp	from	from	0
S.	S.	n1	S.	saint	0
Lucar	Lucar	np1	Lucar	Lucar	0
in	in	p-acp	in	in	0
Anda-luzia	Anda-luzia	j	Andalusia	andalusia	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Isles	Isles	n2	Isles	isle	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Canaries	Canaries	n2	Canaries	canary	0
,	,	,	,	,	0
the	the	dt	the	the	0
small	small	j	small	small	0
Isles	Isles	n2	Isles	isle	0
called	called	vvn	called	call	0
Las	Las	fw-la	Las	las	0
Antillas	Antillas	np1	Antillas	Antillas	0
,	,	,	,	,	0
along	along	p-acp	along	along	0
the	the	dt	the	the	0
South	South	n1	South	south	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Isles	Isles	n2	Isles	isle	0
of	of	pp-f	of	of	0
S.	S.	np1	S.	S.	0
Juan	Juan	np1	Juan	Juan	0
de	de	fw-fr	de	de	0
Puerto	Puerto	np1	Puerto	Puerto	0
rico	rico	fw-la	rico	rico	0
,	,	,	,	,	0
Hispaniola	Hispaniola	np1	Hispaniola	Hispaniola	0
and	and	cc	and	and	0
Cuba	Cuba	np1	Cuba	Cuba	0
:	:	:	:	:	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
Cabo	Cabo	np1	Cabo	Cabo	0
de	de	fw-fr	de	de	0
Corrientes	Corrientes	np1	Corrientes	Corrientes	0
,	,	,	,	,	0
or	or	cc	or	or	0
Cabo	Cabo	np1	Cabo	Cabo	0
de	de	fw-fr	de	de	0
S.	S.	np1	S.	S.	0
Anton	Anton	np1	Anton	Anton	0
without	without	p-acp	without	without	0
and	and	cc	and	and	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
litle	litle	j	little	little	0
Isles	Isles	n2	Isles	isle	0
called	called	vvn	called	call	0
Los	Los	fw-la	Los	los	0
Alacranes	Alacranes	np1	Alacranes	Alacranes	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
port	port	n1	port	port	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Juan	Juan	np1	Juan	Juan	0
de	de	fw-fr	de	de	0
Ullua	Ullua	fw-la	Ullua	ullua	0
in	in	p-acp	in	in	0
Nueva	Nueva	fw-la	Nueva	nueva	0
Espanna	Espanna	fw-la	Espanna	espanna	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
course	course	n1	course	course	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
backe	backe	av	back	back	0
againe	againe	av	again	again	0
by	by	p-acp	by	by	0
Havana	Havana	np1	Havana	Havana	0
,	,	,	,	,	0
and	and	cc	and	and	0
through	through	p-acp	through	through	0
the	the	dt	the	the	0
Chanell	Chanell	n1	Channel	channel	0
of	of	pp-f	of	of	0
Bahama	Bahama	np1	Bahama	Bahama	0
to	to	p-acp	to	to	0
Spaine	Spaine	np1	Spaine	Spain	0
:	:	:	:	:	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
speciali	speciali	fw-la	speciali	speciali	0
markes	markes	n2	marks	mark	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
Capes	Capes	n2	Capes	cape	0
,	,	,	,	,	0
Islands	Islands	n2	Islands	island	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
way	way	n1	way	way	0
;	;	;	;	;	0
and	and	cc	and	and	0
a	a	dt	a	a	0
briefe	briefe	j	brief	brief	0
declaration	declaration	n1	declaration	declaration	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
latitudes	latitudes	n2	latitudes	latitude	0
and	and	cc	and	and	0
longitudes	longitudes	n2	longitudes	longitude	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Punta	Punta	np1	Punta	Punta	0
de	de	fw-fr	de	de	0
Naga	Naga	np1	Naga	Naga	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
F	F	sy	F	f	0
you	you	pn22	you	you	0
depart	depart	vvb	depart	depart	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
barre	barre	n1	bar	bar	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Lucar	Lucar	np1	Lucar	Lucar	0
de	de	fw-fr	de	de	0
Barameda	Barameda	np1	Barameda	Barameda	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indias	Indias	npg1	Indias	India	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Summer	Summer	n1	Summer	summer	0
time	time	n1	time	time	0
,	,	,	,	,	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
stirre	stirre	vvi	stir	stir	0
away	away	av	away	away	0
Southwest	Southwest	n1	Southwest	southwest	0
untill	untill	c-acp	until	until	0
you	you	pn22	you	you	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
head-land	head-land	n1	headland	headland	0
called	called	vvn	called	call	0
Punta	Punta	np1	Punta	Punta	0
de	de	fw-fr	de	de	0
Naga	Naga	np1	Naga	Naga	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
of	of	pp-f	of	of	0
Tenerif	Tenerif	n1	Tenerif	tenerif	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
your	your	po22	your	your	0
departure	departure	n1	departure	departure	0
be	be	vbb	be	be	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
barre	barre	n1	bar	bar	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Winter	Winter	n1	Winter	winter	0
,	,	,	,	,	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
stirre	stirre	vvi	stir	stir	0
away	away	av	away	away	0
Southwest	Southwest	np1	Southwest	Southwest	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
South	South	n1	South	south	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
you	you	pn22	you	you	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
height	height	n1	height	height	0
of	of	pp-f	of	of	0
Cape	Cape	n1	Cape	cape	0
Cantin	Cantin	np1	Cantin	Cantin	0
on	on	p-acp	on	on	0
