A	A	dt	A	a	0
ruttier	ruttier	jc	ruttier	rutty	0
which	which	r-crq	which	which	0
declareth	declareth	vvz	declareth	declare	0
the	the	dt	the	the	0
situation	situation	n1	situation	situation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Brasil	Brasil	np1	Brasil	Brasil	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
of	of	pp-f	of	of	0
Santa	Santa	np1	Santa	Santa	0
Catelina	Catelina	np1	Catelina	Catelina	0
unto	unto	p-acp	unto	unto	0
The	The	dt	The	the	0
Isle	Isle	n1	Isle	isle	0
of	of	pp-f	of	of	0
Santa	Santa	np1	Santa	Santa	0
Catelina	Catelina	np1	Catelina	Catelina	0
.	.	.	.	.	1
Rio	Rio	np1	Rio	Rio	0
Grande	Grande	np1	Grande	Grande	0
.	.	.	.	.	1
Puerto	Puerto	np1	Puerto	Puerto	0
de	de	fw-fr	de	de	0
Biaza	Biaza	np1	Biaza	Biaza	0
,	,	,	,	,	0
or	or	cc	or	or	0
Laguna	Laguna	np1	Laguna	Laguna	0
.	.	.	.	.	1
Isla	Isla	np1	Isla	Isla	0
de	de	fw-fr	de	de	0
raparo	raparo	fw-la	raparo	raparo	0
.	.	.	.	.	0
the	the	dt	the	the	0
mouth	mouth	n1	mouth	mouth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Plata	Plata	fw-la	Plata	plata	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
along	along	p-acp	along	along	0
up	up	a-acp	up	up	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
river	river	n1	river	river	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
armes	armes	n2	arms	arm	0
and	and	cc	and	and	0
mouthes	mouthes	n2	mouths	mouth	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
to	to	pc-acp	to	to	0
enter	enter	vvi	enter	enter	0
into	into	p-acp	into	into	0
it	it	pn31	it	it	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
farre	farre	av-j	far	far	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
navigable	navigable	j	navigable	navigable	0
with	with	p-acp	with	with	0
small	small	j	small	small	0
barks	barks	n2	barks	bark	0
.	.	.	.	.	1
Rom	Rom	np1	Rom	Rome	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
of	of	pp-f	of	of	0
Santa	Santa	np1	Santa	Santa	0
Catelina	Catelina	np1	Catelina	Catelina	0
,	,	,	,	,	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
28	28	crd	28	28	0
degrees	degrees	n2	degrees	degree	0
of	of	pp-f	of	of	0
Southerly	Southerly	j	Southerly	southerly	0
latitude	latitude	n1	latitude	latitude	0
)	)	)	)	)	0
unto	unto	p-acp	unto	unto	0
Rio	Rio	np1	Rio	Rio	0
Grande	Grande	np1	Grande	Grande	0
is	is	vbz	is	be	0
fortie	fortie	crd	fortie	forty	0
leagues	leagues	n2	leagues	league	0
.	.	.	.	.	1
This	This	d	This	this	0
river	river	n1	river	river	0
by	by	p-acp	by	by	0
another	another	j-jn	another	another	0
name	name	n1	name	name	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
Ygai	Ygai	np1	Ygai	Ygai	0
.	.	.	.	.	1
The	The	dt	The	the	0
Island	Island	n1	Island	island	0
of	of	pp-f	of	of	0
Santa	Santa	np1	Santa	Santa	0
Catelina	Catelina	np1	Catelina	Catelina	0
is	is	vbz	is	be	0
sixe	sixe	crd	sixe	six	0
leagues	leagues	n2	leagues	league	0
in	in	p-acp	in	in	0
length	length	n1	length	length	0
:	:	:	:	:	0
It	It	pn31	It	it	0
hath	hath	vhz	hath	have	0
two	two	crd	two	two	0
small	small	j	small	small	0
Hands	Hands	n2	Hands	hand	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
North	North	n1	North	north	0
side	side	n1	side	side	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
maine	maine	j	main	main	0
land	land	n1	land	land	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
:	:	:	:	:	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
South	South	n1	South	south	0
side	side	n1	side	side	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
shoald	shoald	vmd	shoaled	shall	0
of	of	pp-f	of	of	0
rockes	rockes	n2	rocks	rock	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
lyeth	lyeth	vvz	lies	lie	0
hidden	hidden	j-vvn	hidden	hide	0
very	very	av	very	very	0
neere	neere	av-j	near	near	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
poynt	poynt	n1	point	point	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
.	.	.	.	.	1
You	You	pn22	You	you	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
firme	firme	j	firm	firm	0
land	land	n1	land	land	0
and	and	cc	and	and	0
the	the	dt	the	the	0
poynt	poynt	n1	point	point	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
Santa	Santa	np1	Santa	Santa	0
Catelina	Catelina	np1	Catelina	Catelina	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
haven	haven	n1	haven	haven	0
of	of	pp-f	of	of	0
Biaza	Biaza	np1	Biaza	Biaza	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
by	by	p-acp	by	by	0
another	another	j-jn	another	another	0
name	name	n1	name	name	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
la	la	uh	la	la	0
Laguna	Laguna	np1	Laguna	Laguna	0
,	,	,	,	,	0
are	are	vbr	are	be	0
twelve	twelve	crd	twelve	twelve	0
leagues	leagues	n2	leagues	league	0
:	:	:	:	:	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
good	good	j	good	good	0
haven	haven	n1	haven	haven	0
within	within	a-acp	within	within	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
stay	stay	vvi	stay	stay	0
the	the	dt	the	the	0
full	full	j	full	full	0
sea	sea	n1	sea	sea	0
to	to	pc-acp	to	to	0
enter	enter	vvi	enter	enter	0
into	into	p-acp	into	into	0
it	it	pn31	it	it	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
shoaldes	shoaldes	n2	shoaldes	shoalde	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
knowen	knowen	vvn	known	know	0
by	by	p-acp	by	by	0
a	a	dt	a	a	0
small	small	j	small	small	0
Island	Island	n1	Island	island	0
which	which	r-crq	which	which	0
lyeth	lyeth	vvz	lies	lie	0
a	a	dt	a	a	0
league	league	n1	league	league	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
La	La	uh	La	la	0
Isla	Isla	np1	Isla	Isla	0
de	de	fw-fr	de	de	0
Raparo	Raparo	fw-la	Raparo	raparo	0
,	,	,	,	,	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
The	The	dt	The	the	0
Island	Island	n1	Island	island	0
