The	The	dt	The	the	0
first	first	ord	first	first	0
voyage	voyage	n1	voyage	voyage	0
attempted	attempted	vvn	attempted	attempt	0
and	and	cc	and	and	0
set	set	vvn	set	set	0
foorth	foorth	av	forth	forth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
expert	expert	j	expert	expert	0
and	and	cc	and	and	0
valiant	valiant	j	valiant	valiant	0
captaine	captaine	n1	captain	captain	0
M.	M.	n1	M.	m.	0
Francis	Francis	np1	Francis	Francis	0
Drake	Drake	np1	Drake	Drake	0
himselfe	himselfe	px31	himself	himself	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
ship	ship	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Dragon	Dragon	n1	Dragon	dragon	0
,	,	,	,	,	0
and	and	cc	and	and	0
another	another	j-jn	another	another	0
ship	ship	n1	ship	ship	0
and	and	cc	and	and	0
a	a	dt	a	a	0
Pinnesse	Pinnesse	n1	Pinnace	pinnace	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
Nombre	Nombre	vvi	Number	number	0
de	de	fw-mi	de	de	0
Dios	Dios	fw-mi	Dios	dios	0
,	,	,	,	,	0
and	and	cc	and	and	0
Dariene	Dariene	np1	Dariene	Dariene	0
,	,	,	,	,	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1572	1572	crd	1572	1572	0
,	,	,	,	,	0
Written	Written	vvn	Written	write	0
and	and	cc	and	and	0
recorded	recorded	vvn	recorded	record	0
by	by	p-acp	by	by	0
one	one	crd	one	one	0
Lopez	Lopez	np1	Lopez	Lopez	0
Vaz	Vaz	np1	Vaz	Vaz	0
a	a	dt	a	a	0
Portugall	Portugall	np1	Portugall	Portugal	0
borne	borne	vvn	born	bear	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
Elvas	Elvas	np1	Elvas	Elvas	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
maner	maner	n1	manner	manner	0
follow	follow	vvi	follow	follow	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
Portugale	Portugale	np1	Portugale	Portugal	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
discourse	discourse	n1	discourse	discourse	0
about	about	p-acp	about	about	0
him	him	pno31	him	he	0
,	,	,	,	,	0
was	was	vbds	was	be	0
taken	taken	vvn	taken	take	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Plate	Plate	n1	Plate	plate	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
ships	ships	n2	ships	ship	0
set	set	vvd	set	set	0
foorth	foorth	av	forth	forth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Right	Right	n-jn	Right	right	0
Honourable	Honourable	j	Honourable	honourable	0
the	the	dt	the	the	0
Earle	Earle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Cumberland	Cumberland	np1	Cumberland	Cumberland	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1586.	1586.	crd	1586.	1586.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Here	Here	av	Here	here	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
English	English	jp	English	english	0
man	man	n1	man	man	0
named	named	vvn	nam	name	0
Francis	Francis	np1	Francis	Francis	0
Drake	Drake	np1	Drake	Drake	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
having	having	vhg	having	have	0
