The	The	dt	The	the	0
third	third	ord	third	three	0
voyage	voyage	n1	voyage	voyage	0
of	of	pp-f	of	of	0
discovery	discovery	n1	discovery	discovery	0
made	made	vvn	made	make	0
by	by	p-acp	by	by	0
Captaine	Captaine	n1	Captain	captain	0
Jaques	Jaques	np1	Jaques	Jaques	0
Cartier	Cartier	np1	Cartier	Cartier	0
,	,	,	,	,	0
1540.	1540.	crd	1540.	1540	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Countreys	Countreys	ng2	Countries'	country	0
of	of	pp-f	of	of	0
Canada	Canada	np1	Canada	Canada	0
,	,	,	,	,	0
Hochelaga	Hochelaga	np1	Hochelaga	Hochelaga	0
,	,	,	,	,	0
and	and	cc	and	and	0
Saguenay	Saguenay	np1	Saguenay	Saguenay	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Ing	Ing	n1	King	king	0
Francis	Francis	np1	Francis	Francis	0
the	the	dt	the	the	0
first	first	ord	first	first	0
having	having	vhg	having	have	0
heard	heard	vvn	herd	hear	0
the	the	dt	the	the	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
Captaine	Captaine	n1	Captain	captain	0
Cartier	Cartier	np1	Cartier	Cartier	0
his	his	po31	his	his	0
Pilot	Pilot	n1	Pilot	pilot	0
generail	generail	j	generail	generail	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
two	two	crd	two	two	0
former	former	j	former	former	0
Voyages	Voyages	n2	Voyages	voyage	0
of	of	pp-f	of	of	0
discovery	discovery	n1	discovery	discovery	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
by	by	p-acp	by	by	0
writing	writing	vvg	writing	write	0
as	as	a-acp	as	as	0
by	by	p-acp	by	by	0
word	word	n1	word	word	0
of	of	pp-f	of	of	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
touching	touching	vvg	touching	touch	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
hee	hee	pns31	he	he	0
had	had	vhd	had	have	0
found	found	vvn	found	find	0
and	and	cc	and	and	0
seene	seene	vvn	seen	see	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Wester	Wester	np1	Wester	Wester	0
ne	ne	fw-fr	ne	ne	0
partes	partes	n2	parts	part	0
discovered	discovered	vvn	discovered	discover	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
parts	parts	n2	parts	part	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
of	of	pp-f	of	of	0
Canada	Canada	np1	Canada	Canada	0
and	and	cc	and	and	0
Hochelaga	Hochelaga	np1	Hochelaga	Hochelaga	0
,	,	,	,	,	0
and	and	cc	and	and	0
having	having	vhg	having	have	0
also	also	av	also	also	0
seene	seene	vvn	seen	see	0
and	and	cc	and	and	0
talked	talked	vvn	talked	talk	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
people	people	n1	people	people	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Cartier	Cartier	np1	Cartier	Cartier	0
had	had	vhd	had	have	0
brought	brought	vvn	brought	bring	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
Countreys	Countreys	ng2	Countries'	country	0
,	,	,	,	,	0
whereof	whereof	c-crq	whereof	whereof	0
one	one	pi	one	one	0
was	was	vbds	was	be	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Canada	Canada	np1	Canada	Canada	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
name	name	n1	name	name	0
was	was	vbds	was	be	0
Donnacona	Donnacona	np1	Donnacona	Donnacona	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
after	after	p-acp	after	after	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
bene	bene	vbn	be	be	0
a	a	dt	a	a	0
long	long	j	long	long	0
time	time	n1	time	time	0
in	in	p-acp	in	in	0
France	France	np1	France	France	0
and	and	cc	and	and	0
Britaine	Britaine	np1	Britaine	Britain	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
baptized	baptized	vvn	baptised	baptize	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
desire	desire	n1	desire	desire	0
and	and	cc	and	and	0
request	request	n1	request	request	0
,	,	,	,	,	0
and	and	cc	and	and	0
died	died	vvd	died	die	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
Britaine	Britaine	np1	Britaine	Britain	0
.	.	.	.	.	1
And	And	cc	And	and	0
albeit	albeit	cs	albeit	albeit	0
his	his	po31	his	his	0
Majestie	Majestie	n1	Majesty	majesty	0
was	was	vbds	was	be	0
advertized	advertized	vvn	advertized	advertise	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Cartier	Cartier	np1	Cartier	Cartier	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
death	death	n1	death	death	0
and	and	cc	and	and	0
decease	decease	n1	decease	decease	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
people	people	n1	people	people	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
brought	brought	vvn	brought	bring	0
over	over	a-acp	over	over	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
tenne	tenne	crd	tenne	ten	0
in	in	p-acp	in	in	0
number	number	n1	number	number	0
)	)	)	)	)	0
saving	saving	vvg	saving	save	0
one	one	crd	one	one	0
little	little	j	little	little	0
girle	girle	n1	girl	girl	0
about	about	p-acp	about	about	0
tenne	tenne	crd	tenne	ten	0
yeeres	yeeres	n2	years	year	0
old	old	j	old	old	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
he	he	pns31	he	he	0
resolved	resolved	vvd	resolved	resolve	0
to	to	pc-acp	to	to	0
send	send	vvi	send	send	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Cartier	Cartier	np1	Cartier	Cartier	0
his	his	po31	his	his	0
Pilot	Pilot	n1	Pilot	pilot	0
thither	thither	av	thither	thither	0
againe	againe	av	again	again	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
John	John	np1	John	John	0
Francis	Francis	np1	Francis	Francis	0
de	de	fw-fr	de	de	0
la	la	fw-fr	la	la	0
Roche	Roche	np1	Roche	Roche	0
,	,	,	,	,	0
Knight	Knight	n1	Knight	knight	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Roberval	Roberval	np1	Roberval	Roberval	0
,	,	,	,	,	0
whome	whome	ro-crq	whom	who	0
hee	hee	pns31	he	he	0
appointed	appointed	vvd	appointed	appoint	0
his	his	po31	his	his	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
and	and	cc	and	and	0
Governour	Governour	n1	Governor	governor	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Countreys	Countreys	ng2	Countries'	country	0
of	of	pp-f	of	of	0
Canada	Canada	np1	Canada	Canada	0
and	and	cc	and	and	0
Hochelaga	Hochelaga	np1	Hochelaga	Hochelaga	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Cartier	Cartier	np1	Cartier	Cartier	0
Captaine	Captaine	n1	Captain	captain	0
generail	generail	j	generail	generail	0
and	and	cc	and	and	0
leader	leader	n1	leader	leader	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
shippes	shippes	n2	ships	ship	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
discover	discover	vvi	discover	discover	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
was	was	vbds	was	be	0
done	done	vdn	done	do	0
before	before	p-acp	before	before	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
former	former	j	former	former	0
voyages	voyages	n2	voyages	voyage	0
,	,	,	,	,	0
and	and	cc	and	and	0
