[	[	[	[	[	0
11.	11.	crd	11.	11.	0
ii	ii	crd	ii	two	0
.	.	.	.	.	1
134.	134.	crd	134.	134.	0
]	]	]	]	]	1
A	A	dt	A	a	0
true	true	j	true	true	0
discourse	discourse	n1	discourse	discourse	0
written	written	vvn	written	write	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
thought	thought	vvn	thought	think	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
Colonel	Colonel	n1	Colonel	colonel	0
Antonie	Antonie	np1	Antonie	Antony	0
Winkfield	Winkfield	np1	Winkfield	Winkfield	0
emploied	emploied	vvn	employed	employ	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
voiage	voiage	n1	voyage	voyage	0
to	to	p-acp	to	to	0
Spaine	Spaine	np1	Spaine	Spain	0
and	and	cc	and	and	0
Portugall	Portugall	np1	Portugall	Portugal	0
,	,	,	,	,	0
1589.	1589.	crd	1589.	1589.	0
sent	sent	vvd	sent	send	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
particular	particular	j	particular	particular	0
friend	friend	n1	friend	friend	0
,	,	,	,	,	0
&	&	cc	&	and	0
by	by	p-acp	by	by	0
him	him	pno31	him	he	0
published	published	vvn	published	publish	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
better	better	jc	better	better	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
such	such	d	such	such	0
as	as	c-acp	as	as	0
having	having	vhg	having	have	0
bene	bene	vbn	be	be	0
seduced	seduced	vvn	seduced	seduce	0
by	by	p-acp	by	by	0
particular	particular	j	particular	particular	0
report	report	n1	report	report	0
,	,	,	,	,	0
have	have	vhb	have	have	0
entred	entred	vvn	entered	enter	0
into	into	p-acp	into	into	0
conceits	conceits	n2	conceits	conceit	0
tending	tending	vvg	tending	tend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
discredite	discredite	n1	discredit	discredit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
enterprise	enterprise	n1	enterprise	enterprise	0
and	and	cc	and	and	0
Actors	Actors	n2	Actors	actor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Lthough	Lthough	uh	Lthough	lthough	0
the	the	dt	the	the	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
advancing	advancing	vvg	advancing	advance	0
my	my	po11	my	my	0
reputation	reputation	n1	reputation	reputation	0
caused	caused	vvd	caused	cause	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
withstand	withstand	vvi	withstand	withstand	0
the	the	dt	the	the	0
many	many	d	many	many	0
perswasions	perswasions	n2	persuasions	persuasion	0
you	you	pn22	you	you	0
