Articles	Articles	n2	Articles	article	0
conceived	conceived	vvn	conceived	conceive	0
and	and	cc	and	and	0
determined	determined	vvn	determined	determine	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Commission	Commission	n1	Commission	commission	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Merchants	Merchants	n2	Merchant's	merchant	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
company	company	n1	company	company	0
resiant	resiant	j	resiant	resiant	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
and	and	cc	and	and	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
Warhouse	Warhouse	np1	Warhouse	Warhouse	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
second	second	ord	second	second	0
voyage	voyage	n1	voyage	voyage	0
,	,	,	,	,	0
1555.	1555.	crd	1555.	1555.	0
the	the	dt	the	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
May	May	np1	May	May	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
followeth	followeth	vvz	follows	follow	0
.	.	.	.	.	1
Irst	Irst	n1	Irst	irst	0
,	,	,	,	,	0
the	the	dt	the	the	0
Governour	Governour	n1	Governor	governor	0
,	,	,	,	,	0
Consuls	Consuls	n2	Consuls	consul	0
,	,	,	,	,	0
Assistants	Assistants	n2	Assistants	assistant	0
and	and	cc	and	and	0
whole	whole	j-jn	whole	whole	0
company	company	n1	company	company	0
assembled	assembled	vvd	assembled	assemble	0
this	this	d	this	this	0
day	day	n1	day	day	0
in	in	p-acp	in	in	0
open	open	j	open	open	0
court	court	n1	court	court	0
,	,	,	,	,	0
committeth	committeth	vvz	committeth	commit	0
and	and	cc	and	and	0
authorizeth	authorizeth	vvz	authorizeth	authorize	0
Richard	Richard	np1	Richard	Richard	0
Gray	Gray	j-jn	Grey	grey	0
and	and	cc	and	and	0
George	George	np1	George	George	0
Killingworth	Killingworth	np1	Killingworth	Killingworth	0
,	,	,	,	,	0
jointly	jointly	av-j	jointly	joint	0
and	and	cc	and	and	0
severally	severally	av-j	severally	several	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
Agents	Agents	n2	Agents	agent	0
,	,	,	,	,	0
Factors	Factors	n2	Factors	factor	0
,	,	,	,	,	0
and	and	cc	and	and	0
