A	A	dt	A	a	0
letter	letter	n1	letter	letter	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
honourable	honourable	j	honourable	honourable	0
William	William	np1	William	William	0
Hare-borne	Hare-borne	j	Hareborne	hareborne	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
Ambassadour	Ambassadour	n1	Ambassador	ambassador	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Signior	Signior	n1	Signior	signior	0
from	from	p-acp	from	from	0
Alger	Alger	np1	Alger	Alger	0
.	.	.	.	.	1
Ight	Ight	wd	Ight	ight	0
honorable	honorable	j	honourable	honourable	0
,	,	,	,	,	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
received	received	vvn	received	receive	0
your	your	po22	your	your	0
honors	honors	ng1	honours	honour	0
letters	letters	n2	letters	letter	0
dated	dated	vvn	dated	date	0
in	in	p-acp	in	in	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
the	the	dt	the	the	0
5	5	crd	5	5	0
of	of	pp-f	of	of	0
November	November	np1	November	November	0
,	,	,	,	,	0
and	and	cc	and	and	0
accordingly	accordingly	av-vvg	accordingly	accord	0
delivered	delivered	vvd	delivered	deliver	0
that	that	d	that	that	0
inclosed	inclosed	vvn	enclosed	enclose	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
place	place	n1	place	place	0
,	,	,	,	,	0
requiring	requiring	vvg	requiring	require	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
as	as	c-acp	as	as	0
you	you	pn22	you	you	0
did	did	vdd	did	do	0
command	command	vvi	command	command	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
name	name	n1	name	name	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
vouchsafe	vouchsafe	vvi	vouchsafe	vouchsafe	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
order	order	n1	order	order	0
to	to	p-acp	to	to	0
all	all	d	all	all	0
his	his	po31	his	his	0
Captaines	Captaines	n2	Captains	captain	0
&	&	cc	&	and	0
Rajes	Rajes	np1	Rajes	Rajes	0
that	that	d	that	that	0
none	none	pi	none	none	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
should	should	vmd	should	shall	0
meddle	meddle	vvi	meddle	meddle	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
English	English	jp	English	english	0
shippes	shippes	n2	ships	ship	0
comming	comming	vvg	coming	come	0
or	or	cc	or	or	0
going	going	vvg	going	go	0
to	to	p-acp	to	to	0
or	or	cc	or	or	0
from	from	p-acp	from	from	0
these	these	d	these	these	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
order	order	n1	order	order	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Christian	Christian	njp	Christian	christian	0
coast	coast	n1	coast	coast	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Barbary	Barbary	np1	Barbary	Barbary	0
,	,	,	,	,	0
and	and	cc	and	and	0
shewing	shewing	vvg	showing	show	0
him	him	pno31	him	he	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
charter	charter	n1	charter	charter	0
given	given	vvn	given	give	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Signior	Signior	n1	Signior	signior	0
,	,	,	,	,	0
requiring	requiring	vvg	requiring	require	0
him	him	pno31	him	he	0
in	in	p-acp	in	in	0
like	like	j	like	like	0
case	case	n1	case	case	0
that	that	cst	that	that	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
better	better	jc	better	better	0
fulfilling	fulfilling	j-vvg	fulfilling	fulfil	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
amity	amity	n1	amity	amity	0
,	,	,	,	,	0
friendship	friendship	n1	friendship	friendship	0
and	and	cc	and	and	0
holy	holy	j	holy	holy	0
league	league	n1	league	league	0
263	263	crd	263	263	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Signior	Signior	n1	Signior	signior	0
and	and	cc	and	and	0
her	her	po31	her	her	0
Majesty	Majesty	n1	Majesty	majesty	0
,	,	,	,	,	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
give	give	vvi	give	give	0
us	us	pno12	us	we	0
five	five	crd	five	five	0
or	or	cc	or	or	0
six	six	crd	six	six	0
safe-conducts	safe-conducts	n2	safe-conducts	safe-conduct	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
that	that	cst	that	that	0
meeting	meeting	vvg	meeting	meet	0
with	with	p-acp	with	with	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
gallies	gallies	n2	galleys	galley	0
or	or	cc	or	or	0
galliots	galliots	n2	galliots	galliot	0
,	,	,	,	,	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
meddle	meddle	vvi	meddle	meddle	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
neither	neither	dx	neither	neither	0
shoot	shoot	n1	shoot	shoot	0
at	at	p-acp	at	at	0
them	them	pno32	them	they	0
:	:	:	:	:	0
who	who	r-crq	who	who	0
made	made	vvd	made	make	0
me	me	pno11	me	i	0
answere	answere	vvi	answer	answer	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
neither	neither	av-dx	neither	neither	0
give	give	vvi	give	give	0
me	me	pno11	me	i	0
any	any	d	any	any	0
safe	safe	j	safe	safe	0
conduct	conduct	n1	conduct	conduct	0
nor	nor	ccx	nor	nor	0
commission	commission	n1	commission	commission	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
war	war	n1	war	war	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
meddle	meddle	vvi	meddle	meddle	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
trusted	trusted	vvd	trusted	trust	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
this	this	d	this	this	0
yere	yere	n1	year	year	0
,	,	,	,	,	0
and	and	cc	and	and	0
made	made	vvd	made	make	0
good	good	j	good	good	0
account	account	n1	account	account	0
thereof	thereof	av	thereof	thereof	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
like	like	j	like	like	0
maner	maner	n1	manner	manner	0
I	I	pns11	I	i	0
spake	spake	vvd	spoke	speak	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
chiefe	chiefe	n-jn	chief	chief	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Janisers	Janisers	n2	Janisers	janiser	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Levents	Levents	vvz	Levents	levent	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
made	made	vvd	made	make	0
me	me	pno11	me	i	0
answere	answere	vvi	answer	answer	0
,	,	,	,	,	0
the	the	dt	the	the	0
best	best	js	best	best	0
hope	hope	n1	hope	hope	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
this	this	d	this	this	0
yere	yere	n1	year	year	0
was	was	vbds	was	be	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
