A	A	dt	A	a	0
testimonie	testimonie	n1	testimony	testimony	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
priviledges	priviledges	n2	privileges	privilege	0
obtained	obtained	vvn	obtained	obtain	0
for	for	p-acp	for	for	0
william	william	np1	william	William	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
and	and	cc	and	and	0
Danish	Danish	jp	Danish	danish	0
Marchants	Marchants	n2	Merchants	merchant	0
of	of	pp-f	of	of	0
Con	Con	np1	Con	Con	0
-	-	-	-	-	0
^imsb	^imsb	vvb	imsb	imsb	0
.	.	.	.	.	0
iib	iib	uh	iib	iib	0
.	.	.	.	.	0
radus	radus	fw-la	radus	radus	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
and	and	cc	and	and	0
John	John	np1	John	John	0
the	the	dt	the	the	0
Bishop	Bishop	n1	Bishop	bishop	0
of	of	pp-f	of	of	0
Rome	Rome	np1	Rome	Rome	0
by	by	p-acp	by	by	0
Canutus	Canutus	np1	Canutus	Canute	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
Anglorum	Anglorum	np1	Anglorum	Anglorum	0
.	.	.	.	.	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
journey	journey	n1	journey	journey	0
to	to	pc-acp	to	to	0
Rome	Rome	vvi	Room	roam	0
,	,	,	,	,	0
extracted	extracted	vvn	extracted	extract	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
letter	letter	n1	letter	letter	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
written	written	j-vvn	written	write	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Cleargie	Cleargie	n1	Clergy	clergy	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
YOu	YOu	pn22	YOu	you	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
,	,	,	,	,	0
that	that	cst	that	that	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
feast	feast	n1	feast	feast	0
of	of	pp-f	of	of	0
Easter	Easter	n1	Easter	easter	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
company	company	n1	company	company	0
of	of	pp-f	of	of	0
Nobles	Nobles	n2-j	Nobles	noble	0
with	with	p-acp	with	with	0
Pope	Pope	n1	Pope	pope	0
John	John	np1	John	John	0
and	and	cc	and	and	0
Conradus	Conradus	np1	Conradus	Conradus	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
assembled	assembled	vvn	assembled	assemble	0
at	at	p-acp	at	at	0
Rome	Rome	np1	Rome	Rome	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
all	all	d	all	all	0
the	the	dt	the	the	0
Princes	Princes	n2	Princes	prince	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
nations	nations	n2	nations	nation	0
from	from	p-acp	from	from	0
mount	mount	n1	mount	mount	0
Garganus	Garganus	np1	Garganus	Garganus	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Ocean	Ocean	n1	Ocean	ocean	0
sea	sea	n1	sea	sea	0
.	.	.	.	.	1
Who	Who	q-crq	Who	who	0
all	all	d	all	all	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
313	313	crd	313	313	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Garganus	Garganus	np1	Garganus	Garganus	0
a	a	dt	a	a	0
mountaine	mountaine	n1	mountain	mountain	0
of	of	pp-f	of	of	0
Apulia	Apulia	np1	Apulia	Apulia	0
in	in	p-acp	in	in	0
Italic	Italic	jp	Italic	italic	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
honourably	honourably	av-j	honourably	honourable	0
interteined	interteined	vvd	entertained	entertain	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
welcomed	welcomed	vvd	welcomed	welcome	0
mee	mee	pno11	me	i	0
with	with	p-acp	with	with	0
rich	rich	j	rich	rich	0
and	and	cc	and	and	0
magnificent	magnificent	j	magnificent	magnificent	0
gifts	gifts	n2	gifts	gift	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
especially	especially	av-j	especially	especial	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
bestowed	bestowed	vvd	bestowed	bestow	0
divers	divers	j	diverse	diverse	0
costly	costly	j	costly	costly	0
presents	presents	n2	presents	present	0
and	and	cc	and	and	0
rewards	rewards	vvz	rewards	reward	0
upon	upon	p-acp	upon	upon	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
vessels	vessels	n2	vessels	vessel	0
of	of	pp-f	of	of	0
golde	golde	n1	gold	gold	0
and	and	cc	and	and	0
