339	339	crd	339	339	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
second	second	ord	second	second	0
unto	unto	p-acp	unto	unto	0
Haquinus	Haquinus	np1	Haquinus	Haquinus	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Norway	Norway	np1	Norway	Norway	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
English	English	jp	English	english	0
marchants	marchants	n2	merchants	merchant	0
arrested	arrested	vvn	arrested	arrest	0
in	in	p-acp	in	in	0
Norway	Norway	np1	Norway	Norway	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
goods	goods	n2-j	goods	good	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
freed	freed	vvn	freed	free	0
from	from	p-acp	from	from	0
arrest	arrest	n1	arrest	arrest	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
O	O	sy	O	o	0
the	the	dt	the	the	0
mighty	mighty	j	mighty	mighty	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
lord	lord	n1	lord	lord	0
Haquinus	Haquinus	np1	Haquinus	Haquinus	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
the	the	dt	the	the	0
famous	famous	j	famous	famous	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Norway	Norway	np1	Norway	Norway	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
deare	deare	j-jn	deer	dear	0
friend	friend	n1	friend	friend	0
,	,	,	,	,	0
Edward	Edward	np1	Edward	Edward	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
duke	duke	n1	duke	duke	0
of	of	pp-f	of	of	0
Aquitaine	Aquitaine	np1	Aquitaine	Aquitaine	0
,	,	,	,	,	0
greeting	greeting	n1	greeting	greeting	0
and	and	cc	and	and	0
sincere	sincere	j	sincere	sincere	0
love	love	n1	love	love	0
.	.	.	.	.	1
We	We	pns12	We	we	0
marvell	marvell	vvb	marvel	marvel	0
not	not	xx	not	not	0
a	a	dt	a	a	0
