The	The	dt	The	the	0
voyage	voyage	n1	voyage	voyage	0
made	made	vvd	made	make	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
bay	bay	n1	bay	bay	0
of	of	pp-f	of	of	0
Mexico	Mexico	np1	Mexico	Mexico	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
William	William	np1	William	William	0
King	King	n1	King	king	0
Captaine	Captaine	n1	Captain	captain	0
,	,	,	,	,	0
M.	M.	n1	M.	m.	0
Moore	Moore	np1	Moore	Moore	0
,	,	,	,	,	0
M.	M.	n1	M.	m.	0
How	How	c-crq	How	how	0
,	,	,	,	,	0
and	and	cc	and	and	0
M.	M.	n1	M.	m.	0
Boreman	Boreman	np1	Boreman	Boreman	0
Owners	Owners	n2	Owners	owner	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
Salomon	Salomon	np1	Salomon	Salomon	0
of	of	pp-f	of	of	0
200	200	crd	200	200	0
tunnes	tunnes	n2	tons	ton	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Jane	Jane	n1	Jane	jane	0
Bonaventure	Bonaventure	np1	Bonaventure	Bonaventure	0
of	of	pp-f	of	of	0
40	40	crd	40	40	0
tunnes	tunnes	n2	tons	ton	0
of	of	pp-f	of	of	0
Sir	Sir	n1	Sir	sir	0
Henry	Henry	np1	Henry	Henry	0
Palmer	Palmer	n1	Palmer	palmer	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
Ratcliffe	Ratcliffe	np1	Ratcliffe	Ratcliff	0
the	the	dt	the	the	0
26	26	crd	26	26	0
of	of	pp-f	of	of	0
January	January	np1	January	January	0
1592.	1592.	crd	1592.	1592.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
He	He	pns31	He	he	0
Salomon	Salomon	np1	Salomon	Salomon	0
was	was	vbds	was	be	0
manned	manned	vvn	manned	man	0
with	with	p-acp	with	with	0
an	an	dt	and	a	0
hundred	hundred	crd	hundred	hundred	0
men	men	n2	men	man	0
,	,	,	,	,	0
all	all	d	all	all	0
mariners	mariners	n2	mariners	mariner	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Jane	Jane	n1	Jane	jane	0
with	with	p-acp	with	with	0
sixe	sixe	crd	sixe	six	0
and	and	cc	and	and	0
twenty	twenty	crd	twenty	twenty	0
,	,	,	,	,	0
all	all	d	all	all	0
like	like	av-j	like	like	0
wise	wise	j	wise	wise	0
mariners	mariners	n2	mariners	mariner	0
.	.	.	.	.	1
Wee	Wee	pns12	we	we	0
came	came	vvd	came	come	0
first	first	ord	first	first	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Downes	Downes	n2	Downs	down	0
in	in	p-acp	in	in	0
Kent	Kent	np1	Kent	Kent	0
,	,	,	,	,	0
and	and	cc	and	and	0
never	never	av-x	never	never	0
strooke	strooke	vvd	struck	strike	0
saile	saile	n1	sail	sail	0
in	in	p-acp	in	in	0
passing	passing	vvg	passing	pass	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
we	we	pns12	we	we	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
Cape	Cape	n1	Cape	cape	0
S.	S.	np1	S.	S.	0
Vincent	Vincent	np1	Vincent	Vincent	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Portugall	Portugall	np1	Portugall	Portugal	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
thence	thence	av	thence	thence	0
we	we	pns12	we	we	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
shaped	shaped	j-vvn	shaped	shape	0
our	our	po12	our	our	0
course	course	n1	course	course	0
to	to	p-acp	to	to	0
Lancerota	Lancerota	np1	Lancerota	Lancerota	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Canarie	Canarie	n1	Canary	canary	0
islands	islands	n2	islands	island	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
landed	landed	vvd	landed	land	0
threescore	threescore	crd	threescore	threescore	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
fetched	fetched	vvd	fetched	fetch	0
a	a	dt	a	a	0
caravell	caravell	n1	caravel	caravel	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
harborow	harborow	n1	harbour	harbour	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
South	South	n1	South	south	0
side	side	n1	side	side	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
a	a	dt	a	a	0
small	small	j	small	small	0
Island	Island	n1	Island	island	0
we	we	pns12	we	we	0
tooke	tooke	vvd	took	take	0
a	a	dt	a	a	0
demy-canon	demy-canon	n1	demy-canon	demy-canon	0
of	of	pp-f	of	of	0
brasse	brasse	n1	brass	brass	0
in	in	p-acp	in	in	0
despight	despight	n1	despite	despite	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
inhabitants	inhabitants	n2	inhabitants	inhabitant	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
played	played	vvd	played	play	0
upon	upon	p-acp	upon	upon	0
us	us	pno12	us	we	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
small	small	j	small	small	0
shot	shot	n1	shot	shot	0
at	at	p-acp	at	at	0
our	our	po12	our	our	0
first	first	ord	first	first	0
landing	landing	vvg	landing	land	0
:	:	:	:	:	0
of	of	pp-f	of	of	0
whom	whom	r-crq	whom	who	0
we	we	pns12	we	we	0
slew	slew	vvd	slew	slay	0
three	three	crd	three	three	0
;	;	;	;	;	0
and	and	cc	and	and	0
gave	gave	vvd	gave	give	0
them	them	pno32	them	they	0
the	the	dt	the	the	0
repulse	repulse	n1	repulse	repulse	0
.	.	.	.	.	1
Thence	Thence	np1	Thence	Thence	0
we	we	pns12	we	we	0
went	went	vvd	went	go	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
190	190	crd	190	190	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Canaria	Canaria	np1	Canaria	Canaria	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
wee	wee	pns12	we	we	0
boorded	boorded	vvd	boarded	board	0
a	a	dt	a	a	0
barke	barke	n1	bark	bark	0
lying	lying	vvg	lying	lie	0
at	at	p-acp	at	at	0
anker	anker	n1	anchor	anchor	0
:	:	:	:	:	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
wee	wee	pns12	we	we	0
were	were	vbdr	were	be	0
driven	driven	vvn	driven	drive	0
by	by	p-acp	by	by	0
great	great	j	great	great	0
store	store	n1	store	store	0
of	of	pp-f	of	of	0
shot	shot	n1	shot	shot	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Island	Island	n1	Island	island	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
thence	thence	av	thence	thence	0
wee	wee	pns12	we	we	0
directed	directed	vvd	directed	direct	0
our	our	po12	our	our	0
course	course	n1	course	course	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np1	Indies	Indies	0
,	,	,	,	,	0
and	and	cc	and	and	0
fell	fell	vvd	fell	fall	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Dominica	Dominica	np1	Dominica	Dominica	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
tenth	tenth	ord	tenth	ten	0
of	of	pp-f	of	of	0
April	April	np1	April	April	0
.	.	.	.	.	1
There	There	a-acp	There	there	0
at	at	p-acp	at	at	0
a	a	dt	a	a	0
watering	watering	vvg	watering	water	0
place	place	n1	place	place	0
we	we	pns12	we	we	0
tooke	tooke	vvd	took	take	0
a	a	dt	a	a	0
shippe	shippe	n1	ship	ship	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
hundred	hundred	crd	hundred	hundred	0
tunnes	tunnes	n2	tons	ton	0
come	come	vvn	come	come	0
from	from	p-acp	from	from	0
Guiny	Guiny	zz	Guiny	guiny	0
,	,	,	,	,	0
laden	laden	vvn	laden	lade	0
with	with	p-acp	with	with	0
two	two	crd	two	two	0
hundred	hundred	crd	hundred	hundred	0
and	and	cc	and	and	0
seventy	seventy	crd	seventy	seventy	0
Negros	Negros	n2	Negroes	negro	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
