A	A	dt	A	a	0
Letter	Letter	n1	Letter	letter	0
sent	sent	vvn	sent	send	0
from	from	p-acp	from	from	0
her	her	po31	her	her	0
Highnesse	Highnesse	n1	Highness	highness	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
sir	sir	n1	sir	sir	0
Hierome	Hierome	np1	Hierome	Hierome	0
Bowes	Bowes	n2	Bows	bow	0
aforesayd	aforesayd	vvn	aforesaid	aforesaid	0
,	,	,	,	,	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
Ambassadour	Ambassadour	n1	Ambassador	ambassador	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
312	312	crd	312	312	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
English	English	jp	English	english	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
ELizabeth	ELizabeth	np1	ELizabeth	ELizabeth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
France	France	np1	France	France	0
,	,	,	,	,	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
defender	defender	n1	defender	defender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
Prince	Prince	n1	Prince	prince	0
and	and	cc	and	and	0
Lord	Lord	n1	Lord	lord	0
,	,	,	,	,	0
John	John	np1	John	John	0
Basiliwich	Basiliwich	np1	Basiliwich	Basiliwich	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
King	King	n1	King	king	0
and	and	cc	and	and	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
Volodomer	Volodomer	np1	Volodomer	Volodomer	0
,	,	,	,	,	0
Moscovie	Moscovie	np1	Moscovie	Moscovie	0
,	,	,	,	,	0
and	and	cc	and	and	0
Novogrod	Novogrod	np1	Novogrod	Novogrod	0
,	,	,	,	,	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Cazan	Cazan	np1	Cazan	Cazan	0
and	and	cc	and	and	0
Astracan	Astracan	jp	Astracan	astracan	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Plesco	Plesco	np1	Plesco	Plesco	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Smolensco	Smolensco	np1	Smolensco	Smolensco	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Tuer	Tuer	fw-fr	Tuer	tuer	0
,	,	,	,	,	0
Ugor	Ugor	np1	Ugor	Ugor	0
,	,	,	,	,	0
and	and	cc	and	and	0
Permie	Permie	np1	Permie	Permie	0
,	,	,	,	,	0
Viatsca	Viatsca	np1	Viatsca	Viatsca	0
,	,	,	,	,	0
Bolhar	Bolhar	np1	Bolhar	Bolhar	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
and	and	cc	and	and	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Novogrod	Novogrod	np1	Novogrod	Novogrod	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
lowe	lowe	j	low	low	0
countrey	countrey	n1	country	country	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Cherniga	Cherniga	np1	Cherniga	Cherniga	0
,	,	,	,	,	0
Rezan	Rezan	n1	Rezan	rezan	0
,	,	,	,	,	0
Polotsko	Polotsko	fw-mi	Polotsko	polotsko	0
,	,	,	,	,	0
Rostove	Rostove	np1	Rostove	Rostove	0
,	,	,	,	,	0
Jaroslave	Jaroslave	n1	Jaroslave	jaroslave	0
,	,	,	,	,	0
Bealozera	Bealozera	np1	Bealozera	Bealozera	0
