A	A	dt	A	a	0
petition	petition	n1	petition	petition	0
exhibited	exhibited	vvn	exhibited	exhibit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Viceroy	Viceroy	n1	Viceroy	viceroy	0
for	for	p-acp	for	for	0
reforma	reforma	fw-la	reforma	reforma	0
-	-	-	-	-	0
[	[	[	[	[	0
II.	II.	crd	II	ii	0
i	i	sy	i	i	0
.	.	.	.	.	1
181.	181.	crd	181.	181.	0
]	]	]	]	]	0
tion	tion	n1	cion	cion	0
of	of	pp-f	of	of	0
sundry	sundry	j	sundry	sundry	0
injuries	injuries	n2	injuries	injury	0
offered	offered	vvn	offered	offer	0
our	our	po12	our	our	0
nation	nation	n1	nation	nation	0
in	in	p-acp	in	in	0
Morea	Morea	np1	Morea	Morea	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
for	for	c-acp	for	for	0
sundry	sundry	j	sundry	sundry	0
demaundes	demaundes	n2	demands	demand	0
needefull	needefull	j	needful	needful	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
establishing	establishing	n-vvg	establishing	establish	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
traffike	traffike	n1	traffic	traffic	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
parts	parts	n2	parts	part	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Irst	Irst	vvb	Irst	irst	0
that	that	cst	that	that	0
our	our	po12	our	our	0
people	people	n1	people	people	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
freed	freed	vvn	freed	free	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
wonted	wonted	j	wonted	wont	0
molestation	molestation	n1	molestation	molestation	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Janisers	Janisers	n2	Janisers	janiser	0
of	of	pp-f	of	of	0
Patrasso	Patrasso	np1	Patrasso	Patrasso	0
have	have	vhb	have	have	0
alwayes	alwayes	av	always	always	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
offered	offered	vvd	offered	offer	0
them	them	pno32	them	they	0
,	,	,	,	,	0
not	not	xx	not	not	0
regarding	regarding	vvg	regarding	regard	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
commandements	commandements	n2	commandments	commandment	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
contrary	contrary	n-jn	contrary	contrary	0
.	.	.	.	.	1
That	That	cst	That	that	0
they	they	pns32	they	they	0
be	be	vbb	be	be	0
removed	removed	vvn	removed	remove	0
and	and	cc	and	and	0
called	called	vvn	called	call	0
away	away	av	away	away	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
and	and	cc	and	and	0
none	none	pi	none	none	0
other	other	j-jn	other	other	0
remaine	remaine	vvb	remain	remain	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
place	place	n1	place	place	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
2	2	crd	2	2	0
That	That	d	That	that	0
where	where	c-crq	where	where	0
heretofore	heretofore	av	heretofore	heretofore	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
commandements	commandements	n2	commandments	commandment	0
have	have	vhb	have	have	0
beene	beene	vbn	been	be	0
graunted	graunted	vvn	granted	grant	0
to	to	pc-acp	to	to	0
ours	ours	png12	ours	we	0
,	,	,	,	,	0
that	that	d	that	that	0
no	no	dx	no	no	0
person	person	n1	person	person	0
whatsoever	whatsoever	r-crq	whatsoever	whatsoever	0
