A	A	dt	A	a	0
relation	relation	n1	relation	relation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Haven	Haven	n1	Haven	haven	0
of	of	pp-f	of	of	0
Tecuanapa	Tecuanapa	np1	Tecuanapa	Tecuanapa	0
,	,	,	,	,	0
a	a	dt	a	a	0
most	most	av-ds	most	most	0
convenient	convenient	j	convenient	convenient	0
place	place	n1	place	place	0
for	for	p-acp	for	for	0
building	building	n1	building	building	0
of	of	pp-f	of	of	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
situate	situate	vvb	situate	situate	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
South	South	n1	South	south	0
sea	sea	n1	sea	sea	0
not	not	xx	not	not	0
farre	farre	av-j	far	far	0
from	from	p-acp	from	from	0
Nicaragua	Nicaragua	np1	Nicaragua	Nicaragua	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
sent	sent	vvn	sent	send	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
viceroy	viceroy	n1	viceroy	viceroy	0
of	of	pp-f	of	of	0
Mexico	Mexico	np1	Mexico	Mexico	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
:	:	:	:	:	0
wherein	wherein	c-crq	wherein	wherein	0
are	are	vbr	are	be	0
described	described	vvn	described	describe	0
the	the	dt	the	the	0
rivers	rivers	n2	rivers	river	0
of	of	pp-f	of	of	0
Ometepec	Ometepec	np1	Ometepec	Ometepec	0
,	,	,	,	,	0
Tlacamama	Tlacamama	n1	Tlacamama	tlacamama	0
,	,	,	,	,	0
and	and	cc	and	and	0
Tlacolula	Tlacolula	np1	Tlacolula	Tlacolula	0
falling	falling	vvg	falling	fall	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Haven	Haven	n1	Haven	haven	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
townes	townes	n2	towns	town	0
,	,	,	,	,	0
people	people	n1	people	people	0
