Notes	Notes	np1	Notes	Notes	0
in	in	p-acp	in	in	0
writing	writing	n1	writing	writing	0
,	,	,	,	,	0
besides	besides	a-acp	beside	beside	0
more	more	av-dc	more	more	0
privie	privie	j	privy	privy	0
by	by	p-acp	by	by	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
that	that	cst	that	that	0
were	were	vbdr	were	be	0
given	given	vvn	given	give	0
by	by	p-acp	by	by	0
M.	M.	n1	M.	m.	0
Richard	Richard	np1	Richard	Richard	0
Hakluyt	Hakluyt	np1	Hakluyt	Hakluyt	0
of	of	pp-f	of	of	0
Eiton	Eiton	np1	Eiton	Eiton	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Countie	Countie	n1	County	county	0
of	of	pp-f	of	of	0
Hereford	Hereford	np1	Hereford	Hereford	0
,	,	,	,	,	0
Esquire	Esquire	n1	Esquire	esquire	0
,	,	,	,	,	0
Anno	Anno	fw-la	Anno	anno	0
1580	1580	crd	1580	1580	0
:	:	:	:	:	0
to	to	p-acp	to	to	0
M.	M.	n1	M.	m.	0
Arthur	Arthur	np1	Arthur	Arthur	0
Pet	Pet	np1	Pet	Pet	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
M.	M.	n1	M.	m.	0
Charles	Charles	np1	Charles	Charles	0
Jackman	Jackman	np1	Jackman	Jackman	0
,	,	,	,	,	0
sent	sent	vvn	sent	send	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Merchants	Merchants	n2	Merchant's	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Moscovie	Moscovie	np1	Moscovie	Moscovie	0
companie	companie	n1	company	company	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
discovery	discovery	n1	discovery	discovery	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Northeast	Northeast	n1	Northeast	north-east	0
straight	straight	av	straight	straight	0
,	,	,	,	,	0
not	not	xx	not	not	0
altogether	altogether	av	altogether	altogether	0
unfit	unfit	j	unfit	unfit	0
for	for	p-acp	for	for	0
some	some	d	some	some	0
other	other	j-jn	other	other	0
enterprises	enterprises	n2	enterprises	enterprise	0
of	of	pp-f	of	of	0
discovery	discovery	n1	discovery	discovery	0
,	,	,	,	,	0
hereafter	hereafter	av	hereafter	hereafter	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
in	in	p-acp	in	in	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
What	What	q-crq	What	what	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
Islands	Islands	n2	Islands	island	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
had	had	vhn	had	have	0
,	,	,	,	,	0
and	and	cc	and	and	0
why	why	q-crq	why	why	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
WHereas	WHereas	cs	WHereas	whereas	0
the	the	dt	the	the	0
Portingals	Portingals	np2	Portingals	Portugal	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
course	course	n1	course	course	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
Indies	Indies	np2	Indies	Indies	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Southeast	Southeast	n1	Southeast	southeast	0
,	,	,	,	,	0
certaine	certaine	j	certain	certain	0
ports	ports	n2	ports	port	0
and	and	cc	and	and	0
fortifications	fortifications	n2	fortifications	fortification	0
to	to	pc-acp	to	to	0
thrust	thrust	vvi	thrust	thrust	0
into	into	p-acp	into	into	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
way	way	n1	way	way	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
divers	divers	j	diverse	diverse	0
great	great	j	great	great	0
purposes	purposes	n2	purposes	purpose	0
:	:	:	:	:	0
so	so	av	so	so	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
what	what	r-crq	what	what	0
Islands	Islands	n2	Islands	island	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
ports	ports	n2	ports	port	0
you	you	pn22	you	you	0
had	had	vhd	had	have	0
neede	neede	n1	need	need	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
way	way	n1	way	way	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
course	course	n1	course	course	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Northeast	Northeast	n1	Northeast	north-east	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
which	which	r-crq	which	which	0
cause	cause	n1	cause	cause	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
enter	enter	vvi	enter	enter	0
into	into	p-acp	into	into	0
consideration	consideration	n1	consideration	consideration	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
note	note	vvi	note	note	0
all	all	d	all	all	0
the	the	dt	the	the	0
Islands	Islands	n2	Islands	island	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
set	set	vvi	set	set	0
them	them	pno32	them	they	0
downe	downe	a-acp	down	down	0
in	in	p-acp	in	in	0
plat	plat	n1	plate	plat	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
two	two	crd	two	two	0
ends	ends	n2	ends	end	0
:	:	:	:	:	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
,	,	,	,	,	0
That	That	cst	That	that	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
devise	devise	vvi	devise	devise	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
the	the	dt	the	the	0
benefit	benefit	n1	benefit	benefit	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
,	,	,	,	,	0
And	And	cc	And	and	0
also	also	av	also	also	0
foresee	foresee	vvb	foresee	foresee	0
how	how	c-crq	how	how	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
the	the	dt	the	the	0
Savages	Savages	np1	Savages	Savages	0
or	or	cc	or	or	0
civill	civill	j	civil	civil	0
Princes	Princes	n2	Princes	prince	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
sort	sort	n1	sort	sort	0
annoy	annoy	vvi	annoy	annoy	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
purposed	purposed	j-vvn	purposed	purpose	0
trade	trade	n1	trade	trade	0
that	that	cst	that	that	0
way	way	n1	way	way	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
for	for	c-acp	for	for	0
that	that	cst	that	that	0
the	the	dt	the	the	0
people	people	n1	people	people	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
purpose	purpose	vvb	purpose	purpose	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
voyage	voyage	n1	voyage	voyage	0
to	to	pc-acp	to	to	0
go	go	vvi	go	go	0
,	,	,	,	,	0
be	be	vbb	be	be	0
no	no	dx	no	no	0
Christians	Christians	np1	Christians	Christians	0
,	,	,	,	,	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
good	good	j	good	good	0
that	that	cst	that	that	0
the	the	dt	the	the	0
masse	masse	n1	mass	mass	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
commodities	commodities	n2	commodities	commodity	0
were	were	vbdr	were	be	0
alwayes	alwayes	av	always	always	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
