Compositions	Compositions	n2	Compositions	composition	0
and	and	cc	and	and	0
ordinances	ordinances	n2	ordinances	ordinance	0
concluded	concluded	vvn	concluded	conclude	0
between	between	p-acp	between	between	0
the	the	dt	the	the	0
messengers	messengers	n2	messengers	messenger	0
of	of	pp-f	of	of	0
Frater	Frater	fw-la	Frater	frater	0
Conradus	Conradus	np1	Conradus	Conradus	0
de	de	dt	the	the	0
Jung-ingen	Jung-ingen	j	Jung-ingen	jung-ingen	0
master	master	n1	master	master	0
generail	generail	j	generail	generail	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
:	:	:	:	:	0
and	and	cc	and	and	0
the	the	dt	the	the	0
chancelor	chancelor	n1	chancellor	chancellor	0
and	and	cc	and	and	0
treasurer	treasurer	n1	treasurer	treasurer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
1403.	1403.	crd	1403.	1403.	1
IN	IN	p-acp	IN	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
1403	1403	crd	1403	1403	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
feast	feast	n1	feast	feast	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Michael	Michael	np1	Michael	Michael	0
the	the	dt	the	the	0
Archangel	Archangel	np1	Archangel	Archangel	0
,	,	,	,	,	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
hono	hono	fw-la	hono	hono	0
:	:	:	:	:	0
Henrie	Henrie	np1	Henrie	Henry	0
bishop	bishop	n1	bishop	bishop	0
of	of	pp-f	of	of	0
Lincoln	Lincoln	np1	Lincoln	Lincoln	0
,	,	,	,	,	0
chancelor	chancelor	n1	chancellor	chancellor	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
lord	lord	n1	lord	lord	0
de	de	fw-fr	de	de	0
Roos	Roos	np1	Roos	Roos	0
high	high	j	high	high	0
treasurer	treasurer	n1	treasurer	treasurer	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
ambassadors	ambassadors	n2	ambassadors	ambassador	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
John	John	np1	John	John	0
Godek	Godek	np1	Godek	Godek	0
of	of	pp-f	of	of	0
Dantzik	Dantzik	np1	Dantzik	Dantzik	0
,	,	,	,	,	0
&	&	cc	&	and	0
Henry	Henry	np1	Henry	Henry	0
Monek	Monek	np1	Monek	Monek	0
of	of	pp-f	of	of	0
Elbing	Elbing	np1	Elbing	Elbing	0
,	,	,	,	,	0
masters	masters	n2	master's	master	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
cities	cities	n2	cities	city	0
have	have	vhb	have	have	0
at	at	p-acp	at	at	0
Westminster	Westminster	np1	Westminster	Westminster	0
treated	treated	vvd	treated	treat	0
in	in	p-acp	in	in	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
composition	composition	n1	composition	composition	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
articles	articles	n2	articles	article	0
underwritten	underwritten	j	underwritten	underwritten	0
:	:	:	:	:	0
between	between	p-acp	between	between	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
sovereigne	sovereigne	j-jn	sovereign	sovereign	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
